,year,mean,max,max_countries,min,min_countries,std,25%,75%,iqr
0,2000,69.23,77.59,Costa Rica,51.01,Botswana,5.68,67.26,72.78,5.53
1,2001,69.44,77.54,Costa Rica,50.68,Botswana,5.87,67.36,73.21,5.85
2,2002,69.6,77.98,Costa Rica,50.63,Botswana,6.0,67.32,73.26,5.94
3,2003,69.76,78.07,Costa Rica,50.95,Botswana,6.12,67.21,73.69,6.48
4,2004,70.03,78.33,Costa Rica,51.25,Namibia,6.12,67.75,73.71,5.96
5,2005,70.3,78.5,Costa Rica,51.79,Namibia,6.09,67.88,74.07,6.19
6,2006,70.62,78.51,Costa Rica,52.66,Namibia,5.96,68.48,74.29,5.81
7,2007,70.96,78.46,Costa Rica,53.68,Namibia,5.78,68.96,74.61,5.65
8,2008,71.32,78.44,Costa Rica,54.65,Namibia,5.59,69.16,74.95,5.8
9,2009,71.69,78.67,Costa Rica,55.5,Namibia,5.38,69.63,75.12,5.5
10,2010,71.98,78.67,Costa Rica,56.02,Namibia,5.19,70.0,75.33,5.33
11,2011,72.25,79.35,Costa Rica,56.55,Namibia,5.08,70.0,75.42,5.42
12,2012,72.58,79.28,Costa Rica,57.64,Namibia,4.93,70.38,75.66,5.28
13,2013,72.85,79.4,Costa Rica,58.69,Namibia,4.79,70.68,76.18,5.5
14,2014,73.02,79.42,Maldives,59.6,Equatorial Guinea,4.64,71.2,75.95,4.75
15,2015,73.25,79.69,Maldives,60.1,Equatorial Guinea,4.51,71.51,76.24,4.73
