,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,population,gdp_per_capita,gni,region,sub_region,income_class
0,Antigua and Barbuda,2015,77.91,110.6,4.2,3.7,25.74,27.83,5.28,11.82,89941,15985.54,14560.0,American region,Caribbean,High income
1,Antigua and Barbuda,2014,77.86,110.8,4.4,4.3,25.65,27.7,5.87,15.11,89236,15451.5,14690.0,American region,Caribbean,High income
2,Antigua and Barbuda,2013,77.58,109.2,4.2,4.4,25.56,27.58,5.51,13.3,88497,14977.07,14350.0,American region,Caribbean,High income
3,Antigua and Barbuda,2012,77.35,109.8,4.9,4.2,25.47,27.45,5.48,14.63,87674,15136.84,14350.0,American region,Caribbean,High income
4,Antigua and Barbuda,2011,77.1,110.2,4.9,4.3,25.39,27.33,5.44,12.99,86729,14774.03,14070.0,American region,Caribbean,High income
5,Antigua and Barbuda,2010,76.82,110.7,5.4,4.3,25.3,27.21,5.38,13.9,85695,15149.72,14390.0,American region,Caribbean,High income
6,Antigua and Barbuda,2009,76.67,110.8,5.4,4.7,25.22,27.09,4.18,6.33,84534,16401.03,15750.0,American region,Caribbean,High income
7,Antigua and Barbuda,2008,76.41,112.3,6.2,4.9,25.13,26.98,4.2,8.08,83251,18708.97,17750.0,American region,Caribbean,High income
8,Antigua and Barbuda,2007,76.13,113.3,6.7,4.9,25.05,26.87,4.45,8.45,82016,18134.27,17300.0,American region,Caribbean,High income
9,Antigua and Barbuda,2006,75.76,115.8,6.4,5.3,24.96,26.75,4.63,8.37,80895,16114.08,15740.0,American region,Caribbean,High income
10,Antigua and Barbuda,2005,75.82,116.7,7.1,4.8,24.88,26.64,4.99,11.53,79869,14319.88,14050.0,American region,Caribbean,High income
11,Antigua and Barbuda,2004,75.67,118.5,7.6,4.6,24.79,26.53,5.12,12.13,78941,12999.35,12850.0,American region,Caribbean,High income
12,Antigua and Barbuda,2003,75.48,120.7,7.5,5.3,24.71,26.42,5.58,12.45,78075,12141.6,11680.0,American region,Caribbean,High income
13,Antigua and Barbuda,2002,75.54,123.5,8.1,5.2,24.62,26.3,5.29,10.65,77195,11632.73,10710.0,American region,Caribbean,High income
14,Antigua and Barbuda,2001,75.08,127.1,8.0,5.8,24.53,26.19,5.44,12.12,76215,11513.68,10600.0,American region,Caribbean,High income
15,Antigua and Barbuda,2000,74.61,130.7,8.8,5.9,24.45,26.07,4.72,11.86,75055,11998.56,11200.0,American region,Caribbean,High income
16,Australia,2015,82.4,62.26,2.2,1.4,27.68,26.84,10.18,18.31,23815995,56758.87,60520.0,Oceania region,Australia and New Zealand,High income
17,Australia,2014,82.3,61.18,2.4,1.5,27.65,26.81,9.83,17.64,23475686,62558.24,65220.0,Oceania region,Australia and New Zealand,High income
18,Australia,2013,82.15,59.56,2.4,1.6,27.61,26.77,8.75,15.4,23128129,68198.42,66080.0,Oceania region,Australia and New Zealand,High income
19,Australia,2012,82.05,59.74,2.4,1.7,27.58,26.74,8.67,16.19,22733465,68078.04,60290.0,Oceania region,Australia and New Zealand,High income
20,Australia,2011,81.9,61.99,2.6,1.9,27.54,26.7,8.54,16.32,22340024,62609.66,50410.0,Oceania region,Australia and New Zealand,High income
21,Australia,2010,81.7,62.48,2.7,1.9,27.5,26.67,8.42,16.11,22031750,52147.02,46750.0,Oceania region,Australia and New Zealand,High income
22,Australia,2009,81.54,63.99,2.9,1.9,27.46,26.62,8.54,15.88,21691653,42816.57,44100.0,Oceania region,Australia and New Zealand,High income
23,Australia,2008,81.4,64.08,3.0,2.2,27.4,26.58,8.25,15.61,21249199,49701.28,42410.0,Oceania region,Australia and New Zealand,High income
24,Australia,2007,81.29,64.99,3.0,2.2,27.34,26.53,8.05,16.49,20827622,41051.61,37390.0,Oceania region,Australia and New Zealand,High income
25,Australia,2006,81.04,65.58,3.1,2.4,27.27,26.47,7.98,15.94,20450966,36595.71,34600.0,Oceania region,Australia and New Zealand,High income
26,Australia,2005,80.84,66.92,3.2,2.3,27.2,26.41,7.97,15.9,20176844,34479.77,30740.0,Oceania region,Australia and New Zealand,High income
27,Australia,2004,80.49,67.06,3.2,2.3,27.12,26.34,8.09,15.95,19932722,30836.73,25850.0,Oceania region,Australia and New Zealand,High income
28,Australia,2003,80.24,68.73,3.4,2.4,27.04,26.27,7.88,15.48,19720737,23718.13,21380.0,Oceania region,Australia and New Zealand,High income
29,Australia,2002,79.94,71.05,3.4,2.5,26.95,26.19,7.88,15.51,19495210,20301.84,20210.0,Oceania region,Australia and New Zealand,High income
30,Australia,2001,79.63,72.98,3.4,2.4,26.86,26.1,7.68,14.71,19274701,19695.73,20330.0,Oceania region,Australia and New Zealand,High income
31,Australia,2000,79.23,76.32,3.5,2.6,26.76,26.0,7.59,14.6,19028802,21870.42,21300.0,Oceania region,Australia and New Zealand,High income
32,Austria,2015,81.19,64.67,2.2,1.4,26.64,24.73,10.37,14.69,8642699,44195.82,47510.0,European region,Western Europe,High income
33,Austria,2014,81.49,65.72,2.3,1.4,26.61,24.71,10.37,14.34,8546356,51786.38,50430.0,European region,Western Europe,High income
34,Austria,2013,81.14,67.14,2.3,1.4,26.58,24.69,10.29,14.37,8479823,50731.13,50690.0,European region,Western Europe,High income
35,Austria,2012,80.94,68.77,2.3,1.6,26.55,24.67,10.2,14.51,8429991,48564.92,50090.0,European region,Western Europe,High income
36,Austria,2011,80.98,71.78,2.4,1.7,26.51,24.65,10.03,14.32,8391643,51442.28,50700.0,European region,Western Europe,High income
37,Austria,2010,80.58,74.28,2.5,1.8,26.48,24.63,10.22,14.0,8363404,46903.76,49770.0,European region,Western Europe,High income
38,Austria,2009,80.33,76.43,2.6,1.8,26.43,24.61,10.23,13.76,8343323,48153.32,49210.0,European region,Western Europe,High income
39,Austria,2008,80.43,74.89,2.5,2.0,26.38,24.58,9.73,14.39,8321496,51919.98,49210.0,European region,Western Europe,High income
40,Austria,2007,80.18,78.15,2.6,1.9,26.33,24.56,9.53,14.09,8295487,46915.34,44510.0,European region,Western Europe,High income
41,Austria,2006,79.88,78.49,2.7,2.0,26.27,24.53,9.53,13.78,8268641,40669.33,41460.0,European region,Western Europe,High income
42,Austria,2005,79.33,83.25,2.8,2.0,26.21,24.5,9.63,13.67,8227829,38417.46,38780.0,European region,Western Europe,High income
43,Austria,2004,79.18,84.71,2.9,2.1,26.14,24.48,9.71,13.03,8171966,36889.23,33860.0,European region,Western Europe,High income
44,Austria,2003,78.63,87.42,3.0,2.2,26.07,24.45,9.55,13.62,8121423,32294.05,28110.0,European region,Western Europe,High income
45,Austria,2002,78.68,89.65,2.9,2.4,26.0,24.41,9.39,13.51,8081957,26527.59,25040.0,European region,Western Europe,High income
46,Austria,2001,78.58,91.83,3.0,2.4,25.93,24.38,9.27,13.29,8042293,24558.76,25330.0,European region,Western Europe,High income
47,Austria,2000,78.13,95.01,3.1,2.7,25.85,24.34,9.2,13.38,8011566,24625.6,26820.0,European region,Western Europe,High income
48,Bahamas,2015,73.1,180.3,4.5,3.6,27.2,28.98,5.16,12.84,392697,29722.41,27270.0,American region,North America,High income
49,Bahamas,2014,73.37,185.8,4.7,4.0,27.12,28.9,5.54,14.21,389131,28201.56,27000.0,American region,North America,High income
50,Bahamas,2013,73.02,185.0,5.2,3.9,27.03,28.82,5.59,14.02,385650,26956.57,26660.0,American region,North America,High income
51,Bahamas,2012,72.75,186.4,5.6,4.3,26.95,28.74,5.32,14.06,382061,28059.66,27630.0,American region,North America,High income
52,Bahamas,2011,72.56,186.2,6.2,4.8,26.86,28.66,5.32,13.9,377950,26644.93,26990.0,American region,North America,High income
53,Bahamas,2010,72.73,186.1,6.8,5.0,26.77,28.58,5.26,15.44,373272,27046.66,27320.0,American region,North America,High income
54,Bahamas,2009,72.58,185.7,7.3,5.1,26.69,28.51,5.15,15.01,368057,27120.69,27920.0,American region,North America,High income
55,Bahamas,2008,72.67,185.5,7.8,5.4,26.6,28.43,4.86,14.47,362795,29013.63,29660.0,American region,North America,High income
56,Bahamas,2007,72.68,185.5,8.2,5.4,26.52,28.35,4.5,13.5,357666,29687.87,29690.0,American region,North America,High income
57,Bahamas,2006,72.86,190.3,8.5,5.9,26.43,28.28,4.31,12.73,352664,28829.85,29230.0,American region,North America,High income
58,Bahamas,2005,72.76,187.0,9.0,6.4,26.35,28.2,4.03,12.86,347804,28280.87,28880.0,American region,North America,High income
