,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,population,gdp_per_capita,gni,region,sub_region,income_class
0,Australia,2015,82.4,62.26,2.2,1.4,27.68,26.84,10.18,18.31,23815995,56758.87,60520.0,Oceania region,Australia and New Zealand,High income
1,Australia,2014,82.3,61.18,2.4,1.5,27.65,26.81,9.83,17.64,23475686,62558.24,65220.0,Oceania region,Australia and New Zealand,High income
2,Australia,2013,82.15,59.56,2.4,1.6,27.61,26.77,8.75,15.4,23128129,68198.42,66080.0,Oceania region,Australia and New Zealand,High income
3,Australia,2012,82.05,59.74,2.4,1.7,27.58,26.74,8.67,16.19,22733465,68078.04,60290.0,Oceania region,Australia and New Zealand,High income
4,Australia,2011,81.9,61.99,2.6,1.9,27.54,26.7,8.54,16.32,22340024,62609.66,50410.0,Oceania region,Australia and New Zealand,High income
5,Australia,2010,81.7,62.48,2.7,1.9,27.5,26.67,8.42,16.11,22031750,52147.02,46750.0,Oceania region,Australia and New Zealand,High income
6,Australia,2009,81.54,63.99,2.9,1.9,27.46,26.62,8.54,15.88,21691653,42816.57,44100.0,Oceania region,Australia and New Zealand,High income
7,Australia,2008,81.4,64.08,3.0,2.2,27.4,26.58,8.25,15.61,21249199,49701.28,42410.0,Oceania region,Australia and New Zealand,High income
8,Australia,2007,81.29,64.99,3.0,2.2,27.34,26.53,8.05,16.49,20827622,41051.61,37390.0,Oceania region,Australia and New Zealand,High income
9,Australia,2006,81.04,65.58,3.1,2.4,27.27,26.47,7.98,15.94,20450966,36595.71,34600.0,Oceania region,Australia and New Zealand,High income
10,Australia,2005,80.84,66.92,3.2,2.3,27.2,26.41,7.97,15.9,20176844,34479.77,30740.0,Oceania region,Australia and New Zealand,High income
11,Australia,2004,80.49,67.06,3.2,2.3,27.12,26.34,8.09,15.95,19932722,30836.73,25850.0,Oceania region,Australia and New Zealand,High income
12,Australia,2003,80.24,68.73,3.4,2.4,27.04,26.27,7.88,15.48,19720737,23718.13,21380.0,Oceania region,Australia and New Zealand,High income
13,Australia,2002,79.94,71.05,3.4,2.5,26.95,26.19,7.88,15.51,19495210,20301.84,20210.0,Oceania region,Australia and New Zealand,High income
14,Australia,2001,79.63,72.98,3.4,2.4,26.86,26.1,7.68,14.71,19274701,19695.73,20330.0,Oceania region,Australia and New Zealand,High income
15,Australia,2000,79.23,76.32,3.5,2.6,26.76,26.0,7.59,14.6,19028802,21870.42,21300.0,Oceania region,Australia and New Zealand,High income
16,Austria,2015,81.19,64.67,2.2,1.4,26.64,24.73,10.37,14.69,8642699,44195.82,47510.0,European region,Western Europe,High income
17,Austria,2014,81.49,65.72,2.3,1.4,26.61,24.71,10.37,14.34,8546356,51786.38,50430.0,European region,Western Europe,High income
18,Austria,2013,81.14,67.14,2.3,1.4,26.58,24.69,10.29,14.37,8479823,50731.13,50690.0,European region,Western Europe,High income
19,Austria,2012,80.94,68.77,2.3,1.6,26.55,24.67,10.2,14.51,8429991,48564.92,50090.0,European region,Western Europe,High income
20,Austria,2011,80.98,71.78,2.4,1.7,26.51,24.65,10.03,14.32,8391643,51442.28,50700.0,European region,Western Europe,High income
21,Austria,2010,80.58,74.28,2.5,1.8,26.48,24.63,10.22,14.0,8363404,46903.76,49770.0,European region,Western Europe,High income
22,Austria,2009,80.33,76.43,2.6,1.8,26.43,24.61,10.23,13.76,8343323,48153.32,49210.0,European region,Western Europe,High income
23,Austria,2008,80.43,74.89,2.5,2.0,26.38,24.58,9.73,14.39,8321496,51919.98,49210.0,European region,Western Europe,High income
24,Austria,2007,80.18,78.15,2.6,1.9,26.33,24.56,9.53,14.09,8295487,46915.34,44510.0,European region,Western Europe,High income
25,Austria,2006,79.88,78.49,2.7,2.0,26.27,24.53,9.53,13.78,8268641,40669.33,41460.0,European region,Western Europe,High income
26,Austria,2005,79.33,83.25,2.8,2.0,26.21,24.5,9.63,13.67,8227829,38417.46,38780.0,European region,Western Europe,High income
27,Austria,2004,79.18,84.71,2.9,2.1,26.14,24.48,9.71,13.03,8171966,36889.23,33860.0,European region,Western Europe,High income
