,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,population,gdp_per_capita,gni,region,sub_region,income_class
0,Albania,2015,78.64,71.25,5.8,3.4,27.06,26.43,6.46,8.8,2880703,3952.8,4390.0,European region,Southern Europe,Upper-middle income
1,Albania,2014,78.41,75.88,5.8,4.1,26.95,26.35,6.43,8.17,2889104,4578.63,4540.0,European region,Southern Europe,Upper-middle income
2,Albania,2013,78.12,77.48,5.7,4.5,26.84,26.27,6.28,8.83,2895092,4413.06,4540.0,European region,Southern Europe,Upper-middle income
3,Albania,2012,78.06,80.11,5.8,4.7,26.73,26.18,6.16,8.7,2900401,4247.63,4360.0,European region,Southern Europe,Upper-middle income
4,Albania,2011,78.09,103.3,6.2,5.3,26.62,26.1,6.18,8.29,2905195,4437.14,4410.0,European region,Southern Europe,Upper-middle income
5,Albania,2010,77.94,104.7,6.4,5.6,26.51,26.01,6.24,8.09,2913021,4094.35,4360.0,European region,Southern Europe,Upper-middle income
6,Albania,2009,77.78,108.0,6.9,6.3,26.4,25.92,5.83,7.22,2927519,4114.13,4280.0,European region,Southern Europe,Upper-middle income
7,Albania,2008,77.65,110.6,7.2,6.7,26.3,25.83,5.51,7.25,2947314,4370.54,4040.0,European region,Southern Europe,Upper-middle income
8,Albania,2007,77.55,112.1,7.7,7.5,26.19,25.74,5.93,9.38,2970017,3595.04,3460.0,European region,Southern Europe,Upper-middle income
9,Albania,2006,76.82,113.2,8.2,8.2,26.08,25.65,5.63,9.03,2992547,2972.74,3050.0,European region,Southern Europe,Upper-middle income
10,Albania,2005,76.62,113.1,8.6,9.2,25.98,25.56,5.73,9.3,3011487,2673.79,2620.0,European region,Southern Europe,Upper-middle income
11,Albania,2004,76.38,84.62,9.2,10.1,25.88,25.47,5.89,9.35,3026939,2373.58,2100.0,European region,Southern Europe,Upper-middle income
12,Albania,2003,76.14,88.0,9.7,11.1,25.78,25.39,5.91,9.0,3039616,1846.12,1650.0,European region,Southern Europe,Upper-middle income
13,Albania,2002,75.89,84.25,10.1,12.0,25.68,25.3,5.66,8.21,3051010,1425.12,1370.0,European region,Southern Europe,Upper-middle income
14,Albania,2001,75.64,83.73,10.6,13.2,25.58,25.22,5.93,8.42,3060173,1281.66,1280.0,European region,Southern Europe,Upper-middle income
15,Albania,2000,75.4,90.7,10.9,14.4,25.49,25.15,5.94,8.17,3089027,1126.68,1100.0,European region,Southern Europe,Upper-middle income
16,Algeria,2015,75.62,84.95,15.4,9.5,24.78,26.49,6.96,10.6,39543154,4741.5,5390.0,African region,Northern Africa,Upper-middle income
17,Algeria,2014,75.11,86.18,15.5,9.6,24.69,26.42,6.55,11.42,38760168,6164.64,6030.0,African region,Northern Africa,Upper-middle income
18,Algeria,2013,74.61,87.57,15.8,9.4,24.6,26.34,6.04,11.7,38000626,6044.67,5970.0,African region,Northern Africa,Upper-middle income
19,Algeria,2012,74.2,89.11,16.1,9.3,24.51,26.27,6.0,10.06,37260563,6096.09,5630.0,African region,Northern Africa,Upper-middle income
20,Algeria,2011,74.12,90.61,16.4,9.3,24.42,26.19,5.27,9.03,36543541,5974.57,5050.0,African region,Northern Africa,Upper-middle income
21,Algeria,2010,73.81,92.17,16.9,9.4,24.33,26.12,5.12,9.19,35856344,4958.26,4870.0,African region,Northern Africa,Upper-middle income
22,Algeria,2009,73.62,94.66,17.4,9.6,24.24,26.04,5.36,8.64,35196037,4270.86,4570.0,African region,Northern Africa,Upper-middle income
23,Algeria,2008,72.94,96.34,17.9,10.1,24.15,25.96,4.2,7.69,34569592,5217.99,4430.0,African region,Northern Africa,Upper-middle income
24,Algeria,2007,72.6,98.52,18.3,10.6,24.07,25.89,3.82,7.63,33983827,4192.66,3780.0,African region,Northern Africa,Upper-middle income
25,Algeria,2006,72.33,100.2,18.8,11.6,23.99,25.81,3.36,7.85,33435080,3681.29,3310.0,African region,Northern Africa,Upper-middle income
26,Algeria,2005,72.06,102.2,19.5,12.4,23.92,25.74,3.24,7.76,32956690,3248.1,2910.0,African region,Northern Africa,Upper-middle income
