,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita
0,Luxembourg,2015,82.29,53.28,1.8,1.1,27.21,25.74,5.08,10.63,6.67,569604,105462.01
1,Luxembourg,2014,82.23,56.01,1.8,0.8,27.17,25.72,5.23,10.85,5.85,556319,123678.7
2,Luxembourg,2013,81.8,58.87,1.9,0.8,27.13,25.7,5.24,10.65,5.85,543360,120000.14
3,Luxembourg,2012,81.39,61.74,1.9,1.0,27.09,25.67,5.29,10.59,5.14,530946,112584.68
4,Luxembourg,2011,80.99,63.99,1.9,1.0,27.04,25.65,5.95,11.96,4.9,518347,119025.06
5,Luxembourg,2010,80.63,65.76,1.8,1.1,26.99,25.63,6.66,13.62,4.36,506953,110885.99
6,Luxembourg,2009,80.64,67.82,1.6,1.2,26.94,25.6,6.95,14.12,5.12,497783,109419.75
7,Luxembourg,2008,80.54,70.23,1.8,1.3,26.87,25.57,6.23,14.4,5.06,488650,120422.14
8,Luxembourg,2007,79.38,72.8,1.9,1.5,26.81,25.54,6.16,14.06,4.07,479993,107475.32
9,Luxembourg,2006,79.29,75.31,1.9,1.4,26.73,25.5,6.64,14.12,4.73,472637,90788.8
10,Luxembourg,2005,79.43,78.54,2.1,1.5,26.66,25.47,7.12,13.8,4.49,465158,80988.14
11,Luxembourg,2004,79.12,81.2,2.1,1.7,26.57,25.43,7.28,14.09,5.11,458095,76544.92
12,Luxembourg,2003,77.73,83.87,2.0,1.8,26.49,25.38,6.96,13.47,3.68,451630,65689.32
13,Luxembourg,2002,77.97,85.74,2.3,2.1,26.4,25.34,6.76,13.59,2.62,446175,53005.73
14,Luxembourg,2001,77.82,88.37,2.4,2.0,26.31,25.29,6.38,14.06,1.8,441525,48440.14
15,Luxembourg,2000,77.87,90.51,2.4,2.4,26.23,25.25,5.93,12.99,2.35,436300,48659.6
16,Switzerland,2015,82.9,49.46,3.0,1.2,26.79,23.84,10.78,10.73,4.8,8282396,83806.45
17,Switzerland,2014,83.2,50.05,3.0,1.2,26.74,23.86,10.43,10.65,4.83,8188649,88724.99
18,Switzerland,2013,82.8,52.78,3.0,1.1,26.69,23.88,10.38,10.44,4.75,8089346,87304.33
19,Switzerland,2012,82.7,53.51,3.0,1.3,26.65,23.9,10.14,11.0,4.49,7996861,85836.21
20,Switzerland,2011,82.7,54.21,3.0,1.3,26.6,23.92,10.05,10.73,4.41,7912398,90476.76
21,Switzerland,2010,82.25,56.75,3.1,1.3,26.54,23.93,9.93,10.39,4.81,7824909,76531.37
22,Switzerland,2009,82.04,59.09,3.1,1.4,26.48,23.95,10.14,9.97,4.11,7743831,71568.31
23,Switzerland,2008,81.99,59.2,3.1,1.5,26.42,23.97,9.53,9.78,3.35,7647675,74175.19
24,Switzerland,2007,81.74,61.97,3.2,1.5,26.35,23.98,9.42,9.56,3.64,7551117,64989.16
25,Switzerland,2006,81.49,63.65,3.1,1.6,26.28,23.99,9.58,9.34,4.0,7483934,59011.03
26,Switzerland,2005,81.24,64.61,3.1,1.8,26.21,24.0,10.06,9.39,4.44,7437115,56242.89
27,Switzerland,2004,81.09,67.11,3.2,1.8,26.14,24.01,10.23,9.31,4.32,7389625,54659.46
28,Switzerland,2003,80.54,70.37,3.2,2.0,26.07,24.02,10.14,9.31,4.12,7339001,49335.75
29,Switzerland,2002,80.39,71.54,3.3,2.0,26.0,24.03,9.88,8.84,2.92,7284753,42458.74
30,Switzerland,2001,80.18,73.35,3.4,2.2,25.93,24.03,9.46,8.7,2.49,7229854,39638.79
31,Switzerland,2000,79.68,76.41,3.5,2.3,25.87,24.03,9.13,7.84,2.66,7184250,38865.02
32,Norway,2015,82.3,53.7,1.7,1.2,27.38,26.22,10.07,17.58,4.3,5188607,74809.97
33,Norway,2014,82.1,56.62,1.7,1.1,27.33,26.18,9.28,17.23,3.48,5137232,97666.7
34,Norway,2013,81.75,60.16,1.8,1.1,27.27,26.13,8.87,17.1,3.42,5079623,103553.84
35,Norway,2012,81.45,59.16,1.7,1.2,27.21,26.08,8.72,17.18,3.12,5018573,102175.92
36,Norway,2011,81.3,65.86,1.7,1.3,27.15,26.04,8.73,16.79,3.22,4953088,101221.81
37,Norway,2010,81.0,64.64,1.8,1.3,27.09,25.99,8.86,16.61,3.52,4889252,88163.21
38,Norway,2009,80.8,66.57,1.9,1.3,27.01,25.94,9.03,16.48,3.1,4828726,80347.57
39,Norway,2008,80.59,66.38,2.1,1.4,26.94,25.89,7.92,16.51,2.55,4768212,97503.54
40,Norway,2007,80.4,67.13,2.1,1.6,26.86,25.83,8.02,16.14,2.49,4709153,85502.27
41,Norway,2006,80.34,69.73,2.1,1.7,26.77,25.77,7.88,16.01,3.4,4660677,74434.5
42,Norway,2005,80.04,71.8,2.2,1.8,26.67,25.71,8.3,16.28,4.38,4623291,67047.17
43,Norway,2004,79.84,74.52,2.4,1.8,26.58,25.65,8.8,16.12,4.26,4591910,57768.7
44,Norway,2003,79.39,75.99,2.5,1.9,26.48,25.59,9.19,15.86,4.22,4564855,50250.33
45,Norway,2002,78.99,79.02,2.6,2.0,26.37,25.52,8.98,15.81,4.02,4538159,43170.56
46,Norway,2001,78.79,80.44,2.6,2.2,26.27,25.45,8.01,15.03,3.74,4513751,38601.9
47,Norway,2000,78.63,84.58,2.9,2.1,26.17,25.37,7.7,14.85,3.46,4490967,38178.24
48,Qatar,2015,80.06,76.25,3.9,3.9,28.83,30.28,3.64,8.29,0.17,2414573,66984.91
49,Qatar,2014,79.77,79.46,3.9,3.9,28.72,30.18,2.42,6.5,0.2,2214465,93126.15
50,Qatar,2013,79.54,82.47,4.1,3.9,28.61,30.08,2.08,6.18,0.28,2035501,97630.83
51,Qatar,2012,79.23,86.97,4.2,3.9,28.5,29.98,1.75,4.47,0.48,1905660,98041.36
52,Qatar,2011,78.89,91.7,4.4,4.0,28.39,29.88,1.6,4.13,0.56,1804171,92993.0
53,Qatar,2010,78.42,97.66,4.5,4.1,28.29,29.78,1.87,4.15,0.45,1713504,73021.31
54,Qatar,2009,77.88,104.6,4.6,4.1,28.18,29.68,2.38,4.65,0.31,1610274,60733.98
55,Qatar,2008,77.43,109.8,4.8,4.1,28.08,29.58,1.64,5.19,0.31,1444277,79811.6
56,Qatar,2007,77.02,115.3,4.9,4.3,27.98,29.49,2.07,5.25,0.52,1231893,64706.99
57,Qatar,2006,76.57,119.3,5.1,4.4,27.88,29.4,2.29,5.8,0.87,1015060,59978.86
58,Qatar,2005,76.06,121.0,5.5,4.6,27.79,29.32,2.56,6.62,0.87,848710,52468.45
59,Qatar,2004,75.96,121.0,5.5,4.9,27.7,29.23,3.18,7.98,0.87,777943,40792.28
60,Qatar,2003,75.56,124.2,5.9,5.1,27.61,29.15,3.5,9.22,0.87,748525,31440.22
61,Qatar,2002,75.41,126.7,6.1,5.3,27.53,29.06,2.46,4.9,0.87,713186,27151.03
62,Qatar,2001,75.26,129.3,6.4,5.4,27.44,28.97,2.32,4.55,0.87,678831,25836.27
63,Qatar,2000,74.83,131.9,6.5,5.8,27.35,28.88,1.97,3.94,0.87,645937,27494.77
64,Ireland,2015,81.45,61.09,2.3,1.3,28.04,27.15,7.34,18.12,9.91,4701957,62179.26
65,Ireland,2014,81.35,62.94,2.2,1.5,27.99,27.09,9.51,18.02,11.86,4657740,55752.76
66,Ireland,2013,80.95,64.81,2.3,1.4,27.94,27.03,10.28,17.92,13.74,4623816,51496.96
67,Ireland,2012,80.85,67.43,2.4,1.6,27.89,26.97,10.6,17.93,15.45,4599533,48943.82
68,Ireland,2011,80.75,69.0,2.4,1.6,27.84,26.91,10.61,16.18,15.35,4580084,52219.71
69,Ireland,2010,80.74,67.55,2.4,1.6,27.78,26.85,10.52,12.35,14.53,4560155,48663.6
70,Ireland,2009,80.19,76.86,2.4,1.6,27.72,26.78,10.52,17.3,12.61,4535375,52133.09
71,Ireland,2008,80.1,74.42,2.4,1.7,27.65,26.71,9.13,17.42,6.77,4489544,61353.11
72,Ireland,2007,79.64,74.66,2.5,1.8,27.57,26.64,7.81,17.36,4.98,4398942,61396.42
73,Ireland,2006,79.24,77.08,2.7,1.9,27.49,26.56,7.52,17.43,4.42,4273591,54329.16
74,Ireland,2005,78.94,78.02,3.0,2.1,27.4,26.48,7.64,18.25,4.34,4159914,50933.02
75,Ireland,2004,78.54,81.81,3.2,2.1,27.31,26.4,7.22,17.36,4.49,4070262,47754.2
76,Ireland,2003,78.14,82.11,3.5,2.4,27.21,26.3,7.01,16.9,4.48,3996521,41203.53
77,Ireland,2002,77.63,87.35,3.6,2.6,27.11,26.21,6.67,16.03,4.22,3931947,32705.43
78,Ireland,2001,77.13,89.66,3.8,2.8,27.01,26.1,6.39,15.59,3.68,3866243,28282.41
79,Ireland,2000,76.54,95.46,3.9,2.9,26.9,25.99,5.9,14.96,4.32,3805174,26334.57
80,United States of America,2015,78.69,106.6,3.8,2.8,28.97,29.0,16.49,22.32,5.28,320738994,57040.21
81,United States of America,2014,78.84,105.0,3.9,2.9,28.93,28.92,16.2,21.48,6.17,318386329,55304.32
82,United States of America,2013,78.74,104.2,3.9,3.0,28.89,28.85,15.99,20.36,7.38,316059947,53409.75
83,United States of America,2012,78.74,104.3,3.9,3.0,28.85,28.77,16.12,19.63,8.07,313877662,51784.41
84,United States of America,2011,78.64,104.5,3.9,3.1,28.8,28.7,16.14,18.85,8.95,311583481,50065.98
85,United States of America,2010,78.54,104.2,3.9,3.3,28.74,28.62,16.2,18.39,9.63,309327143,48650.66
86,United States of America,2009,78.39,107.5,4.1,3.1,28.68,28.54,16.2,18.19,9.25,306771529,47194.95
87,United States of America,2008,78.04,108.7,4.3,3.1,28.61,28.45,15.21,18.2,5.78,304093966,48570.06
88,United States of America,2007,77.99,110.1,4.4,3.2,28.52,28.36,14.92,18.5,4.62,301231207,48050.23
89,United States of America,2006,77.69,112.7,4.4,3.2,28.43,28.26,14.71,18.57,4.62,298379912,46301.99
90,United States of America,2005,77.49,113.0,4.3,3.3,28.33,28.16,14.58,17.94,5.08,295516599,44123.4
91,United States of America,2004,77.49,112.0,4.4,3.2,28.23,28.06,14.55,17.93,5.53,292805298,41724.64
92,United States of America,2003,77.04,114.5,4.4,3.5,28.12,27.95,14.51,17.51,5.99,290107933,39490.3
93,United States of America,2002,76.94,115.0,4.6,3.5,28.0,27.84,14.0,17.22,5.78,287625193,37997.74
94,United States of America,2001,76.84,116.1,4.6,3.6,27.89,27.71,13.17,16.76,4.73,284968955,37133.62
95,United States of America,2000,76.64,115.1,4.5,3.7,27.76,27.58,12.49,16.16,3.99,282162411,36329.97
96,Singapore,2015,82.74,52.85,1.0,1.6,24.35,23.16,4.18,13.54,3.79,5535002,55645.61
97,Singapore,2014,82.5,54.11,0.9,1.6,24.31,23.17,3.87,13.66,3.74,5469724,57564.8
98,Singapore,2013,82.25,54.82,1.0,1.6,24.26,23.18,3.69,13.96,3.86,5399162,56967.43
99,Singapore,2012,82.0,55.94,1.0,1.7,24.21,23.2,3.33,13.21,3.72,5312437,55547.56
100,Singapore,2011,81.74,57.1,1.1,1.6,24.16,23.21,3.16,11.97,3.89,5183688,53891.46
101,Singapore,2010,81.54,58.32,1.1,1.5,24.12,23.23,3.2,10.94,4.12,5076732,47236.68
102,Singapore,2009,81.24,60.01,1.3,1.5,24.08,23.25,3.4,7.15,5.86,4987573,38926.81
103,Singapore,2008,80.79,65.08,1.2,1.6,24.03,23.26,3.19,8.65,3.96,4839396,40008.57
104,Singapore,2007,80.44,65.15,1.1,1.6,23.99,23.28,2.84,10.35,3.9,4588599,39432.89
105,Singapore,2006,80.14,65.57,1.3,1.6,23.95,23.3,2.93,7.85,4.48,4401365,33768.45
106,Singapore,2005,79.99,69.06,1.3,1.7,23.91,23.33,3.03,7.89,5.59,4265762,29961.32
107,Singapore,2004,79.49,69.89,1.3,1.8,23.87,23.35,3.15,7.13,5.84,4166664,27608.08
108,Singapore,2003,79.04,71.96,1.2,1.9,23.83,23.37,3.61,8.33,5.93,4114826,23730.38
109,Singapore,2002,78.55,76.58,1.3,2.1,23.79,23.39,3.36,6.54,5.65,4175950,22159.84
110,Singapore,2001,78.25,77.7,1.5,2.3,23.74,23.41,3.16,4.87,3.76,4138012,21699.74
111,Singapore,2000,77.95,77.69,1.5,2.2,23.7,23.44,3.34,7.39,3.7,4027887,23852.84
112,Denmark,2015,80.7,66.12,3.1,1.0,26.27,24.56,10.34,15.98,6.28,5683483,53254.86
113,Denmark,2014,80.7,68.15,3.1,1.0,26.27,24.56,10.31,15.77,6.92,5643475,62548.98
114,Denmark,2013,80.3,71.37,3.0,1.0,26.26,24.56,10.33,15.63,7.38,5614932,61191.19
115,Denmark,2012,80.05,73.75,2.8,1.2,26.25,24.56,10.52,15.32,7.8,5591572,58507.51
116,Denmark,2011,79.8,77.11,2.9,1.1,26.24,24.56,10.41,15.48,7.77,5570572,61753.65
117,Denmark,2010,79.1,82.53,2.8,1.3,26.22,24.56,10.61,15.77,7.75,5547683,58041.4
118,Denmark,2009,78.6,84.67,2.8,1.4,26.19,24.55,10.67,15.95,6.41,5523095,58163.28
119,Denmark,2008,78.45,86.2,2.7,1.4,26.16,24.55,9.51,15.85,3.68,5493621,64322.06
120,Denmark,2007,78.2,91.58,2.9,1.6,26.11,24.54,9.33,15.74,3.8,5461438,58487.05
121,Denmark,2006,78.1,91.4,3.0,1.6,26.06,24.53,9.17,15.43,3.9,5437272,52027.0
122,Denmark,2005,77.84,89.41,3.1,1.8,26.0,24.52,9.09,14.86,4.83,5419432,48799.83
123,Denmark,2004,77.49,94.52,3.1,1.9,25.93,24.51,9.01,14.2,5.2,5404523,46511.6
124,Denmark,2003,77.14,96.81,3.3,1.9,25.86,24.49,8.9,13.93,5.4,5390574,40458.78
125,Denmark,2002,76.9,99.36,3.3,2.0,25.78,24.48,8.7,13.71,4.27,5375931,33228.69
126,Denmark,2001,76.79,98.69,3.4,2.0,25.69,24.47,8.45,13.34,4.16,5358783,30751.65
127,Denmark,2000,76.59,99.75,3.5,2.0,25.61,24.45,8.1,12.78,4.48,5339616,30743.55
128,Iceland,2015,82.47,54.2,1.2,1.2,27.12,25.57,8.07,15.0,3.98,330815,52951.68
129,Iceland,2014,82.86,53.68,1.2,1.4,27.08,25.55,8.23,14.45,4.9,327386,54576.74
130,Iceland,2013,82.06,53.14,1.1,1.4,27.03,25.52,8.18,14.27,5.38,323764,49804.98
131,Iceland,2012,82.92,52.92,1.4,1.1,26.99,25.5,8.18,13.7,6.0,320716,45995.55
132,Iceland,2011,82.36,52.71,1.2,1.4,26.94,25.48,8.2,12.99,7.03,319014,47714.59
133,Iceland,2010,81.9,53.21,1.1,1.2,26.89,25.46,8.36,13.69,7.56,318041,43237.07
134,Iceland,2009,81.75,54.64,1.3,1.4,26.84,25.43,8.78,13.37,7.22,318499,41301.27
135,Iceland,2008,81.61,56.6,1.6,1.3,26.78,25.4,8.34,10.82,2.95,317414,56943.37
136,Iceland,2007,81.45,58.27,1.6,1.3,26.71,25.37,8.35,15.31,2.25,311566,69495.73
137,Iceland,2006,81.16,59.4,1.5,1.4,26.64,25.33,8.56,15.57,2.83,303782,57492.93
138,Iceland,2005,81.5,60.74,1.6,1.7,26.57,25.29,8.95,16.11,2.55,296734,56794.85
139,Iceland,2004,81.0,62.26,1.7,1.6,26.49,25.25,9.33,16.17,4.03,292074,47334.93
140,Iceland,2003,80.96,64.62,1.9,1.6,26.41,25.21,9.73,16.55,4.0,289521,39476.7
141,Iceland,2002,80.5,67.22,1.9,1.6,26.33,25.16,9.4,16.84,2.99,287523,32409.22
142,Iceland,2001,80.69,70.23,1.9,1.9,26.25,25.11,8.75,14.88,1.87,284968,28897.44
143,Iceland,2000,79.65,72.42,2.1,1.9,26.16,25.06,8.9,16.04,1.94,281205,32096.37
144,Sweden,2015,82.2,54.42,1.6,1.2,26.82,25.42,10.8,18.39,7.43,9799186,51545.48
145,Sweden,2014,82.25,54.88,1.7,1.2,26.77,25.38,10.95,18.14,7.95,9696110,60020.36
146,Sweden,2013,81.96,55.87,1.5,1.2,26.73,25.34,10.9,17.74,8.05,9600379,61126.94
