,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
416,Burundi,2015,60.22,256.8,23.4,41.1,21.81,21.52,6.29,10.44,1.44,10727148,289.36,Low income
417,Burundi,2014,59.87,260.3,23.9,43.9,21.75,21.44,7.21,9.79,1.57,10494913,257.82,Low income
418,Burundi,2013,59.24,267.0,24.8,46.8,21.7,21.36,8.63,4.43,1.58,10149577,241.55,Low income
419,Burundi,2012,58.49,274.8,25.7,50.5,21.65,21.28,8.64,7.11,1.59,9795479,238.21,Low income
420,Burundi,2011,57.77,285.2,26.8,53.9,21.6,21.2,10.07,8.23,1.6,9455733,236.45,Low income
421,Burundi,2010,57.08,296.2,27.7,57.9,21.55,21.13,11.28,4.86,1.61,9126605,222.66,Low income
422,Burundi,2009,56.39,308.2,29.0,62.0,21.5,21.05,9.23,5.48,1.62,8709366,204.54,Low income
423,Burundi,2008,55.71,320.3,29.9,67.0,21.45,20.97,7.74,3.79,1.63,8278109,194.71,Low income
424,Burundi,2007,54.73,341.1,31.0,72.1,21.39,20.89,9.19,6.32,2.4,7944609,170.71,Low income
425,Burundi,2006,53.87,364.5,32.2,78.5,21.34,20.81,8.71,6.48,3.18,7658190,166.28,Low income
426,Burundi,2005,53.02,436.7,33.2,84.6,21.28,20.73,7.56,6.22,3.15,7388874,151.19,Low income
427,Burundi,2004,52.01,461.5,34.1,90.7,21.21,20.65,7.1,5.8,3.18,7120496,128.54,Low income
428,Burundi,2003,50.86,486.2,34.9,96.8,21.15,20.57,5.27,3.72,3.14,6860846,114.37,Low income
429,Burundi,2002,49.89,503.8,35.7,103.4,21.08,20.48,5.35,6.38,3.18,6648938,124.14,Low income
430,Burundi,2001,48.43,523.8,36.5,117.0,21.02,20.4,5.68,6.66,3.16,6465729,135.61,Low income
431,Burundi,2000,47.51,545.0,37.2,121.9,20.95,20.31,4.22,5.94,3.14,6307659,138.0,Low income
576,Comoros,2015,62.9,180.8,33.2,38.6,23.31,25.6,4.6,2.45,4.97,78656904,1322.94,Lower-middel income
577,Comoros,2014,62.52,184.2,34.0,39.9,23.25,25.44,5.24,3.82,4.88,76035588,1608.69,Lower-middel income
578,Comoros,2013,62.22,188.0,34.6,41.4,23.2,25.28,5.1,4.45,4.79,73460021,1595.99,Lower-middel income
