,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
32,Algeria,2015,75.62,84.95,15.4,9.5,24.78,26.49,6.96,10.6,11.21,39543154,4741.5,5390.0
33,Algeria,2014,75.11,86.18,15.5,9.6,24.69,26.42,6.55,11.42,10.21,38760168,6164.64,6030.0
34,Algeria,2013,74.61,87.57,15.8,9.4,24.6,26.34,6.04,11.7,9.82,38000626,6044.67,5970.0
35,Algeria,2012,74.2,89.11,16.1,9.3,24.51,26.27,6.0,10.06,10.97,37260563,6096.09,5630.0
36,Algeria,2011,74.12,90.61,16.4,9.3,24.42,26.19,5.27,9.03,9.96,36543541,5974.57,5050.0
37,Algeria,2010,73.81,92.17,16.9,9.4,24.33,26.12,5.12,9.19,9.96,35856344,4958.26,4870.0
38,Algeria,2009,73.62,94.66,17.4,9.6,24.24,26.04,5.36,8.64,10.16,35196037,4270.86,4570.0
39,Algeria,2008,72.94,96.34,17.9,10.1,24.15,25.96,4.2,7.69,11.33,34569592,5217.99,4430.0
40,Algeria,2007,72.6,98.52,18.3,10.6,24.07,25.89,3.82,7.63,13.79,33983827,4192.66,3780.0
41,Algeria,2006,72.33,100.2,18.8,11.6,23.99,25.81,3.36,7.85,12.27,33435080,3681.29,3310.0
42,Algeria,2005,72.06,102.2,19.5,12.4,23.92,25.74,3.24,7.76,15.27,32956690,3248.1,2910.0
43,Algeria,2004,71.76,105.0,20.2,13.4,23.84,25.66,3.54,8.67,17.65,32510186,2827.23,2440.0
44,Algeria,2003,71.29,109.6,20.7,18.3,23.77,25.58,3.6,9.44,23.72,32055883,2292.32,2090.0
45,Algeria,2002,71.23,111.1,21.1,17.9,23.69,25.49,3.73,7.97,25.9,31624696,1945.19,1840.0
46,Algeria,2001,70.82,113.2,21.2,18.8,23.62,25.4,3.84,9.27,27.3,31200985,1904.22,1720.0
47,Algeria,2000,70.48,115.8,21.5,19.6,23.54,25.3,3.49,8.78,29.77,30774621,1780.38,1600.0
768,Egypt,2015,70.48,162.4,12.5,11.5,27.83,31.52,5.06,5.06,13.05,97723799,3370.38,3100.0
769,Egypt,2014,70.42,160.7,13.0,11.3,27.73,31.35,4.77,4.16,13.1,95592324,3196.86,3000.0
770,Egypt,2013,70.05,163.8,13.4,11.5,27.64,31.18,4.67,4.16,13.15,93377890,3088.89,2810.0
771,Egypt,2012,70.08,169.6,14.0,11.7,27.54,31.01,4.46,4.39,12.6,91240376,3059.14,2630.0
772,Egypt,2011,69.88,171.3,14.7,12.0,27.45,30.84,4.36,4.83,11.85,89200054,2645.62,2380.0
773,Egypt,2010,69.66,175.1,15.4,12.4,27.35,30.68,4.15,4.36,8.76,87252413,2509.77,2200.0
774,Egypt,2009,69.48,176.3,16.1,13.1,27.26,30.51,4.38,4.72,9.09,85501064,2212.22,1970.0
775,Egypt,2008,69.32,173.7,16.9,14.0,27.17,30.35,4.47,4.7,8.52,83844783,1941.9,1710.0
776,Egypt,2007,69.13,172.7,17.4,14.7,27.09,30.19,4.44,5.02,8.8,82218755,1586.47,1420.0
777,Egypt,2006,68.98,175.8,18.2,15.4,27.01,30.04,4.84,5.05,10.49,80629670,1332.34,1230.0
778,Egypt,2005,68.78,175.0,19.0,15.9,26.93,29.88,4.92,5.24,11.05,79075310,1133.11,1130.0
779,Egypt,2004,68.61,176.8,19.8,16.9,26.85,29.73,4.86,5.24,10.32,77522427,1016.25,1120.0
780,Egypt,2003,68.4,179.2,20.3,18.4,26.77,29.57,5.22,5.44,10.91,75963322,1056.94,1160.0
781,Egypt,2002,68.56,179.2,21.0,19.9,26.69,29.41,5.51,6.14,10.01,74393759,1144.53,1250.0
782,Egypt,2001,68.31,179.4,21.7,22.0,26.61,29.24,5.4,6.63,9.26,72854261,1327.1,1350.0
783,Egypt,2000,68.01,173.9,22.5,24.2,26.53,29.08,4.92,6.66,8.98,71371371,1398.86,1330.0
1440,Libya,2015,71.7,163.5,7.1,6.4,26.98,29.49,,,19.65,6192235,7867.51,8370.0
1441,Libya,2014,71.51,161.5,7.2,6.6,26.9,29.41,,,19.3,6097764,9408.75,9130.0
1442,Libya,2013,72.34,132.9,7.7,6.7,26.83,29.33,,,19.32,5985221,12589.53,11960.0
