,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
336,Botswana,2015,63.82,340.8,27.0,13.2,22.59,26.27,6.1,10.42,18.94,2305171,5869.74,Upper-middle income
337,Botswana,2014,62.61,352.2,27.7,13.8,22.55,26.23,5.88,10.96,18.52,2260376,6844.03,Upper-middle income
338,Botswana,2013,62.0,369.1,28.5,14.1,22.5,26.2,6.5,11.93,18.2,2217278,6436.6,Upper-middle income
339,Botswana,2012,60.8,384.6,29.3,16.3,22.46,26.17,6.35,10.68,17.95,2175425,6392.99,Upper-middle income
340,Botswana,2011,60.53,409.4,29.8,18.7,22.42,26.14,5.87,9.63,18.06,2134037,7080.78,Upper-middle income
341,Botswana,2010,60.01,429.5,30.3,19.7,22.38,26.11,6.27,8.06,17.86,2091664,6041.73,Upper-middle income
342,Botswana,2009,58.28,446.5,30.7,23.9,22.33,26.07,6.62,6.25,16.17,2048997,4938.25,Upper-middle income
343,Botswana,2008,57.12,461.3,31.0,26.9,22.28,26.03,5.9,7.64,16.32,2007320,5345.85,Upper-middle income
344,Botswana,2007,55.73,472.4,31.3,29.0,22.23,25.99,5.52,8.18,16.99,1966977,5372.34,Upper-middle income
345,Botswana,2006,53.92,492.3,31.0,33.3,22.17,25.94,4.88,8.18,17.78,1928704,5142.91,Upper-middle income
346,Botswana,2005,52.61,531.1,30.4,40.5,22.11,25.9,5.27,8.18,19.85,1892807,5240.32,Upper-middle income
347,Botswana,2004,51.62,587.9,29.5,47.7,22.04,25.84,6.09,8.18,21.75,1859085,4818.21,Upper-middle income
348,Botswana,2003,50.95,644.5,28.6,52.5,21.98,25.79,6.41,8.18,23.8,1826863,4111.74,Upper-middle income
349,Botswana,2002,50.63,675.8,27.7,56.0,21.91,25.72,6.67,8.18,21.27,1795130,3029.79,Upper-middle income
350,Botswana,2001,50.68,678.5,27.0,59.6,21.84,25.66,6.37,8.18,18.54,1761930,3115.68,Upper-middle income
351,Botswana,2000,51.01,663.7,26.4,72.4,21.77,25.59,6.11,8.18,15.88,1726985,3351.7,Upper-middle income
1408,Lesotho,2015,51.1,629.5,39.2,53.0,22.74,27.09,9.3,10.86,16.22,2118521,1113.84,Lower-middle income
1409,Lesotho,2014,50.03,627.4,39.7,53.1,22.68,27.03,10.0,11.59,16.06,2095242,1165.05,Lower-middle income
1410,Lesotho,2013,49.0,615.6,40.2,54.0,22.61,26.98,11.0,10.49,15.91,2073939,1141.36,Lower-middle income
1411,Lesotho,2012,47.84,609.7,40.8,54.8,22.54,26.93,10.04,9.67,15.73,2054718,1205.86,Lower-middle income
1412,Lesotho,2011,46.69,604.0,41.1,55.6,22.47,26.88,9.08,8.2,16.1,2037677,1265.86,Lower-middle income
1413,Lesotho,2010,45.6,613.8,41.5,56.0,22.4,26.82,7.64,7.2,16.04,2022747,1104.81,Lower-middle income
1414,Lesotho,2009,44.03,631.4,41.8,65.5,22.33,26.76,8.95,7.32,16.09,2009169,866.48,Lower-middle income
1415,Lesotho,2008,43.57,659.6,42.6,72.6,22.26,26.7,7.67,8.08,15.81,1995014,885.66,Lower-middle income
1416,Lesotho,2007,43.12,710.9,42.8,75.2,22.18,26.64,7.22,9.64,15.9,1983465,848.08,Lower-middle income
1417,Lesotho,2006,42.91,743.5,43.2,78.7,22.1,26.58,6.12,7.05,16.02,1976780,910.62,Lower-middle income
1418,Lesotho,2005,43.23,732.5,43.3,80.0,22.01,26.51,5.45,6.0,15.99,1977424,850.78,Lower-middle income
1419,Lesotho,2004,43.71,699.5,43.6,80.2,21.93,26.45,6.06,8.25,16.12,1985384,761.18,Lower-middle income
1420,Lesotho,2003,44.53,647.3,43.7,79.7,21.84,26.38,6.05,7.9,16.02,1993030,580.94,Lower-middle income
1421,Lesotho,2002,45.6,588.7,43.8,77.8,21.76,26.31,6.54,7.72,16.05,1997534,388.37,Lower-middle income
1422,Lesotho,2001,46.85,589.1,43.6,75.7,21.68,26.24,7.28,8.7,16.05,1999473,412.96,Lower-middle income
1423,Lesotho,2000,48.43,607.5,43.0,73.9,21.6,26.17,5.61,7.41,16.14,1998630,443.95,Lower-middle income
1728,Namibia,2015,60.7,336.9,18.0,28.1,22.98,25.48,9.98,9.65,20.8,2282704,4965.67,Upper-middle income
1729,Namibia,2014,59.82,333.3,18.2,29.3,22.9,25.41,8.41,9.29,18.52,2243001,5544.1,Upper-middle income
1730,Namibia,2013,58.69,329.6,18.7,30.5,22.83,25.34,9.06,10.91,19.03,2204510,5463.03,Upper-middle income
1731,Namibia,2012,57.64,334.9,18.8,32.4,22.75,25.27,9.27,11.05,16.77,2167470,6017.18,Upper-middle income
1732,Namibia,2011,56.55,351.2,19.0,32.3,22.67,25.19,9.83,10.64,19.48,2132340,5873.06,Upper-middle income
1733,Namibia,2010,56.02,369.0,19.1,33.2,22.59,25.12,9.73,11.91,22.12,2099271,5445.42,Upper-middle income
1734,Namibia,2009,55.5,379.8,19.2,35.6,22.51,25.04,9.05,10.82,22.25,2067919,4322.63,Upper-middle income
1735,Namibia,2008,54.65,397.7,19.3,36.5,22.43,24.96,9.92,14.55,22.0,2038552,4222.33,Upper-middle income
1736,Namibia,2007,53.68,437.6,19.6,40.0,22.34,24.87,10.72,17.98,22.11,2011492,4394.52,Upper-middle income
1737,Namibia,2006,52.66,489.2,20.0,45.0,22.25,24.78,10.57,15.75,21.86,1986558,4027.96,Upper-middle income
1738,Namibia,2005,51.79,532.1,20.4,49.3,22.16,24.69,10.08,16.27,22.1,1962865,3692.75,Upper-middle income
1739,Namibia,2004,51.25,558.3,21.1,52.8,22.08,24.59,10.13,17.39,22.09,1939406,3407.85,Upper-middle income
1740,Namibia,2003,51.08,563.5,21.6,54.2,21.99,24.5,9.91,16.82,22.07,1915425,2571.98,Upper-middle income
1741,Namibia,2002,51.25,552.0,21.9,54.4,21.9,24.4,9.68,17.18,21.51,1888525,1773.43,Upper-middle income
1742,Namibia,2001,51.26,531.9,22.3,53.1,21.82,24.29,9.64,15.98,20.99,1856402,1916.26,Upper-middle income
1743,Namibia,2000,51.99,511.0,22.7,52.2,21.74,24.19,9.24,15.98,20.3,1819141,2156.09,Upper-middle income
2320,South Africa,2015,63.95,337.2,11.2,28.8,25.07,29.51,8.05,15.24,22.87,55876504,6204.93,Upper-middle income
2321,South Africa,2014,63.38,347.1,11.5,29.3,25.03,29.43,7.87,14.92,22.61,54729551,6965.14,Upper-middle income
2322,South Africa,2013,62.53,361.4,11.7,31.9,25.0,29.35,8.1,14.34,22.04,53873616,7441.23,Upper-middle income
2323,South Africa,2012,61.85,387.0,12.1,35.0,24.96,29.27,8.0,14.47,21.79,53145033,8173.87,Upper-middle income
2324,South Africa,2011,60.65,420.5,12.6,38.9,24.92,29.18,7.94,14.68,21.42,52443325,8737.04,Upper-middle income
2325,South Africa,2010,58.9,459.0,13.1,46.8,24.88,29.1,7.79,14.14,23.18,51784921,8059.56,Upper-middle income
2326,South Africa,2009,57.45,491.3,13.6,48.1,24.84,29.01,7.65,13.37,20.51,51170779,6444.19,Upper-middle income
2327,South Africa,2008,56.02,513.3,14.3,53.9,24.79,28.92,7.15,13.01,19.51,50565812,6251.88,Upper-middle income
2328,South Africa,2007,54.99,528.2,14.7,59.6,24.73,28.83,6.91,13.51,19.39,49996094,6662.06,Upper-middle income
2329,South Africa,2006,54.28,541.0,15.1,64.9,24.66,28.73,6.88,13.1,19.42,49491756,6139.58,Upper-middle income
2330,South Africa,2005,53.98,541.8,15.6,66.9,24.58,28.63,6.86,10.92,19.56,49017147,5893.19,Upper-middle income
2331,South Africa,2004,54.04,536.7,16.3,67.5,24.51,28.53,6.94,12.03,19.63,48556071,5268.28,Upper-middle income
2332,South Africa,2003,54.33,519.5,16.5,66.8,24.43,28.44,7.04,12.34,19.73,48104048,4095.68,Upper-middle income
2333,South Africa,2002,55.67,487.2,17.0,65.0,24.35,28.34,6.68,10.38,19.66,47661514,2708.42,Upper-middle income
2334,South Africa,2001,57.26,453.7,17.3,62.4,24.28,28.24,7.12,10.62,19.73,47229714,2867.47,Upper-middle income
2335,South Africa,2000,58.47,428.0,17.9,59.6,24.21,28.15,7.34,11.86,19.84,46813266,3241.66,Upper-middle income
