,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
0,Antigua and Barbuda,2015,77.91,110.6,4.2,3.7,25.74,27.83,5.28,11.82,,89941,15985.54,14560.0
14,Antigua and Barbuda,2001,75.08,127.1,8.0,5.8,24.53,26.19,5.44,12.12,,76215,11513.68,10600.0
13,Antigua and Barbuda,2002,75.54,123.5,8.1,5.2,24.62,26.3,5.29,10.65,,77195,11632.73,10710.0
12,Antigua and Barbuda,2003,75.48,120.7,7.5,5.3,24.71,26.42,5.58,12.45,,78075,12141.6,11680.0
11,Antigua and Barbuda,2004,75.67,118.5,7.6,4.6,24.79,26.53,5.12,12.13,,78941,12999.35,12850.0
10,Antigua and Barbuda,2005,75.82,116.7,7.1,4.8,24.88,26.64,4.99,11.53,,79869,14319.88,14050.0
9,Antigua and Barbuda,2006,75.76,115.8,6.4,5.3,24.96,26.75,4.63,8.37,,80895,16114.08,15740.0
8,Antigua and Barbuda,2007,76.13,113.3,6.7,4.9,25.05,26.87,4.45,8.45,,82016,18134.27,17300.0
15,Antigua and Barbuda,2000,74.61,130.7,8.8,5.9,24.45,26.07,4.72,11.86,,75055,11998.56,11200.0
6,Antigua and Barbuda,2009,76.67,110.8,5.4,4.7,25.22,27.09,4.18,6.33,,84534,16401.03,15750.0
5,Antigua and Barbuda,2010,76.82,110.7,5.4,4.3,25.3,27.21,5.38,13.9,,85695,15149.72,14390.0
4,Antigua and Barbuda,2011,77.1,110.2,4.9,4.3,25.39,27.33,5.44,12.99,,86729,14774.03,14070.0
3,Antigua and Barbuda,2012,77.35,109.8,4.9,4.2,25.47,27.45,5.48,14.63,,87674,15136.84,14350.0
2,Antigua and Barbuda,2013,77.58,109.2,4.2,4.4,25.56,27.58,5.51,13.3,,88497,14977.07,14350.0
1,Antigua and Barbuda,2014,77.86,110.8,4.4,4.3,25.65,27.7,5.87,15.11,,89236,15451.5,14690.0
7,Antigua and Barbuda,2008,76.41,112.3,6.2,4.9,25.13,26.98,4.2,8.08,,83251,18708.97,17750.0
210,Argentina,2013,76.49,116.3,7.3,5.3,27.71,27.46,9.78,16.54,7.1,42202935,13080.25,12760.0
211,Argentina,2012,76.47,117.4,7.5,5.7,27.61,27.34,9.83,16.66,7.22,41733271,13082.66,11770.0
212,Argentina,2011,76.12,117.3,7.6,6.5,27.51,27.23,9.42,16.28,7.18,41261490,12848.74,10590.0
213,Argentina,2010,75.72,117.9,7.7,6.7,27.41,27.12,9.45,16.69,7.71,40788453,10385.96,9160.0
214,Argentina,2009,75.94,121.9,7.9,7.1,27.31,27.01,9.46,16.42,8.64,40684338,8184.39,7720.0
215,Argentina,2008,75.64,121.9,7.8,7.4,27.22,26.91,8.18,14.66,7.84,40273769,8977.51,7600.0
223,Argentina,2000,73.93,133.6,10.5,9.0,26.53,26.12,8.22,17.82,15.0,37070774,7666.52,7400.0
218,Argentina,2005,75.14,122.4,8.8,7.6,26.94,26.6,7.61,16.02,11.51,39070501,5086.63,4230.0
217,Argentina,2006,75.43,121.9,8.3,7.8,27.03,26.7,7.64,15.1,10.08,39476851,5890.98,5440.0
219,Argentina,2004,74.86,124.7,9.5,7.5,26.86,26.5,7.23,16.26,13.52,38668796,4258.16,3340.0
220,Argentina,2003,74.08,130.9,9.9,7.3,26.77,26.41,6.89,17.13,15.36,38278164,3333.15,3620.0
221,Argentina,2002,74.41,133.1,10.2,7.9,26.69,26.31,7.39,18.46,19.59,37885028,2579.49,4010.0
222,Argentina,2001,74.19,133.1,10.4,8.6,26.61,26.22,8.37,17.37,17.32,37480493,7168.98,6930.0
208,Argentina,2015,76.76,112.0,6.6,4.7,27.92,27.68,10.23,16.5,7.58,43131966,13789.06,12500.0
216,Argentina,2007,75.01,124.3,8.1,7.6,27.12,26.8,7.83,14.4,8.47,39876111,7210.6,6460.0
209,Argentina,2014,76.76,112.9,7.0,4.9,27.81,27.57,9.67,16.29,7.27,42669500,12334.8,12240.0
153,Bahamas,2006,72.86,190.3,8.5,5.9,26.43,28.28,4.31,12.73,7.54,352664,28829.85,29230.0
158,Bahamas,2001,72.11,213.9,8.4,7.9,26.0,27.87,3.92,13.24,6.87,329626,25234.14,24520.0
157,Bahamas,2002,72.23,203.1,8.5,7.7,26.08,27.96,3.81,12.95,9.05,334002,26590.14,25220.0
156,Bahamas,2003,72.4,194.1,8.8,7.3,26.17,28.04,4.02,13.16,10.84,338490,26204.88,25900.0
155,Bahamas,2004,72.48,192.4,8.8,6.8,26.26,28.12,4.05,13.04,10.2,343089,26393.41,27470.0
154,Bahamas,2005,72.76,187.0,9.0,6.4,26.35,28.2,4.03,12.86,10.2,347804,28280.87,28880.0
152,Bahamas,2007,72.68,185.5,8.2,5.4,26.52,28.35,4.5,13.5,7.88,357666,29687.87,29690.0
151,Bahamas,2008,72.67,185.5,7.8,5.4,26.6,28.43,4.86,14.47,8.18,362795,29013.63,29660.0
150,Bahamas,2009,72.58,185.7,7.3,5.1,26.69,28.51,5.15,15.01,14.25,368057,27120.69,27920.0
149,Bahamas,2010,72.73,186.1,6.8,5.0,26.77,28.58,5.26,15.44,14.43,373272,27046.66,27320.0
148,Bahamas,2011,72.56,186.2,6.2,4.8,26.86,28.66,5.32,13.9,14.52,377950,26644.93,26990.0
147,Bahamas,2012,72.75,186.4,5.6,4.3,26.95,28.74,5.32,14.06,14.02,382061,28059.66,27630.0
146,Bahamas,2013,73.02,185.0,5.2,3.9,27.03,28.82,5.59,14.02,16.18,385650,26956.57,26660.0
159,Bahamas,2000,72.04,219.7,8.4,8.2,25.91,27.78,3.8,12.66,7.24,325014,24849.61,23880.0
145,Bahamas,2014,73.37,185.8,4.7,4.0,27.12,28.9,5.54,14.21,13.8,389131,28201.56,27000.0
144,Bahamas,2015,73.1,180.3,4.5,3.6,27.2,28.98,5.16,12.84,12.0,392697,29722.41,27270.0
29,Barbados,2002,74.37,129.1,9.3,6.4,25.34,28.19,5.86,9.33,10.32,266455,11658.63,11030.0
30,Barbados,2001,74.25,129.7,9.2,6.4,25.26,28.1,5.53,12.38,9.85,265377,11510.04,11030.0
27,Barbados,2004,74.73,127.5,9.8,6.1,25.51,28.36,7.31,13.97,9.57,268505,12828.44,12660.0
26,Barbados,2005,74.89,125.4,9.8,5.9,25.59,28.45,6.78,12.26,9.08,269477,14173.75,13610.0
25,Barbados,2006,75.07,124.6,10.0,5.6,25.67,28.53,6.58,12.22,8.73,270425,15595.17,14630.0
24,Barbados,2007,75.34,122.7,9.9,5.4,25.75,28.61,6.06,10.53,7.41,271444,17225.53,15950.0
23,Barbados,2008,75.45,120.4,9.8,5.2,25.84,28.7,6.48,11.28,8.12,272635,17570.78,16600.0
22,Barbados,2009,75.68,118.4,9.6,5.2,25.92,28.78,7.15,11.66,10.02,273791,16314.67,16150.0
