,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita
64,Antigua and Barbuda,2015,77.91,110.6,4.2,3.7,25.74,27.83,5.28,11.82,,89941,15985.54
65,Antigua and Barbuda,2014,77.86,110.8,4.4,4.3,25.65,27.7,5.87,15.11,,89236,15451.5
66,Antigua and Barbuda,2013,77.58,109.2,4.2,4.4,25.56,27.58,5.51,13.3,,88497,14977.07
67,Antigua and Barbuda,2012,77.35,109.8,4.9,4.2,25.47,27.45,5.48,14.63,,87674,15136.84
68,Antigua and Barbuda,2011,77.1,110.2,4.9,4.3,25.39,27.33,5.44,12.99,,86729,14774.03
69,Antigua and Barbuda,2010,76.82,110.7,5.4,4.3,25.3,27.21,5.38,13.9,,85695,15149.72
70,Antigua and Barbuda,2009,76.67,110.8,5.4,4.7,25.22,27.09,4.18,6.33,,84534,16401.03
71,Antigua and Barbuda,2008,76.41,112.3,6.2,4.9,25.13,26.98,4.2,8.08,,83251,18708.97
72,Antigua and Barbuda,2007,76.13,113.3,6.7,4.9,25.05,26.87,4.45,8.45,,82016,18134.27
73,Antigua and Barbuda,2006,75.76,115.8,6.4,5.3,24.96,26.75,4.63,8.37,,80895,16114.08
74,Antigua and Barbuda,2005,75.82,116.7,7.1,4.8,24.88,26.64,4.99,11.53,,79869,14319.88
75,Antigua and Barbuda,2004,75.67,118.5,7.6,4.6,24.79,26.53,5.12,12.13,,78941,12999.35
76,Antigua and Barbuda,2003,75.48,120.7,7.5,5.3,24.71,26.42,5.58,12.45,,78075,12141.6
77,Antigua and Barbuda,2002,75.54,123.5,8.1,5.2,24.62,26.3,5.29,10.65,,77195,11632.73
78,Antigua and Barbuda,2001,75.08,127.1,8.0,5.8,24.53,26.19,5.44,12.12,,76215,11513.68
79,Antigua and Barbuda,2000,74.61,130.7,8.8,5.9,24.45,26.07,4.72,11.86,,75055,11998.56
208,Barbados,2015,76.65,114.2,8.4,4.6,26.43,29.32,6.83,9.07,9.8,278083,17040.42
209,Barbados,2014,76.48,114.5,8.8,4.7,26.34,29.23,6.97,9.91,12.17,277493,16980.03
210,Barbados,2013,76.28,114.5,9.1,4.6,26.26,29.13,7.4,10.81,11.55,276865,16952.13
211,Barbados,2012,76.1,114.7,9.2,4.6,26.17,29.04,7.78,12.41,11.59,276197,16736.92
212,Barbados,2011,75.92,116.9,9.2,4.8,26.09,28.95,6.9,10.61,11.19,275486,16924.07
213,Barbados,2010,75.71,117.7,9.5,5.2,26.0,28.87,6.77,10.73,10.69,274711,16507.43
214,Barbados,2009,75.68,118.4,9.6,5.2,25.92,28.78,7.15,11.66,10.02,273791,16314.67
215,Barbados,2008,75.45,120.4,9.8,5.2,25.84,28.7,6.48,11.28,8.12,272635,17570.78
216,Barbados,2007,75.34,122.7,9.9,5.4,25.75,28.61,6.06,10.53,7.41,271444,17225.53
217,Barbados,2006,75.07,124.6,10.0,5.6,25.67,28.53,6.58,12.22,8.73,270425,15595.17
218,Barbados,2005,74.89,125.4,9.8,5.9,25.59,28.45,6.78,12.26,9.08,269477,14173.75
219,Barbados,2004,74.73,127.5,9.8,6.1,25.51,28.36,7.31,13.97,9.57,268505,12828.44
220,Barbados,2003,74.47,129.7,9.8,6.0,25.42,28.28,6.69,11.64,11.0,267499,11998.18
221,Barbados,2002,74.37,129.1,9.3,6.4,25.34,28.19,5.86,9.33,10.32,266455,11658.63
222,Barbados,2001,74.25,129.7,9.2,6.4,25.26,28.1,5.53,12.38,9.85,265377,11510.04
223,Barbados,2000,74.09,138.1,9.1,6.2,25.17,28.01,5.33,12.28,9.35,264657,11560.25
640,Cuba,2015,77.77,100.1,2.3,3.3,25.29,26.14,12.81,18.25,2.4,1187280,7683.74
641,Cuba,2014,77.85,97.26,2.4,3.3,25.21,26.09,12.14,18.02,2.7,1176995,7117.54
642,Cuba,2013,77.87,97.98,2.5,3.3,25.13,26.03,10.43,14.14,3.29,1166968,6814.24
643,Cuba,2012,77.83,98.59,2.5,3.3,25.05,25.97,9.3,11.49,3.46,1156556,6467.34
644,Cuba,2011,77.76,94.36,2.7,3.2,24.96,25.92,11.31,15.09,3.18,1145086,6106.01
645,Cuba,2010,77.66,99.79,2.8,3.2,24.88,25.86,10.69,13.87,2.5,1129686,5275.53
646,Cuba,2009,77.55,100.8,2.7,3.3,24.8,25.81,12.29,14.93,1.67,1110974,5094.44
647,Cuba,2008,77.43,101.5,2.8,3.6,24.72,25.75,11.31,13.18,1.58,1092390,4992.82
