,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
256,Belize,2015,73.19,165.8,9.5,5.9,27.54,30.63,4.65,11.35,7.58,359871,6098.6,Upper-middle income
257,Belize,2014,73.31,166.1,9.9,6.2,27.45,30.51,4.88,12.23,8.24,352335,6031.55,Upper-middle income
258,Belize,2013,73.67,166.8,10.1,6.6,27.36,30.39,4.44,12.27,8.35,344688,5865.47,Upper-middle income
259,Belize,2012,73.24,169.1,10.4,7.4,27.26,30.26,4.36,12.94,8.38,337059,5635.52,Upper-middle income
260,Belize,2011,72.65,171.2,9.9,8.2,27.17,30.15,4.55,12.7,8.43,329538,5519.34,Upper-middle income
261,Belize,2010,72.27,172.1,9.6,9.2,27.08,30.03,4.5,12.76,8.42,322106,5399.06,Upper-middle income
262,Belize,2009,71.82,169.3,9.1,10.3,26.99,29.91,4.53,12.48,8.34,314171,5352.1,Upper-middle income
263,Belize,2008,71.15,165.8,8.7,11.2,26.9,29.79,4.54,13.38,8.18,305671,5665.97,Upper-middle income
264,Belize,2007,70.66,165.6,8.2,11.9,26.81,29.68,4.08,10.77,8.51,297173,5717.93,Upper-middle income
265,Belize,2006,70.09,167.6,8.5,11.8,26.72,29.56,3.57,9.33,9.39,288729,5486.83,Upper-middle income
266,Belize,2005,69.38,169.8,9.1,11.9,26.62,29.45,3.47,8.33,10.91,280375,5236.37,Upper-middle income
267,Belize,2004,69.23,175.7,9.8,11.4,26.53,29.33,3.45,7.88,10.6,272128,5123.6,Upper-middle income
268,Belize,2003,68.91,181.5,10.3,11.3,26.43,29.21,3.56,7.14,10.36,263998,4937.09,Upper-middle income
269,Belize,2002,68.75,187.5,11.0,11.1,26.33,29.09,3.59,7.51,10.04,255987,4844.23,Upper-middle income
270,Belize,2001,68.36,192.5,11.5,11.2,26.23,28.96,3.49,6.83,9.07,248100,4708.29,Upper-middle income
271,Belize,2000,68.56,193.9,11.9,11.7,26.13,28.83,2.98,5.85,10.81,240406,4720.17,Upper-middle income
608,Costa Rica,2015,79.09,82.12,6.0,3.2,26.84,28.01,7.59,29.49,8.41,4203604,11529.96,Upper-middle income
609,Costa Rica,2014,78.77,80.37,6.2,3.4,26.77,27.91,7.66,29.14,8.5,4238389,10737.68,Upper-middle income
610,Costa Rica,2013,79.4,81.18,6.3,3.4,26.7,27.81,7.68,29.15,8.22,4255689,10633.27,Upper-middle income
611,Costa Rica,2012,79.28,81.59,6.4,3.3,26.63,27.7,7.79,31.29,9.11,4267558,9971.65,Upper-middle income
612,Costa Rica,2011,79.35,81.82,6.5,3.3,26.56,27.59,8.12,32.77,9.52,4280622,9137.46,Upper-middle income
613,Costa Rica,2010,78.67,87.64,6.6,3.3,26.48,27.48,8.03,31.74,7.17,4295427,8147.24,Upper-middle income
614,Costa Rica,2009,78.67,79.08,6.8,3.3,26.4,27.37,7.86,33.1,7.82,4305181,6737.86,Upper-middle income
615,Costa Rica,2008,78.44,80.83,6.8,3.5,26.32,27.25,7.47,32.38,4.93,4309705,6841.91,Upper-middle income
616,Costa Rica,2007,78.46,76.58,7.0,3.5,26.24,27.13,7.0,31.21,4.56,4310217,6055.09,Upper-middle income
617,Costa Rica,2006,78.51,88.2,6.8,3.6,26.15,27.02,6.94,29.51,5.93,4311159,5188.36,Upper-middle income
618,Costa Rica,2005,78.5,81.73,6.8,3.5,26.07,26.89,6.66,25.71,6.75,4310145,4643.46,Upper-middle income
619,Costa Rica,2004,78.33,88.35,6.9,3.8,25.97,26.77,6.63,25.74,6.44,4304600,4376.08,Upper-middle income
620,Costa Rica,2003,78.07,88.35,7.0,4.1,25.88,26.64,6.97,26.33,6.65,4303399,4123.51,Upper-middle income
621,Costa Rica,2002,77.98,88.0,7.2,4.5,25.78,26.51,6.87,24.76,6.4,4302174,4021.43,Upper-middle income
622,Costa Rica,2001,77.54,90.16,7.4,4.9,25.68,26.37,6.47,24.56,6.05,4299642,3941.6,Upper-middle income
623,Costa Rica,2000,77.59,89.4,7.6,5.5,25.58,26.23,6.56,25.26,5.08,4468302,3773.03,Upper-middle income
784,El Salvador,2015,71.81,187.0,7.7,8.1,26.9,28.39,8.76,17.74,4.0,6231066,3761.51,Lower-middel income
785,El Salvador,2014,71.75,163.8,7.9,8.3,26.83,28.28,8.6,16.98,4.15,6209526,3638.52,Lower-middel income
786,El Salvador,2013,71.77,152.3,8.2,8.7,26.75,28.17,9.05,16.72,3.69,6185642,3555.16,Lower-middel income
787,El Salvador,2012,71.83,148.7,8.6,9.1,26.67,28.05,8.61,16.27,3.84,6161289,3471.05,Lower-middel income
788,El Salvador,2011,71.86,162.7,8.9,9.8,26.59,27.94,8.88,18.99,4.3,6137349,3304.97,Lower-middel income
789,El Salvador,2010,71.85,158.8,9.2,10.3,26.51,27.82,8.9,17.09,4.89,6114034,3017.31,Lower-middel income
790,El Salvador,2009,71.58,171.3,9.6,11.0,26.43,27.71,8.84,15.81,7.33,6091188,2889.69,Lower-middel income
791,El Salvador,2008,71.42,163.1,10.0,11.5,26.35,27.6,8.5,16.66,5.88,6068099,2964.17,Lower-middel income
