,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
80,Argentina,2015,76.76,112.0,6.6,4.7,27.92,27.68,10.23,16.5,7.58,43131966,13789.06,High income
81,Argentina,2014,76.76,112.9,7.0,4.9,27.81,27.57,9.67,16.29,7.27,42669500,12334.8,High income
82,Argentina,2013,76.49,116.3,7.3,5.3,27.71,27.46,9.78,16.54,7.1,42202935,13080.25,High income
83,Argentina,2012,76.47,117.4,7.5,5.7,27.61,27.34,9.83,16.66,7.22,41733271,13082.66,High income
84,Argentina,2011,76.12,117.3,7.6,6.5,27.51,27.23,9.42,16.28,7.18,41261490,12848.74,High income
85,Argentina,2010,75.72,117.9,7.7,6.7,27.41,27.12,9.45,16.69,7.71,40788453,10385.96,High income
86,Argentina,2009,75.94,121.9,7.9,7.1,27.31,27.01,9.46,16.42,8.64,40684338,8184.39,High income
87,Argentina,2008,75.64,121.9,7.8,7.4,27.22,26.91,8.18,14.66,7.84,40273769,8977.51,High income
88,Argentina,2007,75.01,124.3,8.1,7.6,27.12,26.8,7.83,14.4,8.47,39876111,7210.6,High income
89,Argentina,2006,75.43,121.9,8.3,7.8,27.03,26.7,7.64,15.1,10.08,39476851,5890.98,High income
90,Argentina,2005,75.14,122.4,8.8,7.6,26.94,26.6,7.61,16.02,11.51,39070501,5086.63,High income
91,Argentina,2004,74.86,124.7,9.5,7.5,26.86,26.5,7.23,16.26,13.52,38668796,4258.16,High income
92,Argentina,2003,74.08,130.9,9.9,7.3,26.77,26.41,6.89,17.13,15.36,38278164,3333.15,High income
93,Argentina,2002,74.41,133.1,10.2,7.9,26.69,26.31,7.39,18.46,19.59,37885028,2579.49,High income
94,Argentina,2001,74.19,133.1,10.4,8.6,26.61,26.22,8.37,17.37,17.32,37480493,7168.98,High income
95,Argentina,2000,73.93,133.6,10.5,9.0,26.53,26.12,8.22,17.82,15.0,37070774,7666.52,High income
304,Bolivia (Plurinational State of),2015,67.32,139.8,19.9,17.4,25.31,27.8,6.55,9.66,3.11,11090085,2975.65,Lower-middel income
305,Bolivia (Plurinational State of),2014,67.16,142.4,20.3,18.5,25.21,27.66,5.9,8.54,2.02,10916987,3022.46,Lower-middel income
306,Bolivia (Plurinational State of),2013,67.02,145.1,21.1,19.2,25.1,27.53,5.57,8.49,2.44,10743349,2853.8,Lower-middel income
307,Bolivia (Plurinational State of),2012,66.7,147.4,21.5,20.4,24.99,27.39,5.25,8.31,2.07,10569697,2562.47,Lower-middel income
308,Bolivia (Plurinational State of),2011,66.53,150.2,22.2,21.5,24.88,27.26,5.17,8.54,2.26,10396246,2304.98,Lower-middel income
309,Bolivia (Plurinational State of),2010,66.16,152.3,23.0,23.1,24.77,27.12,5.2,9.71,2.61,10223270,1922.06,Lower-middel income
310,Bolivia (Plurinational State of),2009,65.88,154.3,23.7,24.5,24.66,26.99,5.17,8.82,2.97,10051317,1725.15,Lower-middel income
311,Bolivia (Plurinational State of),2008,65.45,157.2,24.6,26.5,24.56,26.86,4.61,7.65,2.6,9880593,1687.58,Lower-middel income
312,Bolivia (Plurinational State of),2007,65.03,158.9,25.2,28.3,24.45,26.73,4.7,8.5,2.62,9711152,1351.04,Lower-middel income
313,Bolivia (Plurinational State of),2006,64.78,160.7,26.1,30.7,24.35,26.6,4.66,8.75,2.58,9542663,1200.07,Lower-middel income
314,Bolivia (Plurinational State of),2005,64.39,163.9,26.8,33.4,24.25,26.48,5.07,8.3,2.6,9377388,1018.31,Lower-middel income
315,Bolivia (Plurinational State of),2004,64.0,167.3,27.3,36.3,24.15,26.35,4.86,7.84,2.62,9216279,951.95,Lower-middel income
316,Bolivia (Plurinational State of),2003,63.64,172.1,27.7,39.4,24.05,26.22,5.2,8.61,2.66,9057378,892.36,Lower-middel income
317,Bolivia (Plurinational State of),2002,63.31,176.8,28.4,42.5,23.96,26.1,4.9,7.82,2.61,8900583,888.2,Lower-middel income
318,Bolivia (Plurinational State of),2001,62.84,179.4,28.9,45.6,23.86,25.97,4.83,8.18,2.63,8746084,930.88,Lower-middel income
319,Bolivia (Plurinational State of),2000,62.35,185.6,29.8,48.7,23.77,25.83,4.4,8.3,2.44,8592656,977.33,Lower-middel income
352,Brazil,2015,74.33,136.0,9.4,6.3,26.34,26.91,8.91,8.94,8.54,205188205,8783.22,Upper-middle income
353,Brazil,2014,74.31,138.0,9.7,6.4,26.21,26.78,8.4,9.32,6.76,203459650,12071.4,Upper-middle income
354,Brazil,2013,73.92,140.4,10.0,6.8,26.08,26.65,7.98,9.2,7.07,201721767,12258.57,Upper-middle income
355,Brazil,2012,73.55,141.7,10.3,7.0,25.95,26.52,7.74,8.7,7.25,199977707,12327.51,Upper-middle income
356,Brazil,2011,73.34,143.7,10.7,7.3,25.82,26.39,7.79,8.97,7.58,198185302,13200.56,Upper-middle income
357,Brazil,2010,73.18,144.4,11.3,7.4,25.69,26.27,7.95,9.05,8.42,196353492,11249.29,Upper-middle income
358,Brazil,2009,72.95,145.3,11.8,7.9,25.57,26.15,8.39,10.01,9.42,194517549,8569.9,Upper-middle income
359,Brazil,2008,72.72,145.2,12.3,8.6,25.45,26.03,8.01,9.27,8.27,192672317,8801.76,Upper-middle income
360,Brazil,2007,72.36,145.2,12.9,9.1,25.33,25.92,8.2,9.28,9.28,190779453,7323.19,Upper-middle income
361,Brazil,2006,72.04,147.0,13.6,10.0,25.22,25.81,8.25,9.06,9.69,188820682,5866.02,Upper-middle income
362,Brazil,2005,71.75,148.6,14.1,11.0,25.11,25.71,8.04,8.44,10.55,186797334,4773.27,Upper-middle income
363,Brazil,2004,71.13,154.5,15.0,12.0,25.0,25.61,8.12,9.15,10.07,184722043,3623.22,Upper-middle income
364,Brazil,2003,70.72,155.6,15.7,13.0,24.9,25.52,8.19,8.61,11.17,182629278,3056.65,Upper-middle income
365,Brazil,2002,70.41,158.2,16.6,14.1,24.81,25.43,8.7,9.54,10.64,180476685,2824.72,Upper-middle income
366,Brazil,2001,70.19,159.9,17.3,15.2,24.71,25.33,8.55,9.79,10.65,178211881,3142.24,Upper-middle income
367,Brazil,2000,69.74,161.8,18.3,16.5,24.62,25.24,8.33,9.68,10.89,175873720,3726.81,Upper-middle income
528,Chile,2015,79.75,84.03,5.4,2.7,27.89,28.26,8.35,16.02,6.6,1379860000,13567.36,High income
529,Chile,2014,79.47,83.5,5.2,2.8,27.78,28.18,7.84,15.69,6.76,1371860000,14675.15,High income
530,Chile,2013,79.34,85.35,5.3,2.9,27.68,28.1,7.48,15.41,6.36,1363240000,15842.16,High income
531,Chile,2012,79.02,84.93,5.4,3.0,27.57,28.01,7.02,14.57,6.79,1354190000,15397.78,High income
532,Chile,2011,79.11,86.39,5.3,3.1,27.47,27.93,6.8,14.01,7.49,1345035000,14637.76,High income
533,Chile,2010,78.5,89.62,5.4,3.2,27.37,27.85,6.82,13.69,8.55,1337705000,12764.59,High income
534,Chile,2009,78.74,90.82,5.3,3.5,27.27,27.77,7.25,13.6,11.31,1331260000,10204.56,High income
535,Chile,2008,78.48,88.03,5.3,3.6,27.17,27.7,6.74,13.46,9.28,1324655000,10797.05,High income
536,Chile,2007,77.83,89.85,5.3,3.8,27.07,27.63,6.21,13.6,8.43,1317885000,10456.83,High income
537,Chile,2006,78.26,90.56,5.1,3.9,26.97,27.55,6.07,13.41,9.02,1311020000,9418.27,High income
538,Chile,2005,78.02,92.48,4.9,4.0,26.88,27.48,6.62,12.87,9.34,1303720000,7560.54,High income
539,Chile,2004,77.62,96.42,4.9,4.4,26.78,27.42,6.91,13.1,10.16,1296075000,6185.3,High income
540,Chile,2003,77.39,99.76,4.9,4.5,26.69,27.35,7.25,12.48,9.76,1288400000,4823.26,High income
541,Chile,2002,77.44,100.7,4.9,4.8,26.6,27.28,7.21,11.66,10.17,1280400000,4477.19,High income
542,Chile,2001,76.77,106.4,5.1,5.2,26.51,27.22,7.1,11.13,10.39,1271850000,4610.59,High income
543,Chile,2000,76.87,103.7,5.4,5.6,26.42,27.15,7.0,10.96,10.49,1262645000,5102.97,High income
560,Colombia,2015,76.26,91.23,8.4,7.1,25.88,26.69,7.52,17.04,8.57,730216,6228.65,Upper-middle income
561,Colombia,2014,76.04,91.3,8.9,7.6,25.76,26.63,7.19,16.18,8.8,714612,8167.47,Upper-middle income
562,Colombia,2013,75.83,94.72,9.0,7.8,25.65,26.56,7.02,16.34,9.25,699393,8263.64,Upper-middle income
563,Colombia,2012,75.6,97.35,9.5,8.0,25.54,26.5,6.75,16.2,9.96,684553,8096.8,Upper-middle income
564,Colombia,2011,75.32,99.71,9.9,8.4,25.42,26.43,6.78,16.48,10.29,670071,7392.94,Upper-middle income
565,Colombia,2010,75.03,106.3,10.0,8.4,25.31,26.37,7.07,16.83,11.15,656024,6392.76,Upper-middle income
566,Colombia,2009,74.74,109.4,10.5,8.9,25.2,26.31,7.31,17.04,12.07,642493,5245.95,Upper-middle income
567,Colombia,2008,74.3,107.9,10.8,9.0,25.09,26.25,6.84,16.69,11.27,629470,5534.69,Upper-middle income
568,Colombia,2007,73.84,109.5,11.1,9.4,24.97,26.19,6.49,16.28,11.2,616899,4762.08,Upper-middle income
569,Colombia,2006,73.47,115.5,11.5,9.9,24.86,26.13,6.34,16.06,11.09,604658,3782.6,Upper-middle income
570,Colombia,2005,73.08,117.8,11.8,9.8,24.75,26.07,6.07,16.83,11.06,592683,3448.54,Upper-middle income
571,Colombia,2004,72.69,125.9,12.0,10.3,24.64,26.0,5.8,15.74,13.72,581154,2811.46,Upper-middle income
572,Colombia,2003,72.36,130.0,12.3,10.5,24.53,25.94,5.78,15.6,13.22,570130,2305.17,Upper-middle income
573,Colombia,2002,71.94,145.1,12.8,10.8,24.42,25.87,5.73,14.86,14.48,559047,2421.16,Upper-middle income
574,Colombia,2001,71.5,146.5,13.2,11.3,24.31,25.8,5.94,15.38,15.04,547741,2465.01,Upper-middle income
575,Colombia,2000,71.32,148.1,13.4,11.5,24.2,25.72,5.64,14.88,20.52,536758,2546.85,Upper-middle income
752,Ecuador,2015,76.79,103.1,7.9,7.1,26.65,27.93,7.61,10.91,3.62,16195902,6002.11,Upper-middle income
753,Ecuador,2014,76.62,107.7,8.1,7.3,26.52,27.8,6.83,9.7,3.48,15957994,6436.76,Upper-middle income
754,Ecuador,2013,76.37,112.4,8.1,7.8,26.4,27.66,6.88,8.86,3.08,15722989,6141.98,Upper-middle income
755,Ecuador,2012,76.06,119.3,8.5,8.0,26.28,27.52,6.86,8.85,3.24,15483883,5666.22,Upper-middle income
756,Ecuador,2011,75.74,123.6,8.8,8.5,26.15,27.39,6.58,7.97,3.46,15237728,5183.62,Upper-middle income
757,Ecuador,2010,75.43,128.8,9.1,9.0,26.03,27.25,6.22,8.44,4.09,14989585,4546.58,Upper-middle income
758,Ecuador,2009,75.18,133.2,9.5,9.4,25.91,27.12,5.8,7.46,4.61,14742766,4076.23,Upper-middle income
759,Ecuador,2008,74.98,136.8,9.9,10.1,25.79,26.99,5.47,6.15,3.92,14496797,4217.44,Upper-middle income
760,Ecuador,2007,74.84,137.0,10.2,10.6,25.67,26.86,5.43,8.83,3.14,14251835,3497.71,Upper-middle income
761,Ecuador,2006,74.69,139.5,10.7,11.0,25.55,26.74,5.71,8.57,3.55,14009061,3261.51,Upper-middle income
762,Ecuador,2005,74.51,143.7,11.1,11.4,25.44,26.62,5.6,7.87,3.78,13770012,2925.11,Upper-middle income
763,Ecuador,2004,74.28,139.1,11.5,12.2,25.32,26.49,5.57,8.46,5.0,13534593,2600.37,Upper-middle income
764,Ecuador,2003,73.97,139.9,12.0,12.6,25.21,26.37,5.44,8.21,5.66,13301184,2328.0,Upper-middle income
765,Ecuador,2002,73.61,146.6,12.7,13.3,25.1,26.25,4.48,6.55,4.82,13070609,2069.85,Upper-middle income
766,Ecuador,2001,73.24,145.6,13.3,14.2,24.99,26.12,3.76,6.21,4.25,12845521,1800.4,Upper-middle income
767,Ecuador,2000,72.84,150.0,14.1,14.8,24.88,25.99,3.33,4.14,4.8,12626507,1389.1,Upper-middle income
1056,Guyana,2015,68.2,249.3,20.2,12.9,25.09,27.82,4.02,10.84,13.27,755031,5668.43,Upper-middle income
1057,Guyana,2014,67.88,256.2,20.9,13.3,24.99,27.68,3.95,9.42,12.89,751115,5495.38,Upper-middle income
1058,Guyana,2013,67.47,260.5,21.5,13.6,24.9,27.55,3.8,8.82,12.53,747420,5576.25,Upper-middle income
1059,Guyana,2012,67.23,260.3,21.8,14.0,24.81,27.41,3.71,8.23,12.23,743966,5461.39,Upper-middle income
1060,Guyana,2011,66.98,258.9,22.1,14.5,24.71,27.28,4.17,8.62,11.98,744230,4960.0,Upper-middle income
1061,Guyana,2010,66.74,256.7,22.8,15.1,24.62,27.15,4.22,7.61,11.76,747932,4589.87,Upper-middle income
1062,Guyana,2009,66.56,255.7,23.2,15.7,24.53,27.02,4.35,7.41,11.42,751258,4213.82,Upper-middle income
1063,Guyana,2008,66.29,259.9,23.5,16.1,24.44,26.89,4.2,7.02,11.11,754150,4011.39,Upper-middle income
1064,Guyana,2007,66.25,259.9,23.7,16.6,24.35,26.76,4.28,6.61,10.89,756521,3609.91,Upper-middle income
1065,Guyana,2006,65.67,264.9,24.2,17.2,24.26,26.63,3.93,5.7,10.7,758367,3138.08,Upper-middle income
1066,Guyana,2005,65.13,268.0,24.7,17.9,24.17,26.5,3.79,6.28,11.07,759709,1085.78,Upper-middle income
