,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
64,Afghanistan,2015,62.66,305.9,41.6,31.0,22.6,24.11,10.11,2.01,9.01,33753499,566.88,Low income
65,Afghanistan,2014,62.54,301.3,42.8,32.2,22.51,23.98,9.53,1.86,7.92,32716210,626.51,Low income
66,Afghanistan,2013,62.42,297.8,44.0,33.5,22.43,23.85,8.81,1.78,7.92,31541209,638.73,Low income
67,Afghanistan,2012,61.92,304.5,45.4,38.3,22.34,23.72,7.9,1.37,7.91,30466479,653.42,Low income
68,Afghanistan,2011,61.42,307.6,46.6,40.5,22.26,23.59,8.56,2.19,7.92,29249157,608.74,Low income
70,Afghanistan,2009,60.36,319.6,49.3,44.9,22.1,23.34,9.82,2.51,7.91,27385307,453.39,Low income
71,Afghanistan,2008,59.85,328.8,50.7,44.7,22.02,23.21,10.26,3.0,7.92,26427199,382.53,Low income
72,Afghanistan,2007,59.11,338.6,52.2,46.8,21.95,23.08,9.9,2.61,7.91,25903301,376.32,Low income
69,Afghanistan,2010,60.85,314.1,48.1,42.1,22.18,23.47,8.57,2.26,7.91,28189672,562.5,Low income
74,Afghanistan,2005,58.36,343.2,54.8,50.6,21.79,22.83,9.95,3.37,7.91,24411191,254.12,Low income
75,Afghanistan,2004,57.94,345.7,56.1,50.8,21.71,22.7,9.81,3.6,7.91,23553551,221.83,Low income
76,Afghanistan,2003,57.34,353.4,57.4,52.4,21.63,22.57,8.94,5.46,7.92,22645130,199.64,Low income
77,Afghanistan,2002,56.45,367.5,58.6,60.3,21.54,22.44,9.44,1.21,7.94,21000256,182.17,Low income
78,Afghanistan,2001,55.8,380.3,59.7,68.7,21.46,22.3,,,7.96,19688632,142.9,Low income
79,Afghanistan,2000,55.3,378.2,60.8,66.4,21.37,22.17,,,7.96,19542982,180.19,Low income
73,Afghanistan,2006,58.68,342.2,53.5,53.0,21.87,22.96,10.62,2.72,7.92,25442944,274.02,Low income
437,Armenia,2010,73.16,133.5,9.4,8.5,25.3,27.03,9.24,6.44,11.28,2946293,3143.03,Lower-middel income
432,Armenia,2015,74.44,122.9,7.2,6.8,25.67,27.17,10.12,6.12,12.47,2878595,3666.14,Lower-middel income
433,Armenia,2014,74.06,119.5,7.8,7.2,25.59,27.14,10.18,6.28,12.2,2889930,4017.23,Lower-middel income
434,Armenia,2013,73.68,121.0,8.0,7.5,25.52,27.11,10.32,5.78,11.95,2901385,3833.16,Lower-middel income
435,Armenia,2012,73.45,129.0,8.6,7.6,25.44,27.08,9.13,7.04,11.7,2914421,3643.72,Lower-middel income
436,Armenia,2011,73.31,131.8,8.9,8.2,25.37,27.06,9.38,6.7,11.53,2928976,3462.68,Lower-middel income
438,Armenia,2009,72.81,137.7,10.0,8.9,25.22,27.0,8.44,6.34,10.99,2964296,2917.37,Lower-middel income
446,Armenia,2001,70.93,139.6,15.0,13.7,24.72,26.8,4.65,5.66,11.0,3133133,676.15,Lower-middel income
440,Armenia,2007,72.33,137.2,10.9,9.7,25.08,26.95,5.5,7.2,10.39,3004393,3064.28,Lower-middel income
441,Armenia,2006,71.99,141.9,11.5,10.0,25.01,26.93,5.85,7.93,10.49,3026486,2109.53,Lower-middel income
442,Armenia,2005,71.79,138.1,12.1,10.7,24.95,26.9,5.86,7.44,10.58,3047246,1608.16,Lower-middel income
