,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
1296,Kazakhstan,2015,71.97,177.6,5.5,6.4,26.39,26.63,3.04,8.39,4.93,17542806,10510.77,Upper-middle income
1297,Kazakhstan,2014,71.44,185.0,6.4,6.9,26.3,26.6,2.97,10.03,5.06,17288285,12807.26,Upper-middle income
1298,Kazakhstan,2013,70.62,197.8,7.3,7.1,26.21,26.56,2.66,9.32,5.2,17035551,13890.63,Upper-middle income
1299,Kazakhstan,2012,69.52,212.1,8.6,7.6,26.12,26.53,3.04,9.45,5.29,16792090,12386.7,Upper-middle income
1300,Kazakhstan,2011,68.69,219.5,9.9,8.0,26.03,26.5,2.6,8.68,5.39,16557202,11634.0,Upper-middle income
1301,Kazakhstan,2010,68.45,230.5,10.8,9.1,25.95,26.47,2.74,8.21,5.77,16321872,9070.49,Upper-middle income
1302,Kazakhstan,2009,68.39,228.4,11.4,10.4,25.86,26.44,3.5,11.32,6.55,16092822,7165.22,Upper-middle income
1303,Kazakhstan,2008,67.11,251.9,12.1,11.7,25.78,26.42,3.05,8.37,6.63,15776938,8458.02,Upper-middle income
1304,Kazakhstan,2007,66.34,280.4,12.8,12.9,25.7,26.39,2.7,7.56,7.26,15484192,6771.42,Upper-middle income
1305,Kazakhstan,2006,66.15,287.4,14.2,13.7,25.62,26.37,3.4,11.69,7.79,15308085,5291.57,Upper-middle income
1306,Kazakhstan,2005,65.86,289.2,15.3,14.6,25.54,26.35,3.9,11.51,8.13,15147029,3771.28,Upper-middle income
1307,Kazakhstan,2004,66.06,285.5,16.6,15.6,25.47,26.32,3.98,10.91,8.4,15012984,2874.29,Upper-middle income
1308,Kazakhstan,2003,65.74,284.3,18.0,16.6,25.4,26.3,3.72,9.56,8.78,14909019,2068.12,Upper-middle income
1309,Kazakhstan,2002,65.95,277.6,18.9,18.5,25.34,26.28,3.61,9.42,9.33,14858948,1658.03,Upper-middle income
1310,Kazakhstan,2001,65.76,280.9,20.0,20.3,25.27,26.25,3.47,8.41,10.43,14858335,1490.93,Upper-middle income
