,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
544,China,2015,76.98,93.05,5.5,5.2,24.13,23.53,4.94,9.42,4.65,47119728,8016.45,7890.0
545,China,2014,76.72,94.86,6.0,5.5,23.98,23.46,4.78,9.66,4.63,46677947,7636.07,7470.0
546,China,2013,76.45,97.18,6.4,6.0,23.84,23.39,4.71,9.42,4.6,46237930,7020.39,6740.0
547,China,2012,76.19,100.2,6.9,6.3,23.7,23.31,4.57,9.04,4.58,45782417,6300.58,5910.0
548,China,2011,75.9,102.9,7.6,6.6,23.57,23.24,4.34,8.6,4.55,45308899,5614.39,5040.0
549,China,2010,75.6,105.9,8.2,7.1,23.45,23.16,4.23,8.75,4.53,44816108,4550.47,4340.0
550,China,2009,75.34,109.4,9.0,7.7,23.33,23.09,4.35,8.38,4.72,44313917,3832.23,3680.0
551,China,2008,74.87,115.9,10.1,7.9,23.22,23.01,3.9,7.71,4.59,43815313,3468.33,3100.0
552,China,2007,74.76,118.3,11.2,8.4,23.11,22.93,3.67,7.9,4.35,43306582,2693.96,2510.0
553,China,2006,74.5,122.6,12.5,9.1,23.0,22.85,3.95,7.56,4.43,42772910,2099.22,2060.0
554,China,2005,74.11,128.0,13.9,9.8,22.9,22.78,4.18,7.49,4.52,42220940,1753.41,1760.0
555,China,2004,73.75,131.5,15.4,10.8,22.81,22.72,4.29,7.27,4.49,41648268,1508.67,1510.0
556,China,2003,73.37,133.0,16.9,11.7,22.72,22.65,4.42,6.88,4.58,41057687,1288.64,1280.0
557,China,2002,72.98,135.0,18.3,13.0,22.64,22.59,4.38,6.03,4.24,40454050,1148.51,1110.0
558,China,2001,72.61,136.4,19.8,14.4,22.57,22.54,4.25,5.59,3.8,39837875,1053.11,1010.0
559,China,2000,71.88,139.0,21.3,15.8,22.5,22.49,4.51,6.09,3.26,39215135,959.36,940.0
1264,Japan,2015,83.79,53.59,0.8,1.9,23.66,21.85,10.75,23.15,3.38,127141000,34960.64,39380.0
1265,Japan,2014,83.59,55.68,0.9,1.8,23.63,21.88,10.73,22.57,3.59,127276000,38475.4,44440.0
1266,Japan,2013,83.33,57.39,0.9,1.9,23.6,21.91,10.67,22.22,4.04,127445000,40898.65,48850.0
1267,Japan,2012,83.1,58.93,0.9,2.1,23.58,21.93,10.67,22.22,4.36,127629000,49145.28,50060.0
1268,Japan,2011,82.59,63.29,1.0,2.4,23.54,21.95,10.49,21.69,4.55,127833000,48760.08,47470.0
1269,Japan,2010,82.84,63.0,1.0,2.2,23.51,21.97,9.06,18.93,5.1,128070000,44968.16,43910.0
1270,Japan,2009,82.93,63.92,1.1,2.2,23.47,21.98,8.96,18.06,5.07,128047000,41309.0,39230.0
1271,Japan,2008,82.59,64.74,1.2,2.1,23.43,21.99,8.09,18.1,4.0,128063000,39876.3,39380.0
1272,Japan,2007,82.51,65.8,1.2,2.2,23.39,22.0,7.78,18.23,3.89,128001000,35779.02,39310.0
1273,Japan,2006,82.32,67.04,1.4,2.2,23.35,22.0,7.69,17.87,4.19,127854000,35991.55,40590.0
1274,Japan,2005,81.96,68.69,1.3,2.3,23.3,22.0,7.66,17.75,4.45,127773000,37812.9,41280.0
1275,Japan,2004,82.03,68.73,1.4,2.3,23.25,22.0,7.54,17.2,4.73,127761000,38298.98,39000.0
1276,Japan,2003,81.76,70.55,1.5,2.4,23.2,22.0,7.49,16.36,5.25,127718000,35387.04,35660.0
1277,Japan,2002,81.69,70.48,1.6,2.5,23.15,22.01,7.35,16.06,5.39,127445000,32820.79,35360.0
1278,Japan,2001,81.42,71.77,1.7,2.5,23.11,22.01,7.24,15.95,5.02,127149000,34406.18,37380.0
1279,Japan,2000,81.08,72.85,1.7,2.8,23.06,22.02,7.03,15.07,4.75,126843000,39169.36,36810.0
1648,Mongolia,2015,69.5,218.8,9.9,9.1,25.91,26.66,4.23,7.73,4.86,2964749,3919.35,3770.0
1649,Mongolia,2014,69.05,223.9,10.6,8.9,25.76,26.54,4.21,7.49,4.8,2902823,4211.94,4180.0
