,country,year,status,life_expectancy,adult_mortality,infant_deaths,alcohol,percentage_expenditure,hepatitis_b,measles,bmi,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,population,thinness_1_to_19_years,thinness_5_to_9_years,income_composition_of_resources,schooling
96,Armenia,2015,Developing,74.8,118.0,1,,0.0,94.0,33,54.9,1,96.0,,94.0,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7
97,Armenia,2014,Developing,74.6,12.0,1,3.91,295.6087143,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.712355,29622.0,2.1,2.1,0.739,12.7
98,Armenia,2013,Developing,74.4,123.0,1,3.79,279.4290812,95.0,10,53.3,1,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7
99,Armenia,2012,Developing,74.4,121.0,1,3.89,274.1526986,95.0,0,52.6,1,96.0,4.48,95.0,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7
100,Armenia,2011,Developing,73.9,128.0,1,4.09,260.9963826,95.0,0,51.9,1,96.0,3.71,95.0,0.1,3526.978143,2875581.0,2.0,2.1,0.729,12.7
101,Armenia,2010,Developing,73.5,132.0,1,4.23,224.3212014,94.0,2,51.2,1,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0,2.1,0.72,12.3
102,Armenia,2009,Developing,73.3,137.0,1,3.96,201.1855461,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2993.832531,2888584.0,2.0,2.1,0.725,11.9
103,Armenia,2008,Developing,73.2,14.0,1,3.96,2.8888979,89.0,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,2.1,0.721,12.3
104,Armenia,2007,Developing,73.5,132.0,1,3.99,44.57219966,85.0,1,49.7,1,9.0,4.31,88.0,0.1,3138.8873,293356.0,2.0,2.1,0.707,11.7
105,Armenia,2006,Developing,72.9,141.0,1,4.01,244.5352767,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,2.1,0.692,11.2
106,Armenia,2005,Developing,73.0,137.0,1,4.25,20.21822828,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,1643.758397,2981259.0,2.0,2.1,0.679,10.9
107,Armenia,2004,Developing,73.0,132.0,1,3.81,97.74087744,91.0,1783,48.4,1,93.0,5.5,91.0,0.1,1191.96192,3612.0,2.0,2.1,0.668,10.9
108,Armenia,2003,Developing,72.7,134.0,1,3.03,7.341493148,93.0,4,48.1,1,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0,2.1,0.657,10.8
109,Armenia,2002,Developing,72.6,134.0,1,2.86,57.17810403,91.0,40,47.8,1,96.0,5.4,94.0,0.1,783.261699,333897.0,2.1,2.1,0.645,10.8
110,Armenia,2001,Developing,72.6,141.0,1,2.86,53.19373012,69.0,69,47.4,1,97.0,5.94,94.0,0.1,694.435119,35655.0,2.1,2.1,0.644,11.1
111,Armenia,2000,Developing,72.0,142.0,1,2.9,32.75626853,55.0,15,47.1,1,96.0,6.25,93.0,0.1,622.7427477,369588.0,2.1,2.2,0.639,11.2
