,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
0,Afghanistan,2015,62.66,305.9,41.6,31.0,22.6,24.11,10.11,2.01,9.01,33753499,566.88,Low income
1,Afghanistan,2014,62.54,301.3,42.8,32.2,22.51,23.98,9.53,1.86,7.92,32716210,626.51,Low income
2,Afghanistan,2013,62.42,297.8,44.0,33.5,22.43,23.85,8.81,1.78,7.92,31541209,638.73,Low income
3,Afghanistan,2012,61.92,304.5,45.4,38.3,22.34,23.72,7.9,1.37,7.91,30466479,653.42,Low income
4,Afghanistan,2011,61.42,307.6,46.6,40.5,22.26,23.59,8.56,2.19,7.92,29249157,608.74,Low income
5,Afghanistan,2010,60.85,314.1,48.1,42.1,22.18,23.47,8.57,2.26,7.91,28189672,562.5,Low income
6,Afghanistan,2009,60.36,319.6,49.3,44.9,22.1,23.34,9.82,2.51,7.91,27385307,453.39,Low income
7,Afghanistan,2008,59.85,328.8,50.7,44.7,22.02,23.21,10.26,3.0,7.92,26427199,382.53,Low income
8,Afghanistan,2007,59.11,338.6,52.2,46.8,21.95,23.08,9.9,2.61,7.91,25903301,376.32,Low income
9,Afghanistan,2006,58.68,342.2,53.5,53.0,21.87,22.96,10.62,2.72,7.92,25442944,274.02,Low income
10,Afghanistan,2005,58.36,343.2,54.8,50.6,21.79,22.83,9.95,3.37,7.91,24411191,254.12,Low income
11,Afghanistan,2004,57.94,345.7,56.1,50.8,21.71,22.7,9.81,3.6,7.91,23553551,221.83,Low income
12,Afghanistan,2003,57.34,353.4,57.4,52.4,21.63,22.57,8.94,5.46,7.92,22645130,199.64,Low income
13,Afghanistan,2002,56.45,367.5,58.6,60.3,21.54,22.44,9.44,1.21,7.94,21000256,182.17,Low income
14,Afghanistan,2001,55.8,380.3,59.7,68.7,21.46,22.3,,,7.96,19688632,142.9,Low income
15,Afghanistan,2000,55.3,378.2,60.8,66.4,21.37,22.17,,,7.96,19542982,180.19,Low income
192,Bangladesh,2015,70.49,125.6,20.8,15.4,21.34,21.92,2.27,3.38,4.38,157830000,1236.44,Lower-middel income
193,Bangladesh,2014,69.99,128.3,21.9,17.0,21.28,21.78,2.28,3.59,4.41,155961299,1108.52,Lower-middel income
194,Bangladesh,2013,69.56,132.8,23.1,18.2,21.22,21.64,2.3,3.62,4.43,154030139,973.83,Lower-middel income
195,Bangladesh,2012,69.55,137.2,24.5,19.6,21.16,21.5,2.35,4.02,4.08,152090649,876.52,Lower-middel income
196,Bangladesh,2011,68.81,140.8,25.9,21.3,21.1,21.35,2.36,4.18,3.73,150211005,856.18,Lower-middel income
197,Bangladesh,2010,68.64,145.9,27.3,22.4,21.05,21.21,2.29,4.44,3.38,148391139,776.84,Lower-middel income
198,Bangladesh,2009,67.4,149.0,29.1,23.9,21.0,21.07,2.18,4.12,5.0,146706810,698.5,Lower-middel income
199,Bangladesh,2008,67.05,153.3,30.5,25.7,20.95,20.93,2.12,3.84,4.52,145421318,630.15,Lower-middel income
200,Bangladesh,2007,66.71,156.8,32.0,26.9,20.9,20.79,2.17,5.08,4.04,144135934,552.34,Lower-middel income
201,Bangladesh,2006,67.24,157.8,33.4,32.7,20.86,20.65,2.11,4.73,3.59,142628831,503.37,Lower-middel income
202,Bangladesh,2005,67.3,159.4,35.0,35.9,20.81,20.51,2.06,4.39,4.25,140912590,493.04,Lower-middel income
203,Bangladesh,2004,67.19,160.5,36.4,37.9,20.76,20.38,2.0,4.87,4.29,138789725,469.12,Lower-middel income
204,Bangladesh,2003,66.82,164.4,37.8,37.3,20.71,20.24,1.96,4.76,4.32,136503206,440.71,Lower-middel income
205,Bangladesh,2002,66.61,166.9,39.3,39.1,20.65,20.1,1.93,4.54,3.97,134139826,407.96,Lower-middel income
206,Bangladesh,2001,66.14,170.2,40.7,41.7,20.6,19.96,1.77,3.58,3.61,131670484,410.05,Lower-middel income
207,Bangladesh,2000,65.78,174.8,42.5,44.0,20.54,19.82,1.81,5.21,3.27,129193327,413.1,Lower-middel income
288,Bhutan,2015,70.34,120.4,18.2,15.1,23.51,24.45,3.76,9.37,2.45,743274,2899.23,Lower-middel income
289,Bhutan,2014,70.05,122.3,19.1,15.8,23.42,24.33,3.56,7.78,2.63,736357,2793.93,Lower-middel income
290,Bhutan,2013,69.71,124.1,20.0,16.5,23.33,24.21,3.71,7.1,2.87,728889,2624.77,Lower-middel income
291,Bhutan,2012,69.33,126.2,21.0,17.4,23.25,24.08,3.62,6.46,2.05,721145,2689.79,Lower-middel income
292,Bhutan,2011,68.88,128.5,21.7,18.6,23.16,23.96,3.35,6.15,3.23,713331,2717.45,Lower-middel income
293,Bhutan,2010,68.43,131.2,22.5,20.1,23.07,23.83,3.56,5.65,3.32,705516,2371.97,Lower-middel income
294,Bhutan,2009,67.9,134.5,23.3,21.5,22.99,23.7,3.55,6.19,3.96,697678,1908.25,Lower-middel income
295,Bhutan,2008,67.5,136.7,24.3,23.4,22.9,23.57,3.38,6.03,3.83,689737,1910.17,Lower-middel income
296,Bhutan,2007,66.95,139.8,25.2,25.7,22.8,23.44,4.13,7.46,3.7,681614,1842.34,Lower-middel income
297,Bhutan,2006,66.36,143.8,26.3,28.2,22.71,23.3,4.41,6.83,3.13,673260,1400.47,Lower-middel income
298,Bhutan,2005,65.81,147.9,27.3,30.9,22.61,23.16,4.13,6.72,3.1,663323,1297.09,Lower-middel income
299,Bhutan,2004,65.27,151.2,28.2,33.6,22.51,23.02,4.6,9.09,2.49,649991,1131.32,Lower-middel income
300,Bhutan,2003,64.7,155.4,29.2,36.6,22.41,22.87,4.13,7.64,1.8,634627,1027.27,Lower-middel income
301,Bhutan,2002,64.08,159.3,30.2,40.1,22.3,22.72,4.6,7.88,1.85,619048,903.56,Lower-middel income
302,Bhutan,2001,63.44,165.0,31.2,45.2,22.19,22.57,5.0,6.55,1.9,603234,822.42,Lower-middel income
303,Bhutan,2000,62.01,176.6,32.1,47.8,22.08,22.42,4.45,7.66,1.65,587207,784.62,Lower-middel income
1136,India,2015,69.64,175.4,25.9,18.2,21.74,21.93,3.6,3.38,7.89,1322866505,1590.17,Lower-middel income
1137,India,2014,69.07,176.5,27.2,19.7,21.66,21.86,3.62,3.25,7.99,1307246509,1559.86,Lower-middel income
1138,India,2013,68.46,179.3,28.3,20.9,21.59,21.78,3.75,3.24,8.09,1291132063,1438.06,Lower-middel income
1139,India,2012,67.89,181.3,29.5,22.6,21.52,21.71,3.33,3.44,8.16,1274487215,1434.02,Lower-middel income
1140,India,2011,67.36,183.1,30.7,25.1,21.44,21.63,3.25,3.38,8.22,1257621191,1449.6,Lower-middel income
1141,India,2010,66.91,185.6,31.8,26.6,21.38,21.56,3.27,3.11,8.32,1240613620,1350.63,Lower-middel income
1142,India,2009,66.51,187.1,33.1,29.4,21.31,21.49,3.49,3.12,8.41,1223640160,1096.64,Lower-middel income
1143,India,2008,66.15,190.0,34.4,30.6,21.24,21.41,3.51,2.8,8.49,1206734806,993.5,Lower-middel income
1144,India,2007,65.79,191.9,35.5,32.2,21.18,21.34,3.52,2.79,8.53,1189691809,1022.73,Lower-middel income
1145,India,2006,65.41,194.2,36.8,34.9,21.11,21.26,3.63,2.89,8.61,1172373788,802.01,Lower-middel income
1146,India,2005,65.0,197.3,38.0,35.8,21.05,21.19,3.79,2.94,8.7,1154638713,710.51,Lower-middel income
1147,India,2004,64.52,200.6,39.4,39.0,20.98,21.11,3.96,2.65,8.55,1136264583,624.11,Lower-middel income
1148,India,2003,64.09,206.2,40.8,40.3,20.91,21.03,4.01,2.68,8.4,1117415123,543.85,Lower-middel income
1149,India,2002,63.62,212.5,42.0,41.7,20.83,20.95,4.24,2.77,8.25,1098313039,468.85,Lower-middel income
1150,India,2001,63.09,217.9,43.5,44.3,20.76,20.87,4.26,2.9,8.04,1078970907,449.91,Lower-middel income
1151,India,2000,62.67,222.3,45.1,45.6,20.68,20.78,4.03,3.05,7.86,1059633675,442.04,Lower-middel income
1536,Maldives,2015,79.69,73.52,5.1,3.7,24.68,26.41,8.73,18.45,6.61,435582,9480.43,Upper-middle income
1537,Maldives,2014,79.42,75.77,5.3,4.0,24.52,26.27,7.91,16.86,7.46,416738,8872.13,Upper-middle income
1538,Maldives,2013,79.06,79.01,5.5,4.1,24.37,26.12,8.16,15.93,8.3,400728,8222.56,Upper-middle income
1539,Maldives,2012,78.68,82.32,6.0,4.5,24.21,25.97,8.67,14.14,9.14,387539,7447.42,Upper-middle income
1540,Maldives,2011,78.12,85.4,6.8,5.0,24.05,25.82,7.92,11.76,10.01,374440,7409.33,Upper-middle income
1541,Maldives,2010,77.66,87.11,7.2,5.3,23.89,25.67,8.49,13.54,10.85,361575,7158.06,Upper-middle income
1542,Maldives,2009,77.07,89.41,8.2,5.8,23.73,25.51,10.09,15.74,11.7,349037,6719.33,Upper-middle income
1543,Maldives,2008,76.54,91.5,9.3,6.3,23.58,25.36,11.47,17.99,10.52,336883,6743.13,Upper-middle income
1544,Maldives,2007,75.69,95.32,10.3,6.8,23.43,25.22,8.31,11.25,9.54,325126,5746.64,Upper-middle income
1545,Maldives,2006,75.13,99.2,11.8,7.6,23.28,25.07,8.05,8.45,8.48,314401,5010.16,Upper-middle income
1546,Maldives,2005,74.75,106.9,13.3,9.2,23.13,24.93,8.83,7.65,7.39,307018,3789.23,Upper-middle income
1547,Maldives,2004,73.54,122.7,15.6,12.9,22.99,24.79,7.48,9.6,6.26,302135,4060.53,Upper-middle income
1548,Maldives,2003,74.06,126.7,17.7,12.0,22.85,24.65,6.78,8.14,5.2,297226,3539.8,Upper-middle income
1549,Maldives,2002,73.29,134.9,20.4,16.9,22.72,24.52,8.78,8.62,4.14,292284,3069.04,Upper-middle income
1550,Maldives,2001,72.18,143.7,23.1,16.2,22.6,24.39,8.21,9.03,3.06,287324,3028.05,Upper-middle income
1551,Maldives,2000,70.88,149.2,25.3,19.6,22.48,24.26,7.74,8.83,1.97,282507,2209.99,Upper-middle income
1744,Nepal,2015,67.46,164.2,22.6,14.1,22.52,22.41,5.47,5.15,10.66,27610325,882.31,Low income
1745,Nepal,2014,68.08,159.1,23.6,14.9,22.42,22.27,5.08,5.27,10.65,27462106,827.74,Low income
1746,Nepal,2013,67.96,160.8,24.5,16.1,22.32,22.14,4.63,4.88,10.67,27381555,809.38,Low income
1747,Nepal,2012,67.47,162.0,25.5,19.1,22.21,22.0,4.49,4.69,10.65,27330694,794.09,Low income
1748,Nepal,2011,67.31,162.9,26.5,19.8,22.11,21.86,4.45,4.87,10.65,27266399,791.23,Low income
1749,Nepal,2010,66.81,162.6,27.5,20.6,22.02,21.72,4.36,4.81,10.63,27161567,589.17,Low income
1750,Nepal,2009,66.76,163.1,28.6,21.8,21.92,21.59,3.9,4.69,10.64,27026941,475.64,Low income
1751,Nepal,2008,66.42,163.6,30.0,23.9,21.83,21.45,3.82,5.31,10.65,26881544,466.69,Low income
1752,Nepal,2007,66.33,163.9,31.2,25.2,21.74,21.32,3.67,5.18,10.67,26713655,386.53,Low income
1753,Nepal,2006,65.87,164.7,32.4,26.5,21.65,21.18,3.54,7.58,10.66,26518971,341.03,Low income
1754,Nepal,2005,65.46,167.1,33.6,29.6,21.57,21.04,3.95,6.25,10.65,26285110,309.31,Low income
1755,Nepal,2004,64.82,171.6,34.9,38.8,21.48,20.91,4.05,5.48,10.68,26003965,279.72,Low income
1756,Nepal,2003,64.2,172.3,36.2,40.1,21.38,20.77,3.86,5.52,10.68,25682908,246.49,Low income
1757,Nepal,2002,63.26,183.0,37.5,38.6,21.29,20.63,3.94,6.1,10.66,25332178,238.86,Low income
1758,Nepal,2001,63.34,181.6,39.1,42.0,21.19,20.48,3.81,4.53,10.62,24956071,240.71,Low income
1759,Nepal,2000,62.61,189.5,40.5,42.4,21.09,20.34,3.13,4.25,10.62,24559500,223.71,Low income
1872,Pakistan,2015,65.7,191.0,46.2,31.6,23.34,24.7,2.46,3.85,3.57,210969298,1421.84,Lower-middel income
1873,Pakistan,2014,65.28,193.3,47.3,32.9,23.26,24.6,2.46,3.34,1.83,208251628,1303.19,Lower-middel income
1874,Pakistan,2013,65.15,195.3,48.3,34.9,23.18,24.49,2.4,3.25,2.95,205337562,1259.67,Lower-middel income
1875,Pakistan,2012,64.78,197.7,49.3,35.8,23.1,24.39,2.2,3.17,3.67,202205861,1236.89,Lower-middel income
1876,Pakistan,2011,64.65,199.8,50.1,36.8,23.02,24.28,2.14,2.54,0.8,198602738,1161.04,Lower-middel income
