,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
368,Brunei Darussalam,2015,74.75,97.91,4.8,5.7,27.17,27.22,2.39,5.86,7.69,421437,30681.43,38180.0
369,Brunei Darussalam,2014,74.78,96.04,4.7,5.8,27.02,27.1,1.91,5.2,6.86,416656,41035.78,42370.0
370,Brunei Darussalam,2013,74.8,93.6,4.6,5.8,26.87,26.98,1.9,5.12,6.73,411702,43950.05,44580.0
371,Brunei Darussalam,2012,74.83,91.8,4.7,5.9,26.72,26.87,1.85,5.44,6.62,406634,46844.2,41690.0
372,Brunei Darussalam,2011,74.86,90.69,4.7,5.7,26.58,26.76,1.86,5.74,6.54,401506,46139.11,36520.0
373,Brunei Darussalam,2010,74.85,91.38,4.8,5.8,26.44,26.64,2.28,5.78,6.48,396053,34609.71,35370.0
374,Brunei Darussalam,2009,74.85,92.36,4.8,5.8,26.3,26.53,2.39,6.22,6.4,390311,27497.55,35470.0
375,Brunei Darussalam,2008,74.84,94.27,4.8,6.1,26.16,26.43,1.88,6.21,6.27,384568,37427.54,36700.0
376,Brunei Darussalam,2007,74.82,94.97,4.8,6.3,26.02,26.33,1.94,5.77,6.17,378748,32337.27,33470.0
377,Brunei Darussalam,2006,74.78,95.28,4.8,6.6,25.89,26.23,1.91,5.81,6.08,372808,30767.75,30720.0
378,Brunei Darussalam,2005,74.73,94.46,5.0,6.9,25.76,26.13,2.23,6.43,5.99,366717,25991.21,25670.0
379,Brunei Darussalam,2004,74.65,94.78,5.1,6.9,25.63,26.03,2.55,6.4,5.89,360461,21839.26,22190.0
380,Brunei Darussalam,2003,74.56,95.45,4.9,7.1,25.51,25.94,2.6,6.99,5.78,354045,18521.37,19840.0
381,Brunei Darussalam,2002,74.43,96.88,5.0,7.1,25.38,25.84,2.53,5.11,5.7,347463,16817.24,18960.0
382,Brunei Darussalam,2001,74.28,98.43,5.0,7.0,25.26,25.75,2.55,5.97,5.61,340748,16437.42,19270.0
383,Brunei Darussalam,2000,74.08,100.4,5.0,7.1,25.15,25.66,2.55,5.72,5.53,333926,17971.89,19390.0
448,Cambodia,2015,69.87,192.8,16.4,15.5,22.05,22.27,6.19,6.63,0.39,23012646,1170.74,1430.0
449,Cambodia,2014,69.74,195.3,17.4,16.1,21.95,22.15,6.7,5.71,0.69,22299585,1098.07,1330.0
450,Cambodia,2013,69.3,198.3,18.1,17.2,21.85,22.03,7.1,6.64,0.44,21632850,1015.22,1230.0
451,Cambodia,2012,68.92,201.9,19.3,18.5,21.75,21.91,7.26,6.49,0.5,21032684,950.48,1110.0
452,Cambodia,2011,68.42,206.9,20.5,20.8,21.66,21.79,7.5,6.21,0.58,20448873,880.31,990.0
453,Cambodia,2010,67.71,212.7,21.4,22.8,21.56,21.67,6.91,6.52,0.77,19878036,782.7,910.0
454,Cambodia,2009,67.44,216.5,22.5,26.4,21.47,21.57,7.58,5.97,0.58,19319274,734.82,840.0
455,Cambodia,2008,66.47,221.9,23.5,28.5,21.39,21.46,6.6,6.66,0.82,18777081,742.4,780.0
456,Cambodia,2007,65.73,229.9,24.5,30.2,21.3,21.36,4.91,6.75,1.26,18251866,629.92,670.0
457,Cambodia,2006,65.06,238.4,25.8,33.4,21.22,21.26,6.12,7.41,1.15,17751333,539.75,580.0
458,Cambodia,2005,64.29,248.2,27.1,36.7,21.13,21.16,6.85,9.9,1.07,17275171,475.07,510.0
459,Cambodia,2004,63.55,256.7,28.3,41.3,21.05,21.07,7.08,9.9,1.0,16809407,410.09,430.0
460,Cambodia,2003,62.52,263.1,29.7,47.1,20.97,20.98,6.94,9.43,0.91,16354326,364.28,370.0
461,Cambodia,2002,61.23,268.9,31.7,54.7,20.89,20.88,7.23,8.3,0.85,15914033,341.04,320.0
462,Cambodia,2001,59.97,272.9,33.6,64.8,20.82,20.79,7.01,7.83,0.78,15493253,322.9,310.0
463,Cambodia,2000,58.62,276.7,35.2,74.0,20.74,20.7,6.54,8.59,0.75,15091594,301.52,290.0
1152,Indonesia,2015,69.7,162.2,13.2,14.2,22.49,23.79,2.92,6.63,4.51,259091970,3322.58,3390.0
1153,Indonesia,2014,69.53,164.6,13.8,14.3,22.39,23.68,2.96,5.34,4.05,256229761,3476.62,3570.0
1154,Indonesia,2013,69.26,167.3,14.4,14.5,22.29,23.57,2.87,4.28,4.34,253275918,3602.89,3670.0
1155,Indonesia,2012,68.97,170.1,14.9,15.2,22.2,23.46,2.91,4.07,4.47,250222695,3668.21,3520.0
1156,Indonesia,2011,68.82,173.1,15.7,16.6,22.1,23.34,2.99,3.96,5.15,247099697,3613.8,2960.0
1157,Indonesia,2010,68.68,176.2,16.2,16.7,22.01,23.23,2.79,3.91,5.61,244016173,3094.44,2490.0
