,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
224,Belarus,2015,73.62,162.9,1.6,2.2,26.56,26.89,6.07,8.83,5.88,9461076,5967.07,6740.0
225,Belarus,2014,72.97,175.0,1.8,2.5,26.5,26.86,5.39,8.68,5.91,9448515,8341.29,7620.0
226,Belarus,2013,72.47,183.8,1.9,2.6,26.43,26.83,5.7,8.74,5.95,9443211,7998.08,7030.0
227,Belarus,2012,71.97,191.9,1.9,2.9,26.36,26.8,5.25,8.85,5.97,9446836,6953.22,6630.0
228,Belarus,2011,70.55,226.4,1.9,3.1,26.29,26.77,4.87,7.66,6.02,9461643,6527.66,6350.0
229,Belarus,2010,70.4,224.1,1.9,3.6,26.22,26.74,5.66,8.69,6.05,9483836,6034.68,6150.0
230,Belarus,2009,70.41,219.7,2.0,4.0,26.15,26.7,5.39,6.73,6.1,9504583,5352.49,5660.0
231,Belarus,2008,70.46,221.5,2.2,4.1,26.07,26.66,5.29,5.8,6.74,9527985,6376.18,5470.0
232,Belarus,2007,70.21,223.2,2.5,4.5,25.99,26.62,5.69,8.12,7.41,9560953,4735.48,4310.0
233,Belarus,2006,69.4,238.9,2.8,4.7,25.91,26.57,5.57,8.44,8.06,9604924,3848.22,3510.0
234,Belarus,2005,68.85,249.5,3.5,4.8,25.82,26.52,6.07,10.05,8.75,9663915,3126.07,2820.0
235,Belarus,2004,68.96,246.1,4.0,5.1,25.73,26.46,5.74,10.0,9.44,9730146,2378.34,2170.0
236,Belarus,2003,68.55,252.9,4.5,5.3,25.64,26.4,5.77,10.07,10.15,9796749,1819.53,1630.0
237,Belarus,2002,68.06,262.6,4.9,5.9,25.55,26.34,5.62,9.32,10.84,9865548,1479.38,1380.0
238,Belarus,2001,68.51,252.0,5.5,6.4,25.46,26.28,5.71,10.04,11.52,9928549,1244.37,1300.0
239,Belarus,2000,68.91,241.9,6.0,6.9,25.37,26.22,5.28,12.13,12.17,9979610,1276.28,1380.0
384,Bulgaria,2015,74.61,137.2,4.0,4.3,27.22,25.88,7.39,10.23,9.14,7177991,7078.86,7420.0
385,Bulgaria,2014,74.47,140.5,4.3,4.6,27.11,25.83,7.68,10.36,11.42,7223938,7912.27,7690.0
386,Bulgaria,2013,74.86,134.7,4.5,5.1,27.01,25.77,7.14,10.7,12.94,7265115,7687.71,7600.0
