,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
441,Albania,2006,76.82,113.2,8.2,8.2,26.08,25.65,5.63,9.03,15.63,2992547,2972.74,Lower-middle income
432,Albania,2015,78.64,71.25,5.8,3.4,27.06,26.43,6.46,8.8,17.19,2880703,3952.8,Lower-middle income
433,Albania,2014,78.41,75.88,5.8,4.1,26.95,26.35,6.43,8.17,18.06,2889104,4578.63,Lower-middle income
434,Albania,2013,78.12,77.48,5.7,4.5,26.84,26.27,6.28,8.83,15.87,2895092,4413.06,Lower-middle income
435,Albania,2012,78.06,80.11,5.8,4.7,26.73,26.18,6.16,8.7,13.38,2900401,4247.63,Lower-middle income
436,Albania,2011,78.09,103.3,6.2,5.3,26.62,26.1,6.18,8.29,13.48,2905195,4437.14,Lower-middle income
437,Albania,2010,77.94,104.7,6.4,5.6,26.51,26.01,6.24,8.09,14.09,2913021,4094.35,Lower-middle income
438,Albania,2009,77.78,108.0,6.9,6.3,26.4,25.92,5.83,7.22,13.67,2927519,4114.13,Lower-middle income
439,Albania,2008,77.65,110.6,7.2,6.7,26.3,25.83,5.51,7.25,13.06,2947314,4370.54,Lower-middle income
440,Albania,2007,77.55,112.1,7.7,7.5,26.19,25.74,5.93,9.38,15.97,2970017,3595.04,Lower-middle income
442,Albania,2005,76.62,113.1,8.6,9.2,25.98,25.56,5.73,9.3,15.97,3011487,2673.79,Lower-middle income
443,Albania,2004,76.38,84.62,9.2,10.1,25.88,25.47,5.89,9.35,16.31,3026939,2373.58,Lower-middle income
444,Albania,2003,76.14,88.0,9.7,11.1,25.78,25.39,5.91,9.0,16.98,3039616,1846.12,Lower-middle income
445,Albania,2002,75.89,84.25,10.1,12.0,25.68,25.3,5.66,8.21,17.89,3051010,1425.12,Lower-middle income
446,Albania,2001,75.64,83.73,10.6,13.2,25.58,25.22,5.93,8.42,18.57,3060173,1281.66,Lower-middle income
447,Albania,2000,75.4,90.7,10.9,14.4,25.49,25.15,5.94,8.17,19.02,3089027,1126.68,Lower-middle income
0,Austria,2015,81.19,64.67,2.2,1.4,26.64,24.73,10.37,14.69,5.8,8642699,44195.82,High income
2,Austria,2013,81.14,67.14,2.3,1.4,26.58,24.69,10.29,14.37,5.37,8479823,50731.13,High income
13,Austria,2002,78.68,89.65,2.9,2.4,26.0,24.41,9.39,13.51,4.86,8081957,26527.59,High income
12,Austria,2003,78.63,87.42,3.0,2.2,26.07,24.45,9.55,13.62,4.78,8121423,32294.05,High income
11,Austria,2004,79.18,84.71,2.9,2.1,26.14,24.48,9.71,13.03,5.97,8171966,36889.23,High income
10,Austria,2005,79.33,83.25,2.8,2.0,26.21,24.5,9.63,13.67,5.68,8227829,38417.46,High income
9,Austria,2006,79.88,78.49,2.7,2.0,26.27,24.53,9.53,13.78,5.32,8268641,40669.33,High income
8,Austria,2007,80.18,78.15,2.6,1.9,26.33,24.56,9.53,14.09,4.91,8295487,46915.34,High income
7,Austria,2008,80.43,74.89,2.5,2.0,26.38,24.58,9.73,14.39,4.2,8321496,51919.98,High income
6,Austria,2009,80.33,76.43,2.6,1.8,26.43,24.61,10.23,13.76,5.37,8343323,48153.32,High income
5,Austria,2010,80.58,74.28,2.5,1.8,26.48,24.63,10.22,14.0,4.88,8363404,46903.76,High income
4,Austria,2011,80.98,71.78,2.4,1.7,26.51,24.65,10.03,14.32,4.64,8391643,51442.28,High income
3,Austria,2012,80.94,68.77,2.3,1.6,26.55,24.67,10.2,14.51,4.91,8429991,48564.92,High income
1,Austria,2014,81.49,65.72,2.3,1.4,26.61,24.71,10.37,14.34,5.67,8546356,51786.38,High income
14,Austria,2001,78.58,91.83,3.0,2.4,25.93,24.38,9.27,13.29,4.01,8042293,24558.76,High income
15,Austria,2000,78.13,95.01,3.1,2.7,25.85,24.34,9.2,13.38,4.69,8011566,24625.6,High income
115,Belarus,2012,71.97,191.9,1.9,2.9,26.36,26.8,5.25,8.85,5.97,9446836,6953.22,Upper-middle income
127,Belarus,2000,68.91,241.9,6.0,6.9,25.37,26.22,5.28,12.13,12.17,9979610,1276.28,Upper-middle income
126,Belarus,2001,68.51,252.0,5.5,6.4,25.46,26.28,5.71,10.04,11.52,9928549,1244.37,Upper-middle income
125,Belarus,2002,68.06,262.6,4.9,5.9,25.55,26.34,5.62,9.32,10.84,9865548,1479.38,Upper-middle income
124,Belarus,2003,68.55,252.9,4.5,5.3,25.64,26.4,5.77,10.07,10.15,9796749,1819.53,Upper-middle income
123,Belarus,2004,68.96,246.1,4.0,5.1,25.73,26.46,5.74,10.0,9.44,9730146,2378.34,Upper-middle income
122,Belarus,2005,68.85,249.5,3.5,4.8,25.82,26.52,6.07,10.05,8.75,9663915,3126.07,Upper-middle income
114,Belarus,2013,72.47,183.8,1.9,2.6,26.43,26.83,5.7,8.74,5.95,9443211,7998.08,Upper-middle income
121,Belarus,2006,69.4,238.9,2.8,4.7,25.91,26.57,5.57,8.44,8.06,9604924,3848.22,Upper-middle income
119,Belarus,2008,70.46,221.5,2.2,4.1,26.07,26.66,5.29,5.8,6.74,9527985,6376.18,Upper-middle income
118,Belarus,2009,70.41,219.7,2.0,4.0,26.15,26.7,5.39,6.73,6.1,9504583,5352.49,Upper-middle income
117,Belarus,2010,70.4,224.1,1.9,3.6,26.22,26.74,5.66,8.69,6.05,9483836,6034.68,Upper-middle income
116,Belarus,2011,70.55,226.4,1.9,3.1,26.29,26.77,4.87,7.66,6.02,9461643,6527.66,Upper-middle income
112,Belarus,2015,73.62,162.9,1.6,2.2,26.56,26.89,6.07,8.83,5.88,9461076,5967.07,Upper-middle income
120,Belarus,2007,70.21,223.2,2.5,4.5,25.99,26.62,5.69,8.12,7.41,9560953,4735.48,Upper-middle income
113,Belarus,2014,72.97,175.0,1.8,2.5,26.5,26.86,5.39,8.68,5.91,9448515,8341.29,Upper-middle income
16,Belgium,2015,80.99,71.86,2.2,1.8,26.78,25.72,10.8,15.35,8.48,11274196,41008.3,High income
17,Belgium,2014,81.29,72.45,2.1,1.7,26.75,25.69,10.61,14.52,8.52,11209057,47764.07,High income
31,Belgium,2000,77.72,99.75,3.0,2.9,26.03,25.27,8.0,12.07,6.59,10251250,23098.89,High income
30,Belgium,2001,77.97,98.22,2.9,2.9,26.1,25.3,8.15,12.43,6.18,10286570,23015.07,High income
29,Belgium,2002,78.08,96.14,2.9,2.6,26.17,25.33,8.32,12.29,6.91,10332785,25006.19,High income
28,Belgium,2003,78.13,94.19,2.7,2.6,26.24,25.36,9.16,13.31,7.68,10376133,30655.21,High income
27,Belgium,2004,78.88,89.63,2.6,2.4,26.3,25.39,9.33,14.18,7.36,10421137,35429.41,High income
26,Belgium,2005,78.98,88.52,2.7,2.4,26.37,25.42,9.22,13.3,8.44,10478617,36809.7,High income
25,Belgium,2006,79.38,86.34,2.6,2.3,26.43,25.45,9.13,13.96,8.25,10547958,38705.11,High income
24,Belgium,2007,79.78,85.0,2.5,2.1,26.49,25.48,9.14,13.96,7.46,10625700,44319.17,High income
23,Belgium,2008,79.68,86.33,2.5,2.2,26.54,25.51,9.6,14.31,6.98,10709973,48303.4,High income
22,Belgium,2009,80.03,84.24,2.5,2.1,26.59,25.55,10.32,14.4,7.91,10796493,44760.29,High income
21,Belgium,2010,80.18,81.5,2.3,2.2,26.63,25.58,10.2,14.44,8.29,10895586,44184.95,High income
20,Belgium,2011,80.59,80.45,2.3,2.0,26.66,25.6,10.36,14.28,7.14,11038264,47410.57,High income
19,Belgium,2012,80.39,78.43,2.3,2.0,26.7,25.63,10.5,14.22,7.54,11106932,44670.56,High income
18,Belgium,2013,80.59,75.97,2.2,2.0,26.72,25.66,10.58,14.32,8.43,11159407,46757.95,High income
461,Bosnia and Herzegovina,2002,74.61,107.7,6.0,3.7,25.38,24.67,7.43,9.32,27.41,4198410,1602.56,Upper-middle income
462,Bosnia and Herzegovina,2001,75.06,109.9,6.2,3.9,25.31,24.63,7.61,8.6,26.46,4194932,1382.77,Upper-middle income
450,Bosnia and Herzegovina,2013,76.33,95.57,4.5,1.8,26.26,25.19,9.45,14.79,27.49,3617559,5025.24,Upper-middle income
460,Bosnia and Herzegovina,2003,75.78,105.0,5.8,3.7,25.46,24.72,8.31,11.59,28.42,4183757,2031.4,Upper-middle income
459,Bosnia and Herzegovina,2004,76.13,102.4,5.7,3.7,25.54,24.76,9.06,11.32,29.29,4142860,2451.58,Upper-middle income
458,Bosnia and Herzegovina,2005,75.42,104.9,5.5,3.6,25.62,24.81,9.05,10.81,30.21,4094297,2741.08,Upper-middle income
457,Bosnia and Herzegovina,2006,76.25,103.3,5.4,3.3,25.7,24.85,9.17,10.96,31.11,4058086,3170.17,Upper-middle income
456,Bosnia and Herzegovina,2007,76.16,109.1,5.2,3.2,25.78,24.9,9.53,11.33,28.98,4007876,3936.93,Upper-middle income
455,Bosnia and Herzegovina,2008,76.84,102.0,5.1,2.8,25.85,24.95,9.69,10.92,23.4,3943392,4846.79,Upper-middle income
454,Bosnia and Herzegovina,2009,76.98,100.2,5.1,2.4,25.93,24.99,9.02,12.52,24.07,3877750,4542.31,Upper-middle income
463,Bosnia and Herzegovina,2000,74.5,112.5,6.5,3.9,25.24,24.6,8.0,7.25,25.47,4179350,1332.21,Upper-middle income
448,Bosnia and Herzegovina,2015,76.18,95.82,4.3,1.6,26.44,25.29,9.24,14.98,27.7,3524324,4654.61,Upper-middle income
449,Bosnia and Herzegovina,2014,75.66,94.97,4.4,1.7,26.35,25.24,9.49,14.43,27.52,3571068,5196.97,Upper-middle income
453,Bosnia and Herzegovina,2010,77.07,97.79,5.0,2.2,26.01,25.04,9.02,12.6,27.31,3811088,4506.93,Upper-middle income
451,Bosnia and Herzegovina,2012,77.19,94.77,4.7,1.8,26.17,25.14,9.49,13.88,28.01,3674374,4688.35,Upper-middle income
452,Bosnia and Herzegovina,2011,77.01,96.83,4.7,2.0,26.09,25.09,9.18,13.38,27.58,3743142,4980.9,Upper-middle income
142,Bulgaria,2001,71.77,158.5,7.5,9.2,25.88,25.17,6.86,9.47,19.92,8009142,1770.91,Upper-middle income
141,Bulgaria,2002,71.87,155.9,7.2,8.6,25.97,25.21,7.08,10.74,18.11,7837161,2092.98,Upper-middle income
137,Bulgaria,2006,72.61,156.8,5.5,6.7,26.33,25.4,6.53,10.79,8.95,7601022,4523.15,Upper-middle income
128,Bulgaria,2015,74.61,137.2,4.0,4.3,27.22,25.88,7.39,10.23,9.14,7177991,7078.86,Upper-middle income
129,Bulgaria,2014,74.47,140.5,4.3,4.6,27.11,25.83,7.68,10.36,11.42,7223938,7912.27,Upper-middle income
130,Bulgaria,2013,74.86,134.7,4.5,5.1,27.01,25.77,7.14,10.7,12.94,7265115,7687.71,Upper-middle income
131,Bulgaria,2012,74.31,136.4,4.7,5.2,26.91,25.72,7.54,11.18,12.27,7305888,7430.74,Upper-middle income
143,Bulgaria,2000,71.66,159.7,8.0,10.0,25.8,25.13,5.83,8.08,16.22,8170172,1621.26,Upper-middle income
133,Bulgaria,2010,73.51,143.1,5.0,5.5,26.71,25.62,7.1,10.85,10.28,7395599,6863.67,Upper-middle income
134,Bulgaria,2009,73.41,146.5,5.2,5.9,26.62,25.56,6.6,9.04,6.82,7444443,6988.27,Upper-middle income
135,Bulgaria,2008,72.96,149.6,5.3,6.0,26.52,25.51,6.28,9.39,5.61,7492561,7271.3,Upper-middle income
136,Bulgaria,2007,72.66,152.7,5.3,6.5,26.42,25.46,6.16,9.11,6.88,7545338,5888.78,Upper-middle income
138,Bulgaria,2005,72.56,156.9,5.8,7.0,26.24,25.35,6.89,11.17,10.08,7658972,3899.83,Upper-middle income
132,Bulgaria,2011,74.16,140.7,4.9,5.5,26.81,25.67,7.1,11.41,11.26,7348328,7857.17,Upper-middle income
140,Bulgaria,2003,72.07,153.9,6.7,8.0,26.05,25.25,7.2,11.33,13.73,7775327,2719.49,Upper-middle income
139,Bulgaria,2004,72.56,154.8,6.4,7.5,26.14,25.3,6.89,10.83,12.04,7716860,3389.69,Upper-middle income
471,Croatia,2008,75.91,117.3,3.8,2.2,27.24,26.08,7.65,14.12,8.53,11276609,15900.47,Upper-middle income
477,Croatia,2002,74.72,122.3,5.0,2.7,26.52,25.41,6.14,9.69,15.05,11170051,6219.64,Upper-middle income
476,Croatia,2003,74.61,121.9,4.7,2.7,26.63,25.51,6.3,10.48,13.92,11199217,8192.61,Upper-middle income
475,Croatia,2004,75.52,114.7,4.3,2.6,26.76,25.62,6.5,10.63,13.66,11225294,9723.36,Upper-middle income
474,Croatia,2005,75.24,117.4,4.1,2.4,26.88,25.73,6.84,12.76,12.6,11246114,10446.44,Upper-middle income
473,Croatia,2006,75.84,114.7,4.1,2.3,27.0,25.85,6.91,13.03,11.13,11260630,11505.41,Upper-middle income
472,Croatia,2007,75.71,115.5,3.9,2.3,27.12,25.96,7.41,13.96,9.91,11269887,13762.67,Upper-middle income
478,Croatia,2001,74.51,124.5,5.2,3.0,26.4,25.31,7.17,11.76,15.82,11139127,5363.83,Upper-middle income
479,Croatia,2000,72.81,126.5,5.5,2.8,26.29,25.22,7.65,11.92,16.06,11105791,4952.31,Upper-middle income
469,Croatia,2010,76.48,105.0,3.6,2.0,27.47,26.32,7.99,13.7,11.62,11290417,13697.45,Upper-middle income
468,Croatia,2011,76.78,102.0,3.3,1.9,27.59,26.43,7.66,12.95,13.68,11298710,14664.37,Upper-middle income
467,Croatia,2012,76.92,100.7,3.4,1.9,27.71,26.55,7.68,13.43,15.94,11309290,13452.98,Upper-middle income
466,Croatia,2013,77.13,93.75,3.3,1.9,27.83,26.67,6.43,11.37,17.25,11321579,14002.24,Upper-middle income
465,Croatia,2014,77.48,92.31,3.1,1.7,27.95,26.79,6.61,11.36,17.29,11332026,14035.86,Upper-middle income
464,Croatia,2015,77.28,94.12,3.0,1.7,28.07,26.91,6.69,11.73,16.18,11339894,12135.1,Upper-middle income
470,Croatia,2009,76.17,109.0,3.6,2.0,27.36,26.2,8.08,13.36,9.2,11283185,14422.92,Upper-middle income
158,Czechia,2001,75.17,121.6,2.4,2.7,27.12,26.29,5.86,11.84,8.13,17245468,6637.04,High income
159,Czechia,2000,74.97,124.4,2.6,2.8,27.07,26.3,5.7,12.38,8.76,16799670,6029.04,High income
157,Czechia,2002,75.22,119.5,2.4,2.5,27.18,26.28,6.18,12.18,7.28,17683897,8060.87,High income
145,Czechia,2014,78.82,84.85,1.5,1.7,28.02,26.4,7.61,14.96,6.11,22995555,19890.92,High income
156,Czechia,2003,75.17,121.0,2.4,2.4,27.24,26.28,6.52,11.62,7.78,18116451,9818.57,High income
155,Czechia,2004,75.72,115.4,2.3,2.0,27.3,26.28,6.35,13.14,8.3,18544903,11749.85,High income
154,Czechia,2005,75.92,113.4,2.1,2.0,27.37,26.29,6.34,12.75,7.93,18970215,13430.67,High income
153,Czechia,2006,76.52,107.8,2.0,1.9,27.44,26.3,6.16,12.71,7.14,19394057,15261.8,High income
152,Czechia,2007,76.72,106.4,1.9,1.8,27.51,26.31,5.99,12.4,5.32,19817700,18466.55,High income
151,Czechia,2008,76.98,104.8,1.9,1.9,27.58,26.32,6.33,12.55,4.39,20244449,22804.58,High income
150,Czechia,2009,77.08,101.1,1.7,1.8,27.65,26.33,7.25,13.54,6.66,20677762,19861.7,High income
149,Czechia,2010,77.42,98.73,1.7,1.6,27.72,26.34,7.59,14.7,7.28,21120042,19960.07,High income
148,Czechia,2011,77.87,96.51,1.6,1.7,27.79,26.35,7.56,14.74,6.71,21562914,21871.27,High income
147,Czechia,2012,78.08,92.89,1.5,1.5,27.87,26.37,7.62,14.38,6.98,22010712,19870.8,High income
144,Czechia,2015,78.58,83.32,1.5,1.4,28.11,26.42,7.37,14.75,5.05,23596741,17829.7,High income
146,Czechia,2013,78.18,89.62,1.5,1.4,27.94,26.38,7.52,14.84,6.95,22469268,20133.17,High income
282,Denmark,2005,77.84,89.41,3.1,1.8,26.0,24.52,9.09,14.86,4.83,5419432,48799.83,High income
286,Denmark,2001,76.79,98.69,3.4,2.0,25.69,24.47,8.45,13.34,4.16,5358783,30751.65,High income
285,Denmark,2002,76.9,99.36,3.3,2.0,25.78,24.48,8.7,13.71,4.27,5375931,33228.69,High income
274,Denmark,2013,80.3,71.37,3.0,1.0,26.26,24.56,10.33,15.63,7.38,5614932,61191.19,High income
275,Denmark,2012,80.05,73.75,2.8,1.2,26.25,24.56,10.52,15.32,7.8,5591572,58507.51,High income
276,Denmark,2011,79.8,77.11,2.9,1.1,26.24,24.56,10.41,15.48,7.77,5570572,61753.65,High income
277,Denmark,2010,79.1,82.53,2.8,1.3,26.22,24.56,10.61,15.77,7.75,5547683,58041.4,High income
278,Denmark,2009,78.6,84.67,2.8,1.4,26.19,24.55,10.67,15.95,6.41,5523095,58163.28,High income
279,Denmark,2008,78.45,86.2,2.7,1.4,26.16,24.55,9.51,15.85,3.68,5493621,64322.06,High income
