,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita
720,Denmark,2015,80.7,66.12,3.1,1.0,26.27,24.56,10.34,15.98,6.28,5683483,53254.86
721,Denmark,2014,80.7,68.15,3.1,1.0,26.27,24.56,10.31,15.77,6.92,5643475,62548.98
722,Denmark,2013,80.3,71.37,3.0,1.0,26.26,24.56,10.33,15.63,7.38,5614932,61191.19
723,Denmark,2012,80.05,73.75,2.8,1.2,26.25,24.56,10.52,15.32,7.8,5591572,58507.51
724,Denmark,2011,79.8,77.11,2.9,1.1,26.24,24.56,10.41,15.48,7.77,5570572,61753.65
725,Denmark,2010,79.1,82.53,2.8,1.3,26.22,24.56,10.61,15.77,7.75,5547683,58041.4
726,Denmark,2009,78.6,84.67,2.8,1.4,26.19,24.55,10.67,15.95,6.41,5523095,58163.28
727,Denmark,2008,78.45,86.2,2.7,1.4,26.16,24.55,9.51,15.85,3.68,5493621,64322.06
728,Denmark,2007,78.2,91.58,2.9,1.6,26.11,24.54,9.33,15.74,3.8,5461438,58487.05
729,Denmark,2006,78.1,91.4,3.0,1.6,26.06,24.53,9.17,15.43,3.9,5437272,52027.0
730,Denmark,2005,77.84,89.41,3.1,1.8,26.0,24.52,9.09,14.86,4.83,5419432,48799.83
731,Denmark,2004,77.49,94.52,3.1,1.9,25.93,24.51,9.01,14.2,5.2,5404523,46511.6
732,Denmark,2003,77.14,96.81,3.3,1.9,25.86,24.49,8.9,13.93,5.4,5390574,40458.78
733,Denmark,2002,76.9,99.36,3.3,2.0,25.78,24.48,8.7,13.71,4.27,5375931,33228.69
734,Denmark,2001,76.79,98.69,3.4,2.0,25.69,24.47,8.45,13.34,4.16,5358783,30751.65
735,Denmark,2000,76.59,99.75,3.5,2.0,25.61,24.45,8.1,12.78,4.48,5339616,30743.55
816,Estonia,2015,77.59,116.2,1.5,1.7,27.04,26.02,6.64,12.51,6.41,1315407,17402.04
817,Estonia,2014,77.03,123.8,1.7,2.0,26.97,26.0,6.36,12.55,7.35,1314545,20261.07
818,Estonia,2013,77.14,121.9,1.6,1.9,26.91,25.97,6.28,12.17,8.63,1317997,19056.0
