,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
16,Albania,2015,78.64,71.25,5.8,3.4,27.06,26.43,6.46,8.8,17.19,2880703,3952.8,Lower-middel income
17,Albania,2014,78.41,75.88,5.8,4.1,26.95,26.35,6.43,8.17,18.06,2889104,4578.63,Lower-middel income
18,Albania,2013,78.12,77.48,5.7,4.5,26.84,26.27,6.28,8.83,15.87,2895092,4413.06,Lower-middel income
19,Albania,2012,78.06,80.11,5.8,4.7,26.73,26.18,6.16,8.7,13.38,2900401,4247.63,Lower-middel income
20,Albania,2011,78.09,103.3,6.2,5.3,26.62,26.1,6.18,8.29,13.48,2905195,4437.14,Lower-middel income
21,Albania,2010,77.94,104.7,6.4,5.6,26.51,26.01,6.24,8.09,14.09,2913021,4094.35,Lower-middel income
22,Albania,2009,77.78,108.0,6.9,6.3,26.4,25.92,5.83,7.22,13.67,2927519,4114.13,Lower-middel income
23,Albania,2008,77.65,110.6,7.2,6.7,26.3,25.83,5.51,7.25,13.06,2947314,4370.54,Lower-middel income
24,Albania,2007,77.55,112.1,7.7,7.5,26.19,25.74,5.93,9.38,15.97,2970017,3595.04,Lower-middel income
25,Albania,2006,76.82,113.2,8.2,8.2,26.08,25.65,5.63,9.03,15.63,2992547,2972.74,Lower-middel income
26,Albania,2005,76.62,113.1,8.6,9.2,25.98,25.56,5.73,9.3,15.97,3011487,2673.79,Lower-middel income
27,Albania,2004,76.38,84.62,9.2,10.1,25.88,25.47,5.89,9.35,16.31,3026939,2373.58,Lower-middel income
28,Albania,2003,76.14,88.0,9.7,11.1,25.78,25.39,5.91,9.0,16.98,3039616,1846.12,Lower-middel income
29,Albania,2002,75.89,84.25,10.1,12.0,25.68,25.3,5.66,8.21,17.89,3051010,1425.12,Lower-middel income
30,Albania,2001,75.64,83.73,10.6,13.2,25.58,25.22,5.93,8.42,18.57,3060173,1281.66,Lower-middel income
31,Albania,2000,75.4,90.7,10.9,14.4,25.49,25.15,5.94,8.17,19.02,3089027,1126.68,Lower-middel income
320,Bosnia and Herzegovina,2015,76.18,95.82,4.3,1.6,26.44,25.29,9.24,14.98,27.7,3524324,4654.61,Upper-middle income
321,Bosnia and Herzegovina,2014,75.66,94.97,4.4,1.7,26.35,25.24,9.49,14.43,27.52,3571068,5196.97,Upper-middle income
322,Bosnia and Herzegovina,2013,76.33,95.57,4.5,1.8,26.26,25.19,9.45,14.79,27.49,3617559,5025.24,Upper-middle income
323,Bosnia and Herzegovina,2012,77.19,94.77,4.7,1.8,26.17,25.14,9.49,13.88,28.01,3674374,4688.35,Upper-middle income
324,Bosnia and Herzegovina,2011,77.01,96.83,4.7,2.0,26.09,25.09,9.18,13.38,27.58,3743142,4980.9,Upper-middle income
325,Bosnia and Herzegovina,2010,77.07,97.79,5.0,2.2,26.01,25.04,9.02,12.6,27.31,3811088,4506.93,Upper-middle income
326,Bosnia and Herzegovina,2009,76.98,100.2,5.1,2.4,25.93,24.99,9.02,12.52,24.07,3877750,4542.31,Upper-middle income
327,Bosnia and Herzegovina,2008,76.84,102.0,5.1,2.8,25.85,24.95,9.69,10.92,23.4,3943392,4846.79,Upper-middle income
328,Bosnia and Herzegovina,2007,76.16,109.1,5.2,3.2,25.78,24.9,9.53,11.33,28.98,4007876,3936.93,Upper-middle income
329,Bosnia and Herzegovina,2006,76.25,103.3,5.4,3.3,25.7,24.85,9.17,10.96,31.11,4058086,3170.17,Upper-middle income
330,Bosnia and Herzegovina,2005,75.42,104.9,5.5,3.6,25.62,24.81,9.05,10.81,30.21,4094297,2741.08,Upper-middle income
331,Bosnia and Herzegovina,2004,76.13,102.4,5.7,3.7,25.54,24.76,9.06,11.32,29.29,4142860,2451.58,Upper-middle income
332,Bosnia and Herzegovina,2003,75.78,105.0,5.8,3.7,25.46,24.72,8.31,11.59,28.42,4183757,2031.4,Upper-middle income
333,Bosnia and Herzegovina,2002,74.61,107.7,6.0,3.7,25.38,24.67,7.43,9.32,27.41,4198410,1602.56,Upper-middle income
334,Bosnia and Herzegovina,2001,75.06,109.9,6.2,3.9,25.31,24.63,7.61,8.6,26.46,4194932,1382.77,Upper-middle income
335,Bosnia and Herzegovina,2000,74.5,112.5,6.5,3.9,25.24,24.6,8.0,7.25,25.47,4179350,1332.21,Upper-middle income
624,Croatia,2015,77.28,94.12,3.0,1.7,28.07,26.91,6.69,11.73,16.18,11339894,12135.1,Upper-middle income
625,Croatia,2014,77.48,92.31,3.1,1.7,27.95,26.79,6.61,11.36,17.29,11332026,14035.86,Upper-middle income
626,Croatia,2013,77.13,93.75,3.3,1.9,27.83,26.67,6.43,11.37,17.25,11321579,14002.24,Upper-middle income
627,Croatia,2012,76.92,100.7,3.4,1.9,27.71,26.55,7.68,13.43,15.94,11309290,13452.98,Upper-middle income
628,Croatia,2011,76.78,102.0,3.3,1.9,27.59,26.43,7.66,12.95,13.68,11298710,14664.37,Upper-middle income
629,Croatia,2010,76.48,105.0,3.6,2.0,27.47,26.32,7.99,13.7,11.62,11290417,13697.45,Upper-middle income
630,Croatia,2009,76.17,109.0,3.6,2.0,27.36,26.2,8.08,13.36,9.2,11283185,14422.92,Upper-middle income
631,Croatia,2008,75.91,117.3,3.8,2.2,27.24,26.08,7.65,14.12,8.53,11276609,15900.47,Upper-middle income
632,Croatia,2007,75.71,115.5,3.9,2.3,27.12,25.96,7.41,13.96,9.91,11269887,13762.67,Upper-middle income
633,Croatia,2006,75.84,114.7,4.1,2.3,27.0,25.85,6.91,13.03,11.13,11260630,11505.41,Upper-middle income
634,Croatia,2005,75.24,117.4,4.1,2.4,26.88,25.73,6.84,12.76,12.6,11246114,10446.44,Upper-middle income
635,Croatia,2004,75.52,114.7,4.3,2.6,26.76,25.62,6.5,10.63,13.66,11225294,9723.36,Upper-middle income
636,Croatia,2003,74.61,121.9,4.7,2.7,26.63,25.51,6.3,10.48,13.92,11199217,8192.61,Upper-middle income
637,Croatia,2002,74.72,122.3,5.0,2.7,26.52,25.41,6.14,9.69,15.05,11170051,6219.64,Upper-middle income
638,Croatia,2001,74.51,124.5,5.2,3.0,26.4,25.31,7.17,11.76,15.82,11139127,5363.83,Upper-middle income
639,Croatia,2000,72.81,126.5,5.5,2.8,26.29,25.22,7.65,11.92,16.06,11105791,4952.31,Upper-middle income
976,Greece,2015,81.04,71.87,2.6,2.2,27.63,26.93,8.22,8.77,24.98,10820883,18083.88,High income
977,Greece,2014,81.39,70.86,2.6,1.9,27.6,26.95,7.89,8.85,26.71,10892413,21616.71,High income
