,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
128,Austria,2015,81.19,64.67,2.2,1.4,26.64,24.73,10.37,14.69,5.8,8642699,44195.82,High income
129,Austria,2014,81.49,65.72,2.3,1.4,26.61,24.71,10.37,14.34,5.67,8546356,51786.38,High income
130,Austria,2013,81.14,67.14,2.3,1.4,26.58,24.69,10.29,14.37,5.37,8479823,50731.13,High income
131,Austria,2012,80.94,68.77,2.3,1.6,26.55,24.67,10.2,14.51,4.91,8429991,48564.92,High income
132,Austria,2011,80.98,71.78,2.4,1.7,26.51,24.65,10.03,14.32,4.64,8391643,51442.28,High income
133,Austria,2010,80.58,74.28,2.5,1.8,26.48,24.63,10.22,14.0,4.88,8363404,46903.76,High income
134,Austria,2009,80.33,76.43,2.6,1.8,26.43,24.61,10.23,13.76,5.37,8343323,48153.32,High income
135,Austria,2008,80.43,74.89,2.5,2.0,26.38,24.58,9.73,14.39,4.2,8321496,51919.98,High income
136,Austria,2007,80.18,78.15,2.6,1.9,26.33,24.56,9.53,14.09,4.91,8295487,46915.34,High income
137,Austria,2006,79.88,78.49,2.7,2.0,26.27,24.53,9.53,13.78,5.32,8268641,40669.33,High income
138,Austria,2005,79.33,83.25,2.8,2.0,26.21,24.5,9.63,13.67,5.68,8227829,38417.46,High income
139,Austria,2004,79.18,84.71,2.9,2.1,26.14,24.48,9.71,13.03,5.97,8171966,36889.23,High income
140,Austria,2003,78.63,87.42,3.0,2.2,26.07,24.45,9.55,13.62,4.78,8121423,32294.05,High income
141,Austria,2002,78.68,89.65,2.9,2.4,26.0,24.41,9.39,13.51,4.86,8081957,26527.59,High income
142,Austria,2001,78.58,91.83,3.0,2.4,25.93,24.38,9.27,13.29,4.01,8042293,24558.76,High income
143,Austria,2000,78.13,95.01,3.1,2.7,25.85,24.34,9.2,13.38,4.69,8011566,24625.6,High income
240,Belgium,2015,80.99,71.86,2.2,1.8,26.78,25.72,10.8,15.35,8.48,11274196,41008.3,High income
241,Belgium,2014,81.29,72.45,2.1,1.7,26.75,25.69,10.61,14.52,8.52,11209057,47764.07,High income
242,Belgium,2013,80.59,75.97,2.2,2.0,26.72,25.66,10.58,14.32,8.43,11159407,46757.95,High income
243,Belgium,2012,80.39,78.43,2.3,2.0,26.7,25.63,10.5,14.22,7.54,11106932,44670.56,High income
244,Belgium,2011,80.59,80.45,2.3,2.0,26.66,25.6,10.36,14.28,7.14,11038264,47410.57,High income
245,Belgium,2010,80.18,81.5,2.3,2.2,26.63,25.58,10.2,14.44,8.29,10895586,44184.95,High income
246,Belgium,2009,80.03,84.24,2.5,2.1,26.59,25.55,10.32,14.4,7.91,10796493,44760.29,High income
247,Belgium,2008,79.68,86.33,2.5,2.2,26.54,25.51,9.6,14.31,6.98,10709973,48303.4,High income
248,Belgium,2007,79.78,85.0,2.5,2.1,26.49,25.48,9.14,13.96,7.46,10625700,44319.17,High income
249,Belgium,2006,79.38,86.34,2.6,2.3,26.43,25.45,9.13,13.96,8.25,10547958,38705.11,High income
250,Belgium,2005,78.98,88.52,2.7,2.4,26.37,25.42,9.22,13.3,8.44,10478617,36809.7,High income
251,Belgium,2004,78.88,89.63,2.6,2.4,26.3,25.39,9.33,14.18,7.36,10421137,35429.41,High income
252,Belgium,2003,78.13,94.19,2.7,2.6,26.24,25.36,9.16,13.31,7.68,10376133,30655.21,High income
253,Belgium,2002,78.08,96.14,2.9,2.6,26.17,25.33,8.32,12.29,6.91,10332785,25006.19,High income
254,Belgium,2001,77.97,98.22,2.9,2.9,26.1,25.3,8.15,12.43,6.18,10286570,23015.07,High income
255,Belgium,2000,77.72,99.75,3.0,2.9,26.03,25.27,8.0,12.07,6.59,10251250,23098.89,High income
880,France,2015,82.32,74.41,2.4,1.7,26.06,24.34,11.45,14.58,10.35,66548272,36652.92,High income
881,France,2014,82.72,73.79,2.3,1.6,26.04,24.38,11.54,14.2,10.27,66312067,43068.55,High income
882,France,2013,82.22,76.88,2.3,1.8,26.02,24.41,11.4,14.01,9.91,66002289,42602.72,High income
883,France,2012,81.97,79.66,2.2,1.7,26.01,24.44,11.3,13.91,9.84,65662240,40870.85,High income
884,France,2011,82.11,82.76,2.2,1.9,25.99,24.46,11.18,13.95,9.23,65345233,43846.47,High income
885,France,2010,81.66,84.78,2.1,2.0,25.96,24.49,11.23,13.9,9.28,65030575,40676.06,High income
886,France,2009,81.41,86.58,2.2,2.0,25.93,24.51,11.29,13.96,9.12,64710879,41737.76,High income
887,France,2008,81.21,86.56,2.3,2.1,25.9,24.52,10.5,13.92,7.39,64379696,45515.96,High income
888,France,2007,81.11,87.63,2.2,2.0,25.86,24.53,10.32,13.95,8.01,64021737,41557.62,High income
889,France,2006,80.81,89.59,2.4,2.1,25.81,24.54,10.39,14.0,8.83,63628261,36470.21,High income
890,France,2005,80.16,91.83,2.3,2.2,25.76,24.54,10.21,13.91,8.88,63188395,34768.18,High income
891,France,2004,80.16,92.27,2.5,2.2,25.7,24.54,10.16,13.94,8.91,62716306,33797.16,High income
892,France,2003,79.11,97.62,2.6,2.2,25.65,24.54,10.08,13.75,8.31,62256970,29627.92,High income
893,France,2002,79.26,99.04,2.6,2.4,25.59,24.53,10.02,13.86,8.7,61816234,24288.27,High income
894,France,2001,79.16,100.3,2.6,2.6,25.53,24.52,9.71,13.65,8.61,61367388,22449.34,High income
895,France,2000,79.06,100.2,2.8,2.6,25.48,24.51,9.58,13.5,10.22,60921384,22416.43,High income
944,Germany,2015,80.64,71.6,2.2,1.5,27.44,25.97,11.19,19.51,4.62,81686611,41103.26,High income
945,Germany,2014,81.09,70.49,2.1,1.8,27.4,25.94,11.03,19.17,4.98,80982500,48023.87,High income
946,Germany,2013,80.49,73.3,2.2,1.7,27.36,25.9,11.0,18.7,5.23,80645605,46298.92,High income
947,Germany,2012,80.54,71.97,2.3,1.8,27.31,25.86,10.85,18.23,5.38,80425823,43855.85,High income
948,Germany,2011,80.44,74.43,2.2,1.8,27.26,25.82,10.78,17.97,5.82,80274983,46705.9,High income
949,Germany,2010,79.99,76.32,2.3,1.7,27.21,25.78,11.1,17.45,6.97,81776930,41572.46,High income
950,Germany,2009,79.84,77.75,2.3,1.8,27.16,25.74,11.24,17.64,7.74,81902307,41650.37,High income
951,Germany,2008,79.74,78.39,2.4,1.8,27.1,25.7,10.25,17.46,7.52,82110097,45612.71,High income
952,Germany,2007,79.53,79.56,2.5,2.0,27.03,25.66,10.05,17.41,8.66,82266372,41640.08,High income
953,Germany,2006,79.13,81.24,2.6,2.2,26.96,25.61,10.18,16.93,10.25,82376451,36353.88,High income
954,Germany,2005,78.93,83.55,2.6,2.3,26.89,25.56,10.31,16.67,11.17,82469422,34520.24,High income
955,Germany,2004,78.68,85.28,2.6,2.2,26.81,25.52,10.15,16.46,10.73,82516260,34106.66,High income
956,Germany,2003,78.38,89.42,2.6,2.3,26.73,25.47,10.4,16.67,9.78,82534176,30310.36,High income
