,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
112,Australia,2015,82.4,62.26,2.2,1.4,27.68,26.84,10.18,18.31,6.06,23815995,56758.87,High income
113,Australia,2014,82.3,61.18,2.4,1.5,27.65,26.81,9.83,17.64,6.08,23475686,62558.24,High income
114,Australia,2013,82.15,59.56,2.4,1.6,27.61,26.77,8.75,15.4,5.66,23128129,68198.42,High income
115,Australia,2012,82.05,59.74,2.4,1.7,27.58,26.74,8.67,16.19,5.22,22733465,68078.04,High income
116,Australia,2011,81.9,61.99,2.6,1.9,27.54,26.7,8.54,16.32,5.08,22340024,62609.66,High income
117,Australia,2010,81.7,62.48,2.7,1.9,27.5,26.67,8.42,16.11,5.21,22031750,52147.02,High income
118,Australia,2009,81.54,63.99,2.9,1.9,27.46,26.62,8.54,15.88,5.56,21691653,42816.57,High income
119,Australia,2008,81.4,64.08,3.0,2.2,27.4,26.58,8.25,15.61,4.24,21249199,49701.28,High income
120,Australia,2007,81.29,64.99,3.0,2.2,27.34,26.53,8.05,16.49,4.38,20827622,41051.61,High income
121,Australia,2006,81.04,65.58,3.1,2.4,27.27,26.47,7.98,15.94,4.78,20450966,36595.71,High income
122,Australia,2005,80.84,66.92,3.2,2.3,27.2,26.41,7.97,15.9,5.04,20176844,34479.77,High income
123,Australia,2004,80.49,67.06,3.2,2.3,27.12,26.34,8.09,15.95,5.4,19932722,30836.73,High income
124,Australia,2003,80.24,68.73,3.4,2.4,27.04,26.27,7.88,15.48,5.93,19720737,23718.13,High income
125,Australia,2002,79.94,71.05,3.4,2.5,26.95,26.19,7.88,15.51,6.38,19495210,20301.84,High income
126,Australia,2001,79.63,72.98,3.4,2.4,26.86,26.1,7.68,14.71,6.75,19274701,19695.73,High income
127,Australia,2000,79.23,76.32,3.5,2.6,26.76,26.0,7.59,14.6,6.29,19028802,21870.42,High income
1776,New Zealand,2015,81.61,65.82,3.1,2.4,28.23,28.03,9.28,18.89,5.42,4609400,38639.35,High income
1777,New Zealand,2014,81.46,66.01,3.2,2.4,28.17,27.95,9.4,19.46,5.43,4516500,44578.23,High income
1778,New Zealand,2013,81.4,66.92,3.3,2.5,28.11,27.87,9.36,19.2,5.84,4442100,42977.39,High income
1779,New Zealand,2012,81.41,68.12,3.2,2.8,28.05,27.79,9.65,19.18,6.93,4408100,39974.3,High income
1780,New Zealand,2011,81.16,69.53,3.3,2.9,27.99,27.71,9.52,17.85,6.49,4384000,38388.53,High income
1781,New Zealand,2010,80.9,70.74,3.1,3.1,27.93,27.63,9.59,17.6,6.56,4350700,33676.77,High income
1782,New Zealand,2009,80.7,70.89,3.0,3.1,27.85,27.54,9.62,18.72,6.12,4302600,28209.36,High income
1783,New Zealand,2008,80.35,72.55,3.1,3.2,27.77,27.46,9.12,18.36,4.17,4259800,31252.96,High income
1784,New Zealand,2007,80.15,75.54,3.0,3.4,27.69,27.36,8.33,18.14,3.66,4223800,32479.98,High income
1785,New Zealand,2006,80.05,75.19,3.0,3.4,27.6,27.27,8.64,17.94,3.86,4184600,26654.59,High income
1786,New Zealand,2005,79.85,77.51,3.2,3.2,27.5,27.17,8.27,17.38,3.81,4133900,27751.07,High income
1787,New Zealand,2004,79.55,78.7,3.3,3.2,27.4,27.07,7.9,17.0,4.0,4087500,25420.23,High income
1788,New Zealand,2003,79.15,82.08,3.2,3.5,27.29,26.96,7.72,16.22,4.74,4027200,21913.71,High income
1789,New Zealand,2002,78.85,83.46,3.5,3.7,27.18,26.85,7.9,16.28,5.28,3948500,16874.19,High income
1790,New Zealand,2001,78.69,83.79,3.3,3.8,27.06,26.73,7.58,15.17,5.43,3880500,13882.86,High income
1791,New Zealand,2000,78.64,86.04,3.6,3.9,26.95,26.61,7.47,14.71,6.13,3857700,13641.1,High income
