,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
848,Fiji,2015,66.84,225.3,10.1,14.7,26.7,28.93,3.32,7.04,4.29,917200,5105.19,Upper-middle income
849,Fiji,2014,67.38,227.2,9.9,14.5,26.59,28.85,3.37,7.1,4.32,915560,5305.06,Upper-middle income
850,Fiji,2013,67.43,229.1,9.9,14.5,26.48,28.77,3.2,7.47,4.36,913453,4586.96,Upper-middle income
851,Fiji,2012,67.55,230.8,9.8,14.5,26.38,28.7,3.27,7.51,4.38,911059,4359.79,Upper-middle income
852,Fiji,2011,67.52,232.0,9.9,14.5,26.27,28.62,3.14,7.47,4.41,908355,4160.72,Upper-middle income
853,Fiji,2010,67.33,234.0,10.0,14.2,26.17,28.54,3.42,8.79,4.34,905169,3469.15,Upper-middle income
854,Fiji,2009,67.09,235.9,10.1,13.9,26.07,28.46,3.54,8.37,4.3,901383,3184.69,Upper-middle income
855,Fiji,2008,66.94,240.5,10.5,13.6,25.97,28.38,3.18,9.78,4.18,896731,3928.92,Upper-middle income
856,Fiji,2007,66.83,237.9,10.8,13.0,25.88,28.3,3.42,10.59,4.1,890648,3793.1,Upper-middle income
857,Fiji,2006,66.86,237.8,11.1,12.8,25.78,28.21,3.35,9.97,3.96,883083,3483.6,Upper-middle income
858,Fiji,2005,66.63,235.0,10.7,12.5,25.68,28.12,3.26,10.36,3.89,874923,3406.48,Upper-middle income
859,Fiji,2004,66.42,229.0,10.5,12.6,25.59,28.03,3.26,9.25,4.7,866694,3124.61,Upper-middle income
860,Fiji,2003,66.18,234.9,9.9,13.8,25.49,27.93,2.97,8.61,4.74,858306,2680.27,Upper-middle income
861,Fiji,2002,65.75,232.6,9.2,14.1,25.4,27.82,2.98,8.04,4.77,849891,2157.08,Upper-middle income
862,Fiji,2001,66.34,240.5,9.0,13.4,25.31,27.72,2.91,7.9,4.7,841320,1964.13,Upper-middle income
863,Fiji,2000,66.31,252.1,9.0,14.0,25.21,27.61,3.42,10.59,4.7,832509,2015.86,Upper-middle income
1904,Papua New Guinea,2015,64.7,215.4,24.5,31.9,25.31,25.89,1.82,6.03,2.49,8682174,2502.07,Lower-middel income
1905,Papua New Guinea,2014,64.26,218.6,25.3,33.5,25.21,25.78,3.27,7.47,2.52,8464153,2742.25,Lower-middel income
1906,Papua New Guinea,2013,63.96,222.0,25.7,33.9,25.12,25.67,3.0,7.19,2.68,8245627,2578.5,Lower-middel income
1907,Papua New Guinea,2012,63.73,226.3,26.3,35.5,25.03,25.55,2.67,8.13,2.63,8026545,2653.09,Lower-middel income
1908,Papua New Guinea,2011,63.53,226.2,26.7,36.6,24.95,25.44,2.29,7.6,2.62,7806637,2303.83,Lower-middel income
1909,Papua New Guinea,2010,63.04,227.8,27.0,37.9,24.86,25.33,2.11,7.07,2.0,7583269,1879.24,Lower-middel income
1910,Papua New Guinea,2009,62.79,230.3,27.6,39.4,24.78,25.21,2.33,6.32,2.09,7358890,1578.97,Lower-middel income
1911,Papua New Guinea,2008,62.57,233.8,27.9,40.6,24.7,25.1,2.14,7.66,2.17,7137988,1635.04,Lower-middel income
1912,Papua New Guinea,2007,62.03,237.8,28.2,41.3,24.62,24.99,2.42,9.07,2.17,6921066,1379.13,Lower-middel income
1913,Papua New Guinea,2006,61.92,242.7,28.6,41.7,24.54,24.87,2.43,8.38,2.29,6708217,1245.47,Lower-middel income
1914,Papua New Guinea,2005,61.8,243.9,29.0,43.7,24.47,24.76,2.45,7.83,2.39,6498818,748.74,Lower-middel income
1915,Papua New Guinea,2004,61.76,242.2,29.1,44.8,24.39,24.64,2.59,8.75,2.52,6293166,624.04,Lower-middel income
1916,Papua New Guinea,2003,61.8,241.0,29.3,47.4,24.31,24.51,2.45,7.63,2.63,6090980,580.6,Lower-middel income
1917,Papua New Guinea,2002,61.7,241.3,29.4,50.7,24.23,24.39,2.78,8.48,2.75,5892596,509.03,Lower-middel income
1918,Papua New Guinea,2001,61.77,240.7,29.5,47.5,24.16,24.26,2.3,7.73,2.8,5698489,540.67,Lower-middel income
