,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
0,Australia,2015,82.4,62.26,2.2,1.4,27.68,26.84,10.18,18.31,6.06,23815995,56758.87,60520.0
14,Australia,2001,79.63,72.98,3.4,2.4,26.86,26.1,7.68,14.71,6.75,19274701,19695.73,20330.0
13,Australia,2002,79.94,71.05,3.4,2.5,26.95,26.19,7.88,15.51,6.38,19495210,20301.84,20210.0
12,Australia,2003,80.24,68.73,3.4,2.4,27.04,26.27,7.88,15.48,5.93,19720737,23718.13,21380.0
11,Australia,2004,80.49,67.06,3.2,2.3,27.12,26.34,8.09,15.95,5.4,19932722,30836.73,25850.0
10,Australia,2005,80.84,66.92,3.2,2.3,27.2,26.41,7.97,15.9,5.04,20176844,34479.77,30740.0
9,Australia,2006,81.04,65.58,3.1,2.4,27.27,26.47,7.98,15.94,4.78,20450966,36595.71,34600.0
8,Australia,2007,81.29,64.99,3.0,2.2,27.34,26.53,8.05,16.49,4.38,20827622,41051.61,37390.0
15,Australia,2000,79.23,76.32,3.5,2.6,26.76,26.0,7.59,14.6,6.29,19028802,21870.42,21300.0
6,Australia,2009,81.54,63.99,2.9,1.9,27.46,26.62,8.54,15.88,5.56,21691653,42816.57,44100.0
5,Australia,2010,81.7,62.48,2.7,1.9,27.5,26.67,8.42,16.11,5.21,22031750,52147.02,46750.0
4,Australia,2011,81.9,61.99,2.6,1.9,27.54,26.7,8.54,16.32,5.08,22340024,62609.66,50410.0
3,Australia,2012,82.05,59.74,2.4,1.7,27.58,26.74,8.67,16.19,5.22,22733465,68078.04,60290.0
2,Australia,2013,82.15,59.56,2.4,1.6,27.61,26.77,8.75,15.4,5.66,23128129,68198.42,66080.0
1,Australia,2014,82.3,61.18,2.4,1.5,27.65,26.81,9.83,17.64,6.08,23475686,62558.24,65220.0
7,Australia,2008,81.4,64.08,3.0,2.2,27.4,26.58,8.25,15.61,4.24,21249199,49701.28,42410.0
66,Fiji,2013,67.43,229.1,9.9,14.5,26.48,28.77,3.2,7.47,4.36,913453,4586.96,4460.0
67,Fiji,2012,67.55,230.8,9.8,14.5,26.38,28.7,3.27,7.51,4.38,911059,4359.79,3910.0
68,Fiji,2011,67.52,232.0,9.9,14.5,26.27,28.62,3.14,7.47,4.41,908355,4160.72,3570.0
69,Fiji,2010,67.33,234.0,10.0,14.2,26.17,28.54,3.42,8.79,4.34,905169,3469.15,3450.0
70,Fiji,2009,67.09,235.9,10.1,13.9,26.07,28.46,3.54,8.37,4.3,901383,3184.69,3620.0
71,Fiji,2008,66.94,240.5,10.5,13.6,25.97,28.38,3.18,9.78,4.18,896731,3928.92,3730.0
75,Fiji,2004,66.42,229.0,10.5,12.6,25.59,28.03,3.26,9.25,4.7,866694,3124.61,2820.0
73,Fiji,2006,66.86,237.8,11.1,12.8,25.78,28.21,3.35,9.97,3.96,883083,3483.6,3340.0
74,Fiji,2005,66.63,235.0,10.7,12.5,25.68,28.12,3.26,10.36,3.89,874923,3406.48,3320.0
76,Fiji,2003,66.18,234.9,9.9,13.8,25.49,27.93,2.97,8.61,4.74,858306,2680.27,2270.0
77,Fiji,2002,65.75,232.6,9.2,14.1,25.4,27.82,2.98,8.04,4.77,849891,2157.08,2050.0
78,Fiji,2001,66.34,240.5,9.0,13.4,25.31,27.72,2.91,7.9,4.7,841320,1964.13,2050.0
65,Fiji,2014,67.38,227.2,9.9,14.5,26.59,28.85,3.37,7.1,4.32,915560,5305.06,4740.0
72,Fiji,2007,66.83,237.9,10.8,13.0,25.88,28.3,3.42,10.59,4.1,890648,3793.1,3530.0
64,Fiji,2015,66.84,225.3,10.1,14.7,26.7,28.93,3.32,7.04,4.29,917200,5105.19,4820.0
79,Fiji,2000,66.31,252.1,9.0,14.0,25.21,27.61,3.42,10.59,4.7,832509,2015.86,2150.0
32,Kiribati,2015,66.06,305.0,24.0,33.0,29.11,31.2,8.11,6.69,,116707,1641.48,3490.0
47,Kiribati,2000,64.41,329.8,28.9,41.6,28.31,29.35,8.65,11.41,,88826,841.98,1370.0
46,Kiribati,2001,64.66,325.2,28.5,40.0,28.38,29.52,12.3,11.41,,90531,719.85,1340.0
45,Kiribati,2002,64.84,322.6,27.7,39.4,28.44,29.68,11.87,11.41,,92400,811.44,1220.0
44,Kiribati,2003,64.95,319.6,27.1,38.2,28.5,29.82,10.7,11.41,,94302,1017.84,1200.0
42,Kiribati,2005,64.97,316.5,26.7,37.8,28.6,30.09,11.52,11.41,,98164,1159.14,1620.0
41,Kiribati,2006,64.91,314.8,26.4,38.3,28.65,30.21,11.54,11.41,,100083,1121.08,1670.0
40,Kiribati,2007,64.84,313.1,26.4,38.3,28.7,30.33,11.36,11.38,,101998,1353.62,1790.0
43,Kiribati,2004,64.99,318.0,27.0,37.6,28.55,29.96,12.43,11.41,,96224,1085.29,1430.0
38,Kiribati,2009,64.89,311.6,25.8,38.1,28.8,30.55,13.49,10.9,,105996,1324.44,1850.0
37,Kiribati,2010,65.02,311.6,25.8,37.3,28.84,30.66,9.34,10.45,,107995,1528.9,2030.0
36,Kiribati,2011,65.19,312.0,25.4,36.6,28.9,30.77,8.67,9.29,,109871,1783.77,2110.0
35,Kiribati,2012,65.38,310.4,25.0,35.7,28.95,30.87,8.69,8.36,,111618,1855.27,2630.0
34,Kiribati,2013,65.59,308.6,24.8,35.0,29.0,30.98,9.53,9.16,,113311,1780.66,3040.0
33,Kiribati,2014,65.82,307.2,24.4,33.5,29.06,31.09,10.09,7.28,,114985,1740.36,3260.0
39,Kiribati,2008,64.83,312.1,26.5,38.1,28.75,30.44,14.08,12.69,,103966,1411.91,1860.0
57,Micronesia (Federated States of),2006,71.09,283.0,22.4,24.6,27.82,30.76,10.74,4.32,,110301,2298.64,2440.0
63,Micronesia (Federated States of),2000,69.77,292.4,25.2,28.8,27.66,30.28,7.77,2.59,,111709,2088.21,2120.0
62,Micronesia (Federated States of),2001,70.48,289.4,25.0,28.3,27.68,30.36,8.45,2.86,,111948,2152.53,2160.0
61,Micronesia (Federated States of),2002,69.46,295.0,24.3,27.6,27.7,30.44,7.9,2.87,,111992,2165.49,2160.0
60,Micronesia (Federated States of),2003,70.76,285.5,23.7,27.3,27.73,30.52,9.57,3.15,,111805,2195.19,2260.0
58,Micronesia (Federated States of),2005,70.88,284.8,22.7,25.8,27.78,30.68,17.73,4.46,,110940,2256.01,2430.0
56,Micronesia (Federated States of),2007,71.06,281.5,21.6,23.4,27.86,30.83,11.06,4.16,,109532,2344.4,2450.0
59,Micronesia (Federated States of),2004,70.84,284.7,23.5,26.2,27.75,30.6,12.03,3.93,,111438,2155.78,2330.0
54,Micronesia (Federated States of),2009,71.11,279.0,21.1,21.0,27.95,30.99,12.55,3.44,,107868,2598.4,2690.0
53,Micronesia (Federated States of),2010,71.23,278.9,20.1,20.6,28.0,31.06,13.11,3.4,,107588,2760.01,2780.0
52,Micronesia (Federated States of),2011,71.32,277.1,20.0,19.1,28.06,31.14,13.1,4.65,,107887,2885.44,2950.0
51,Micronesia (Federated States of),2012,71.4,275.4,19.6,17.9,28.11,31.22,12.28,3.95,,108232,3023.59,3060.0
50,Micronesia (Federated States of),2013,71.5,274.3,18.9,17.5,28.17,31.3,12.1,4.64,,108609,2920.7,3120.0
49,Micronesia (Federated States of),2014,71.53,273.3,18.4,16.8,28.22,31.38,11.72,6.16,,109024,2928.45,3120.0
48,Micronesia (Federated States of),2015,71.41,273.2,17.8,16.1,28.28,31.46,12.46,5.77,,109462,2891.32,3500.0
55,Micronesia (Federated States of),2008,71.14,280.3,21.4,22.0,27.91,30.91,11.99,4.97,,108704,2420.75,2460.0
31,New Zealand,2000,78.64,86.04,3.6,3.9,26.95,26.61,7.47,14.71,6.13,3857700,13641.1,14070.0
16,New Zealand,2015,81.61,65.82,3.1,2.4,28.23,28.03,9.28,18.89,5.42,4609400,38639.35,40650.0
17,New Zealand,2014,81.46,66.01,3.2,2.4,28.17,27.95,9.4,19.46,5.43,4516500,44578.23,41680.0
18,New Zealand,2013,81.4,66.92,3.3,2.5,28.11,27.87,9.36,19.2,5.84,4442100,42977.39,39950.0
19,New Zealand,2012,81.41,68.12,3.2,2.8,28.05,27.79,9.65,19.18,6.93,4408100,39974.3,36710.0
20,New Zealand,2011,81.16,69.53,3.3,2.9,27.99,27.71,9.52,17.85,6.49,4384000,38388.53,32220.0
21,New Zealand,2010,80.9,70.74,3.1,3.1,27.93,27.63,9.59,17.6,6.56,4350700,33676.77,29670.0
22,New Zealand,2009,80.7,70.89,3.0,3.1,27.85,27.54,9.62,18.72,6.12,4302600,28209.36,29690.0
