Entity,Code,Year,Combined - average years of education for 15-64 years male and female youth and adults
Afghanistan,AFG,2000,3.03
Afghanistan,AFG,2005,3.32
Afghanistan,AFG,2010,3.93
Afghanistan,AFG,2015,4.81
Africa,,2000,5.012495
Africa,,2005,5.4465013
Africa,,2010,5.890455
Africa,,2015,6.1954384
Albania,ALB,2000,9.93
Albania,ALB,2005,10.24
Albania,ALB,2010,10.44
Albania,ALB,2015,9.99
Algeria,DZA,2000,6.06
Algeria,DZA,2005,6.43
Algeria,DZA,2010,7
Algeria,DZA,2015,7.55
Argentina,ARG,2000,9.08
Argentina,ARG,2005,9.57
Argentina,ARG,2010,9.71
Argentina,ARG,2015,9.59
Armenia,ARM,2015,10.45
Asia,,2000,6.6289124
Asia,,2005,7.1300015
Asia,,2010,7.6118946
Asia,,2015,8.116568
Australia,AUS,2000,11.37
Australia,AUS,2005,11.71
Australia,AUS,2010,11.69
Australia,AUS,2015,12.92
Austria,AUT,2000,9.43
Austria,AUT,2005,9.89
Austria,AUT,2010,10.13
Austria,AUT,2015,10.27
Bahrain,BHR,2015,7.82
Bangladesh,BGD,2000,4.77
Bangladesh,BGD,2005,5.51
Bangladesh,BGD,2010,6.22
Bangladesh,BGD,2015,6.76
Barbados,BRB,2000,9.23
Barbados,BRB,2005,9.41
Barbados,BRB,2010,9.57
Barbados,BRB,2015,9.46
Belgium,BEL,2000,10.95
Belgium,BEL,2005,11.11
Belgium,BEL,2010,11.29
Belgium,BEL,2015,11.36
Belize,BLZ,2000,10.19
Belize,BLZ,2005,10.77
Belize,BLZ,2010,11.28
Belize,BLZ,2015,10.56
Benin,BEN,2000,3.31
Benin,BEN,2005,3.85
Benin,BEN,2010,4.57
Benin,BEN,2015,5.42
Bolivia,BOL,2000,8.73
Bolivia,BOL,2005,8.77
Bolivia,BOL,2010,8.57
Bolivia,BOL,2015,8.62
Botswana,BWA,2015,10.27
Brazil,BRA,2000,6.76
Brazil,BRA,2005,7.67
Brazil,BRA,2010,8.17
Brazil,BRA,2015,7.66
Brunei,BRN,2015,9.08
Bulgaria,BGR,2000,9.65
Bulgaria,BGR,2005,10.61
Bulgaria,BGR,2010,11.07
Bulgaria,BGR,2015,10.71
Burundi,BDI,2015,4.3
Cambodia,KHM,2000,3.64
Cambodia,KHM,2005,4.26
Cambodia,KHM,2010,4.94
Cambodia,KHM,2015,5.32
Cameroon,CMR,2000,5.76
Cameroon,CMR,2005,6.06
Cameroon,CMR,2010,6.41
Cameroon,CMR,2015,7.05
Canada,CAN,2000,11.39
Canada,CAN,2005,12.49
Canada,CAN,2010,12.74
Canada,CAN,2015,12.83
Central African Republic,CAF,2015,4.21
Chile,CHL,2000,9.41
Chile,CHL,2005,9.96
Chile,CHL,2010,10.35
Chile,CHL,2015,10.49
China,CHN,2000,7.79
China,CHN,2005,8.02
China,CHN,2010,8.25
China,CHN,2015,8.51
Colombia,COL,2000,7.12
Colombia,COL,2005,7.56
Colombia,COL,2010,9.35
Colombia,COL,2015,9.78
Congo,COG,2015,6.47
Costa Rica,CRI,2000,7.96
Costa Rica,CRI,2005,8.52
Costa Rica,CRI,2010,8.43
Costa Rica,CRI,2015,8.77
Cote d'Ivoire,CIV,2000,4.06
Cote d'Ivoire,CIV,2005,4.52
Cote d'Ivoire,CIV,2010,4.93
Cote d'Ivoire,CIV,2015,5.4
Croatia,HRV,2015,11.8
Cuba,CUB,2000,9.88
Cuba,CUB,2005,10.36
Cuba,CUB,2010,11.06
Cuba,CUB,2015,11.12
Cyprus,CYP,2000,10.82
Cyprus,CYP,2005,10.19
Cyprus,CYP,2010,11.76
Cyprus,CYP,2015,12.1
Czechia,CZE,2000,12.78
Czechia,CZE,2005,12.81
Czechia,CZE,2010,12.8
Czechia,CZE,2015,12.93
Democratic Republic of Congo,COD,2000,3.51
Democratic Republic of Congo,COD,2005,3.63
Democratic Republic of Congo,COD,2010,3.79
Democratic Republic of Congo,COD,2015,4.3
Denmark,DNK,2000,11.5
Denmark,DNK,2005,11.81
Denmark,DNK,2010,11.97
Denmark,DNK,2015,11.67
Dominican Republic,DOM,2000,7.03
Dominican Republic,DOM,2005,7.54
Dominican Republic,DOM,2010,8.12
Dominican Republic,DOM,2015,8.48
Ecuador,ECU,2000,7.41
Ecuador,ECU,2005,7.7
Ecuador,ECU,2010,8.02
Ecuador,ECU,2015,8.54
Egypt,EGY,2000,6.3
Egypt,EGY,2005,6.93
Egypt,EGY,2010,7.44
Egypt,EGY,2015,7.53
El Salvador,SLV,2000,7.04
El Salvador,SLV,2005,8.08
El Salvador,SLV,2010,8.06
El Salvador,SLV,2015,7.67
Estonia,EST,2015,12.33
Eswatini,SWZ,2000,4.62
Eswatini,SWZ,2005,4.64
Eswatini,SWZ,2010,5.33
Eswatini,SWZ,2015,5.77
Europe,,2000,10.59524
Europe,,2005,11.250854
Europe,,2010,11.683311
Europe,,2015,11.717827
Fiji,FJI,2000,9.97
Fiji,FJI,2005,9.76
Fiji,FJI,2010,10.35
Fiji,FJI,2015,11.09
Finland,FIN,2000,9.9
Finland,FIN,2005,10.42
Finland,FIN,2010,10.71
Finland,FIN,2015,10.94
France,FRA,2000,10.22
France,FRA,2005,10.86
France,FRA,2010,11.34
France,FRA,2015,11.6
Gabon,GAB,2015,9.53
Gambia,GMB,2000,2.77
Gambia,GMB,2005,3.39
Gambia,GMB,2010,3.92
Gambia,GMB,2015,4.42
Germany,DEU,2000,10.59
Germany,DEU,2005,11.98
Germany,DEU,2010,12.58
Germany,DEU,2015,12.86
Ghana,GHA,2000,6.67
Ghana,GHA,2005,7.28
Ghana,GHA,2010,7.66
Ghana,GHA,2015,7.72
Greece,GRC,2000,9.9
Greece,GRC,2005,10.95
Greece,GRC,2010,11.36
Greece,GRC,2015,11.6
Guatemala,GTM,2000,4.35
Guatemala,GTM,2005,4.33
Guatemala,GTM,2010,5.21
Guatemala,GTM,2015,5.72
Guyana,GUY,2000,8.43
Guyana,GUY,2005,8.79
Guyana,GUY,2010,9
Guyana,GUY,2015,8.32
Haiti,HTI,2000,4.44
Haiti,HTI,2005,4.9
Haiti,HTI,2010,5.17
Haiti,HTI,2015,5.5
Honduras,HND,2000,5.87
Honduras,HND,2005,6.24
Honduras,HND,2010,6.6
Honduras,HND,2015,7.04
Hong Kong,HKG,2000,10.37
Hong Kong,HKG,2005,12.17
Hong Kong,HKG,2010,12.2
Hong Kong,HKG,2015,12.32
Hungary,HUN,2000,11.57
Hungary,HUN,2005,11.89
Hungary,HUN,2010,11.98
Hungary,HUN,2015,11.83
Iceland,ISL,2000,10.17
Iceland,ISL,2005,10.83
Iceland,ISL,2010,11.52
Iceland,ISL,2015,12.95
India,IND,2000,5.3
India,IND,2005,5.94
India,IND,2010,6.59
India,IND,2015,7.31
Indonesia,IDN,2000,5.41
Indonesia,IDN,2005,6.68
Indonesia,IDN,2010,8.02
Indonesia,IDN,2015,8.5
Iran,IRN,2000,7.66
Iran,IRN,2005,8.49
Iran,IRN,2010,9.15
Iran,IRN,2015,9.37
Iraq,IRQ,2000,6.23
Iraq,IRQ,2005,6.6
Iraq,IRQ,2010,7.43
Iraq,IRQ,2015,7.76
Ireland,IRL,2000,11.03
Ireland,IRL,2005,11.8
Ireland,IRL,2010,12.45
Ireland,IRL,2015,13.57
Israel,ISR,2015,12.04
Italy,ITA,2000,9.73
Italy,ITA,2005,10.2
Italy,ITA,2010,10.71
Italy,ITA,2015,11.11
Jamaica,JAM,2000,9.59
Jamaica,JAM,2005,10.09
Jamaica,JAM,2010,10.33
Jamaica,JAM,2015,9.81
Japan,JPN,2000,11.77
Japan,JPN,2005,12.12
Japan,JPN,2010,12.44
Japan,JPN,2015,12.6
Jordan,JOR,2000,8.72
Jordan,JOR,2005,9.42
Jordan,JOR,2010,9.92
Jordan,JOR,2015,10.5
Kazakhstan,KAZ,2015,11.69
Kenya,KEN,2000,5.91
Kenya,KEN,2005,6.48
Kenya,KEN,2010,6.47
Kenya,KEN,2015,6.28
Kuwait,KWT,2000,6.12
Kuwait,KWT,2005,6.14
Kuwait,KWT,2010,6.39
Kuwait,KWT,2015,6.49
Kyrgyzstan,KGZ,2015,11.05
Laos,LAO,2015,5.47
Latvia,LVA,2015,11.79
Lesotho,LSO,2000,6.37
Lesotho,LSO,2005,7.21
Lesotho,LSO,2010,6.08
Lesotho,LSO,2015,6.44
Liberia,LBR,2000,3.6
Liberia,LBR,2005,3.96
Liberia,LBR,2010,4.35
Liberia,LBR,2015,5.06
Libya,LBY,2000,7.04
Libya,LBY,2005,7.79
Libya,LBY,2010,8.43
Libya,LBY,2015,9.05
Lithuania,LTU,2015,12.44
Luxembourg,LUX,2000,9.92
Luxembourg,LUX,2005,10.59
Luxembourg,LUX,2010,11.33
Luxembourg,LUX,2015,11.41
Macao,MAC,2015,10.56
Malawi,MWI,2000,3.73
Malawi,MWI,2005,4.67
Malawi,MWI,2010,5.01
Malawi,MWI,2015,4.86
Malaysia,MYS,2000,9.49
Malaysia,MYS,2005,10.16
Malaysia,MYS,2010,10.89
Malaysia,MYS,2015,11.49
Maldives,MDV,2015,7.57
Mali,MLI,2000,1.3
Mali,MLI,2005,1.81
Mali,MLI,2010,2.14
Mali,MLI,2015,2.78
Malta,MLT,2000,10.43
Malta,MLT,2005,10.6
Malta,MLT,2010,11.06
Malta,MLT,2015,11.53
Mauritania,MRT,2015,5.1
Mauritius,MUS,2000,7.07
Mauritius,MUS,2005,8.16
Mauritius,MUS,2010,9.44
Mauritius,MUS,2015,9.9
Mexico,MEX,2000,7.96
Mexico,MEX,2005,8.9
Mexico,MEX,2010,9.18
Mexico,MEX,2015,9.65
Moldova,MDA,2015,10.8
Mongolia,MNG,2015,9.77
Morocco,MAR,2000,4.09
Morocco,MAR,2005,4.63
Morocco,MAR,2010,5.27
Morocco,MAR,2015,6.15
Mozambique,MOZ,2000,1.13
Mozambique,MOZ,2005,1.34
Mozambique,MOZ,2010,2.03
Mozambique,MOZ,2015,3.31
Myanmar,MMR,2000,3.89
Myanmar,MMR,2005,4.45
Myanmar,MMR,2010,5.11
Myanmar,MMR,2015,5.9
Namibia,NAM,2015,6.64
Nepal,NPL,2000,3.13
Nepal,NPL,2005,3.74
Nepal,NPL,2010,4.44
