"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3639400947479","11.7247648433246","","11.4851834088419","11.06698310685","10.9527038381608","11.5739897195524","11.9260067738431","11.9937238780213","11.9454107685607","12.2578471128508","12.4158747470583","12.6337165225024","","",
"Afghanistan","AFG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21245599","5.45767879","3.60296822","3.37097836","2.72002935","2.60708547","3.00128436","2.51257253","2.25547075","2.18811917","1.37000275","1.77506959","1.86067402","2.01440597","2.14110541","2.31911564","1.90904689","1.77526009","4.24602795","4.05148983","","",
"Africa Western and Central","AFW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.73858261","5.96825457","4.19123077","4.26046801","5.65923882","4.8206377","4.7187376","4.51627111","4.0603714","5.77788925","4.24956799","4.58056879","4.20151329","4.57540083","3.61568022","4.56262541","5.43269682","5.36431932","5.36431932","5.5068841","7.30502176","8.77736568","","",
"Albania","ALB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17372704","8.42368317","8.20897484","8.99717617","9.35447502","9.30094719","9.0339222","9.37710953","7.25106478","7.21709204","8.09451294","8.29091167","8.69734573","8.83006287","8.17427826","8.80356598","9.88866711","9.51418209","9.88601398","10.07303905","9.18517017","9.14114666","","",
"Andorra","AND","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.57007408","18.39809036","30.31304932","30.2558136","27.77786064","18.84075546","23.40241241","21.76662064","24.75173569","16.81899452","24.47286415","23.7666111","15.34170341","11.19491005","21.6660099","15.76174259","11.50931263","14.12062359","14.53987694","14.58870125","14.68181801","15.73322201","","",
"Arab World","ARB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56610489","7.58357716","7.80031395","8.08750439","7.94020653","8.37682343","8.52716255","8.52688599","8.52666855","8.52688885","8.52679062","8.52676678","8.52671432","8.52679825","7.77782202","9.06668758","9.06668758","7.80896568","7.91993999","7.91993999","11.41091824","12.8867445","","",
"Argentina","ARG","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.81966209","17.37289238","18.4574852","17.12602234","16.25901031","16.02175713","15.09950352","14.39874649","14.65606022","16.42263222","16.69264221","16.27754211","16.66110992","16.54238701","16.28527832","16.49740791","15.52159119","16.03947067","15.48355103","16.13215828","15.74081135","16.22084427","","",
